ID	CDSs_GENEMARKS
NC_030652	8
NC_009382	63
NC_008584	10
NC_008721	34
NC_009514	50
NC_009015	127
NC_009014	53
NC_009018	17
NC_010495	61
NC_009232	62
NC_022754	61
NC_022752	62
NC_011344	4
NC_009235	83
NC_009236	57
NC_009234	56
NC_009237	60
NC_019768	56
NC_019769	53
NC_019767	59
NC_022751	36
NC_009447	80
NC_009531	68
NC_027982	42
NC_009820	118
NC_009551	37
NC_009904	10
NC_015282	105
NC_015279	108
NC_015288	93
NC_015283	35
NC_016657	12
NC_016656	8
NC_015285	70
NC_009761	2
NC_009762	3
NC_009763	4
NC_015281	83
NC_015286	105
NC_015289	76
NC_015287	59
NC_015290	27
NC_016659	16
NC_016658	11
NC_015284	37
NC_015280	40
NC_009603	92
NC_009604	74
NC_009552	54
NC_009821	158
NC_010106	59
NC_027119	161
NC_009760	159
NC_010353	19
NC_029031	76
NC_010116	86
NC_009803	114
NC_009804	112
NC_010355	133
NC_009990	23
NC_009543	66
NC_009875	1
NC_010576	5
NC_011105	65
NC_009993	95
NC_042057	48
NC_019455	32
NC_010325	73
NC_010326	64
NC_010808	5
NC_010237	81
NC_010324	57
NC_012697	77
NC_012696	73
NC_010583	72
NC_010275	43
NC_011046	3
NC_011107	64
NC_011104	54
NC_010363	2
NC_011373	91
NC_015454	49
NC_015453	47
NC_011613	56
NC_011611	54
NC_019449	37
NC_011523	7
NC_047728	9
NC_011085	46
NC_010807	48
NC_011040	43
NC_011042	50
NC_011045	47
NC_011043	48
NC_011038	40
NC_021071	64
NC_021559	17
NC_020875	66
NC_021072	94
NC_010945	29
NC_011810	97
NC_012742	74
NC_011022	102
NC_011020	101
NC_011019	99
NC_011021	104
NC_011023	100
NC_011318	2
NC_011044	104
NC_011039	111
NC_011054	118
NC_011056	161
NC_011055	158
NC_011271	261
NC_011273	278
NC_011272	257
NC_011269	259
NC_011270	258
NC_020883	49
NC_011165	93
NC_011166	97
NC_011201	64
NC_011142	65
NC_011167	8
NC_013085	127
NC_011267	93
NC_011216	52
NC_011811	93
NC_011398	2
NC_011308	12
NC_011291	78
NC_011290	94
NC_011285	92
NC_015466	105
NC_011288	120
NC_011292	103
NC_011287	111
NC_011289	115
NC_011357	80
NC_011356	74
NC_011645	11
NC_021068	15
NC_029067	40
NC_021067	36
NC_021073	85
NC_021070	40
NC_011589	60
NC_011614	7
NC_011612	3
NC_012740	167
NC_012749	29
NC_011801	8
NC_011703	97
NC_015272	165
NC_011756	96
NC_024137	88
NC_013059	48
NC_012027	107
NC_020872	9
NC_012223	67
NC_012419	2
NC_012418	65
NC_027981	61
NC_012530	29
NC_013645	17
NC_013693	215
NC_012663	4
NC_012662	48
NC_012756	20
NC_012743	84
NC_013651	38
NC_014595	152
NC_012753	16
NC_012784	5
NC_013691	103
NC_013692	96
NC_013021	136
NC_022094	9
NC_013696	3
NC_028689	106
NC_042027	153
NC_027985	104
NC_013697	240
NC_013594	51
NC_013155	2
NC_013152	2
NC_013153	3
NC_013154	2
NC_013195	4
NC_015249	44
NC_027995	60
NC_013599	51
NC_013600	65
NC_019496	2
NC_013646	3
NC_013643	4
NC_013648	3
NC_013644	8
NC_013649	60
NC_013647	47
NC_013598	18
NC_013597	44
NC_013936	100
NC_019913	170
NC_013698	91
NC_031242	88
NC_028675	15
NC_023722	92
NC_023694	112
NC_023735	115
NC_023706	114
NC_013638	57
NC_027991	114
NC_014260	130
NC_027993	73
NC_027994	66
NC_041897	69
NC_041898	68
NC_015937	10
NC_016567	97
NC_029024	12
NC_023748	114
NC_014036	186
NC_014662	128
NC_025444	106
NC_014900	57
NC_027997	8
NC_027996	8
NC_027120	45
NC_048031	32
NC_048032	7
NC_048033	5
NC_048030	1
NC_048034	40
NC_015294	173
NC_027987	8
NC_014229	61
NC_019544	74
NC_017674	97
NC_015463	114
NC_015465	58
NC_020837	145
NC_021530	65
NC_021536	102
NC_020838	56
NC_020867	32
NC_020851	48
NC_020856	82
NC_020853	81
NC_020858	82
NC_020862	56
NC_020841	58
NC_020846	51
NC_042037	69
NC_021534	69
NC_020849	21
NC_021558	42
NC_020839	61
NC_020866	63
NC_020863	12
NC_025464	45
NC_048183	39
NC_020844	70
NC_020868	59
NC_020848	60
NC_020850	33
NC_020843	13
NC_027990	71
NC_016766	110
NC_025461	56
NC_048184	55
NC_025455	60
NC_047733	91
NC_020860	2
NC_020842	4
NC_019450	171
NC_019448	7
NC_014661	107
NC_014663	109
NC_014660	22
NC_019935	92
NC_015252	14
NC_015254	9
NC_016563	31
NC_018088	8
NC_015270	1
NC_015253	71
NC_015262	2
NC_027984	62
NC_015271	46
NC_020859	128
NC_020486	91
NC_014457	3
NC_014460	6
NC_019921	2
NC_048624	2
NC_031019	57
NC_015293	16
NC_014635	145
NC_014636	269
NC_019454	61
NC_015263	6
NC_020835	14
NC_016071	198
NC_042028	13
NC_020865	55
NC_020854	59
NC_020857	2
NC_020847	2
NC_020845	33
NC_016160	53
NC_016158	81
NC_027125	2
NC_016164	49
NC_015265	59
NC_015266	59
NC_015273	50
NC_023736	59
NC_019926	52
NC_015295	69
NC_015292	92
NC_048629	1
NC_023688	255
NC_049345	84
NC_019452	159
NC_042058	96
NC_023715	40
NC_019488	41
NC_020855	38
NC_021560	79
NC_021557	59
NC_021561	36
NC_015464	5
NC_028656	76
NC_019490	2
NC_023700	55
NC_014901	118
NC_019487	84
NC_019549	12
NC_019550	6
NC_019485	15
NC_015264	56
NC_015585	61
NC_042029	59
NC_047853	10
NC_047854	39
NC_019932	40
NC_019486	46
NC_019489	36
NC_021864	54
NC_023693	39
NC_017732	4
NC_015269	51
NC_015157	25
NC_015158	46
NC_015159	44
NC_020414	47
NC_015720	70
NC_015210	91
NC_019930	87
NC_022970	164
NC_019934	50
NC_019927	79
NC_015208	50
NC_042112	5
NC_016564	42
NC_028999	393
NC_015456	74
NC_015457	24
NC_029057	17
NC_021783	81
NC_027989	2
NC_041831	1
NC_041832	1
NC_041833	2
NC_041834	1
NC_023009	7
NC_021347	234
NC_016565	1
NC_015569	90
NC_047720	8
NC_019929	279
NC_015568	2
NC_042327	101
NC_042328	95
NC_041844	241
NC_041983	92
NC_041845	2
NC_042316	254
NC_041846	160
NC_042317	119
NC_042318	112
NC_042319	114
NC_042320	109
NC_042326	96
NC_042321	97
NC_042322	244
NC_042323	117
NC_042324	94
NC_042325	112
NC_041971	177
NC_041987	162
NC_041985	96
NC_028986	244
NC_042308	92
NC_042034	106
NC_042312	98
NC_042309	109
NC_042310	99
NC_042313	142
NC_042032	123
NC_042311	100
NC_042314	105
NC_028942	109
NC_042036	86
NC_042315	112
NC_042033	106
NC_028801	108
NC_042030	126
NC_042035	104
NC_042031	106
NC_028906	155
NC_015721	41
NC_042329	99
NC_041847	114
NC_041989	115
NC_041988	116
NC_042330	109
NC_015719	45
NC_022920	7
NC_022918	7
NC_042331	95
NC_019506	2
NC_019508	2
NC_048015	34
NC_023743	55
NC_018087	13
NC_023704	92
NC_023726	105
NC_042332	105
NC_018285	35
NC_019510	50
NC_041978	87
NC_019514	103
NC_019504	60
NC_019500	127
NC_023711	109
NC_041993	264
NC_023738	234
NC_015933	52
NC_019505	26
NC_019503	26
NC_015938	107
NC_023729	76
NC_023724	107
NC_023709	91
NC_016568	5
NC_023689	155
NC_023734	37
NC_042333	96
NC_023731	101
NC_023707	105
NC_023746	109
NC_023710	99
NC_041960	36
NC_019509	77
NC_023721	108
NC_023696	268
NC_041850	155
NC_023714	256
NC_023691	104
NC_023692	88
NC_047867	45
NC_023720	96
NC_022087	107
NC_041969	79
NC_027118	50
NC_023730	77
NC_023737	261
NC_019444	70
NC_019443	52
NC_016073	163
NC_023719	26
NC_023708	102
NC_023732	130
NC_023695	94
NC_020416	46
NC_041970	164
NC_023733	260
NC_023725	266
NC_023727	106
NC_023742	107
NC_023716	106
NC_041965	107
NC_023697	83
NC_023739	96
NC_023713	112
NC_023687	108
NC_023690	253
NC_023728	113
NC_023703	104
NC_023686	104
NC_042334	99
NC_028907	110
NC_023702	99
NC_023745	103
NC_023699	116
NC_023712	132
NC_023740	109
NC_023741	105
NC_019501	55
NC_027402	270
NC_019925	187
NC_027298	58
NC_043469	82
NC_042336	107
NC_027365	100
NC_042335	105
NC_016764	51
NC_016166	113
NC_016770	15
NC_016165	64
NC_019530	166
NC_016435	106
NC_016569	75
NC_016655	98
NC_016652	93
NC_016654	67
NC_016653	75
NC_016650	78
NC_016651	28
NC_016566	61
NC_016562	5
NC_025443	45
NC_017971	76
NC_016763	62
NC_020201	252
NC_018277	5
NC_048628	5
NC_019502	2
NC_019445	53
NC_019442	74
NC_016571	247
NC_016761	48
NC_018264	3
NC_047736	52
NC_018860	73
NC_047735	70
NC_017985	51
NC_019527	83
NC_019525	51
NC_019522	62
NC_019518	54
NC_019523	1
NC_016762	75
NC_016765	98
NC_020080	184
NC_029099	77
NC_027355	77
NC_017981	87
NC_016767	66
NC_020489	70
NC_019517	153
NC_018278	57
NC_018283	86
NC_019446	49
NC_019447	50
NC_019515	26
NC_018452	83
NC_018857	82
NC_019516	62
NC_019528	61
NC_018863	52
NC_019417	78
NC_019400	240
NC_019401	70
NC_019402	99
NC_019398	243
NC_019403	42
NC_019404	50
NC_019399	31
NC_019520	51
NC_017865	65
NC_017864	60
NC_020490	3
NC_019915	6
NC_019914	3
NC_019526	39
NC_019924	2
NC_027980	61
NC_019545	63
NC_041986	122
NC_019724	61
NC_019710	63
NC_019717	66
NC_019714	58
NC_019723	53
NC_019719	60
NC_019711	54
NC_019706	62
NC_019708	58
NC_019704	60
NC_019716	56
NC_019709	56
NC_019705	57
NC_019718	54
NC_019720	68
NC_019715	52
NC_019721	55
NC_049942	73
NC_018846	68
NC_019529	47
NC_019524	83
NC_019521	8
NC_025822	35
NC_019512	4
NC_019451	98
NC_017976	34
NC_018274	59
NC_018270	42
NC_017972	390
NC_041910	101
NC_018273	2
NC_019519	127
NC_041982	92
NC_041984	94
NC_019540	59
NC_025467	2
NC_023717	312
NC_017974	295
NC_017980	4
NC_018083	4
NC_018084	3
NC_019539	54
NC_017688	3
NC_017695	2
NC_017702	2
NC_017698	2
NC_017696	2
NC_020199	3
NC_018454	47
NC_020488	37
NC_018271	3
NC_018272	3
NC_018275	57
NC_018279	65
NC_023588	60
NC_023698	115
NC_023723	101
NC_019513	3
NC_017968	3
NC_020871	8
NC_018086	38
NC_017975	14
NC_042066	62
NC_021539	5
NC_024375	4
NC_021787	4
NC_021785	4
NC_021775	69
NC_042065	65
NC_021779	78
NC_021780	78
NC_042062	43
NC_042063	16
NC_042064	5
NC_021772	26
NC_021782	25
NC_024359	8
NC_047745	9
NC_021781	9
NC_021774	40
NC_017973	107
NC_041953	76
NC_028770	93
NC_028931	82
NC_028879	60
NC_028809	83
NC_018276	22
NC_018269	45
NC_047939	46
NC_047940	46
NC_018843	127
NC_017983	68
NC_017984	13
NC_017978	2
NC_019933	58
NC_020205	64
NC_019507	8
NC_025418	58
NC_018085	2
NC_041852	99
NC_021326	12
NC_042338	111
NC_021332	6
NC_020873	96
NC_019917	82
NC_042337	107
NC_047722	9
NC_047723	8
NC_047725	9
NC_047726	9
NC_047727	9
NC_047724	9
NC_021531	237
NC_021863	10
NC_027360	28
NC_018280	45
NC_018281	5
NC_018284	6
NC_019543	135
NC_020879	133
NC_030933	6
NC_019931	3
NC_025433	118
NC_019538	152
NC_018282	90
NC_025441	89
NC_025449	27
NC_025446	170
NC_018836	91
NC_018848	59
NC_019910	204
NC_027351	194
NC_042061	162
NC_027344	43
NC_020081	86
NC_019421	2
NC_019422	2
NC_019405	383
NC_021062	51
NC_018837	48
NC_025465	2
NC_041992	62
NC_041907	96
NC_019511	7
NC_019782	12
NC_047951	52
NC_019919	82
NC_019909	13
NC_019911	49
NC_027353	25
NC_019928	3
NC_021868	40
NC_041849	90
NC_041991	59
NC_029000	130
NC_042339	98
NC_042340	93
NC_041853	87
NC_041854	46
NC_019406	525
NC_019410	386
NC_019407	390
NC_019408	393
NC_019411	393
NC_019725	74
NC_019542	56
NC_047738	56
NC_047868	56
NC_041908	87
NC_027296	90
NC_047869	50
NC_047870	53
NC_034248	186
NC_019541	18
NC_025425	161
NC_020203	61
NC_020198	59
NC_020202	61
NC_020200	57
NC_027339	53
NC_022091	66
NC_027986	60
NC_027992	59
NC_019916	57
NC_047739	23
NC_018831	4
NC_041855	112
NC_042341	91
NC_049924	76
NC_049923	62
NC_049941	73
NC_049945	74
NC_049944	74
NC_021861	4
NC_018861	5
NC_020079	73
NC_019722	61
NC_019713	103
NC_027369	32
NC_028995	28
NC_018839	49
NC_018841	47
NC_018845	47
NC_018849	47
NC_018852	48
NC_018840	46
NC_018842	47
NC_018847	47
NC_018851	47
NC_019918	171
NC_021776	42
NC_019813	68
NC_018832	72
NC_022336	45
NC_022339	45
NC_022338	48
NC_022335	47
NC_022337	45
NC_022342	48
NC_022334	48
NC_022341	46
NC_022340	47
NC_022090	6
NC_020877	6
NC_018850	77
NC_019923	68
NC_021316	18
NC_020204	64
NC_019912	9
NC_018835	60
NC_018855	69
NC_019418	16
NC_019416	49
NC_019726	7
NC_019423	48
NC_047721	8
NC_041856	90
NC_041857	18
NC_019420	47
NC_020876	109
NC_019419	65
NC_041906	43
NC_025417	9
NC_020083	208
NC_022746	64
NC_024390	6
NC_020870	3
NC_024385	5
NC_024386	12
NC_024388	9
NC_024380	2
NC_024378	9
NC_020880	6
NC_024389	9
NC_021533	87
NC_021853	3
NC_021860	2
NC_021854	3
NC_021852	3
NC_021855	3
NC_023568	258
NC_042136	171
NC_020082	72
NC_020078	52
NC_022791	16
NC_047740	56
NC_042342	80
NC_042343	70
NC_025456	54
NC_021773	2
NC_021337	10
NC_027364	50
NC_020478	40
NC_020479	39
NC_020477	37
NC_020480	40
NC_041858	38
NC_021323	3
NC_023501	86
NC_047715	69
NC_047716	67
NC_047717	66
NC_031235	108
NC_047734	99
NC_023006	69
NC_023005	56
NC_021343	56
NC_021563	64
NC_021540	6
NC_049350	6
NC_020484	10
NC_020481	2
NC_020482	2
NC_020483	3
NC_042133	55
NC_049351	2
NC_047741	46
NC_021061	76
NC_028674	105
NC_028982	51
NC_028983	52
NC_041976	25
NC_029104	24
NC_029029	18
NC_022980	19
NC_021532	75
NC_021325	2
NC_021063	74
NC_021344	218
NC_023007	15
NC_023499	2
NC_023500	12
NC_041934	94
NC_021336	1
NC_021300	44
NC_047855	1
NC_021342	72
NC_021867	2
NC_021299	166
NC_021317	28
NC_021334	104
NC_023614	14
NC_021298	86
NC_021304	88
NC_021339	85
NC_021349	259
NC_021306	158
NC_021302	84
NC_021310	105
NC_021308	88
NC_021538	111
NC_021535	100
NC_021297	94
NC_021309	151
NC_021307	95
NC_021301	104
NC_024354	290
NC_028773	167
NC_021346	261
NC_021311	155
NC_021348	268
NC_021305	158
NC_021338	84
NC_021318	102
NC_021556	61
NC_022323	142
NC_022966	166
NC_022974	168
NC_022986	170
NC_021799	2
NC_021789	4
NC_021798	9
NC_021800	9
NC_021791	6
NC_021796	4
NC_021795	7
NC_021802	2
NC_021790	5
NC_021794	4
NC_021792	4
NC_021806	5
NC_021804	3
NC_021788	9
NC_021803	4
NC_048026	59
NC_022096	351
NC_021865	28
NC_021777	63
NC_022055	120
NC_022066	251
NC_029044	265
NC_022067	256
NC_029023	32
NC_041928	6
NC_023587	88
NC_023584	67
