ID	CDSs_AUGUSTUS_SAUREUS
NC_007637	57
NC_007709	48
NC_007710	44
NC_007734	56
NC_007804	45
NC_007805	25
NC_007806	52
NC_007807	45
NC_007808	65
NC_007809	26
NC_007810	64
NC_007814	54
NC_007817	6
NC_007818	6
NC_007819	8
NC_007820	9
NC_007821	9
NC_007822	9
NC_007823	8
NC_007824	8
NC_007825	5
NC_007827	10
NC_007856	6
NC_007902	49
NC_007917	103
NC_007924	60
NC_007967	18
NC_008152	47
NC_008193	47
NC_008194	49
NC_008195	52
NC_008196	45
NC_008197	41
NC_008198	47
NC_008199	44
NC_008200	54
NC_008201	49
NC_008202	36
NC_008203	36
NC_008204	44
NC_008205	48
NC_008206	70
NC_008207	93
NC_008208	229
NC_008265	58
NC_008294	3
NC_008296	186
NC_008363	53
NC_008364	49
NC_008367	33
NC_008370	61
NC_008371	52
NC_008376	50
NC_008464	68
NC_008515	265
NC_008562	120
NC_008574	10
NC_008575	6
NC_008583	68
NC_008584	154
NC_008617	66
NC_008689	67
NC_008694	42
NC_008717	20
NC_008720	70
NC_008721	54
NC_008722	70
NC_008723	73
NC_008798	69
NC_008799	68
NC_009014	45
NC_009015	87
NC_009016	37
NC_009018	65
NC_009231	94
NC_009232	50
NC_009234	38
NC_009235	48
NC_009236	36
NC_009237	40
NC_009382	31
NC_009447	56
NC_009514	48
NC_009526	69
NC_009531	28
NC_009540	83
NC_009541	24
NC_009542	25
NC_009543	47
NC_009551	43
NC_009552	50
NC_009554	50
NC_009603	24
NC_009604	50
NC_009643	18
NC_009737	50
NC_009760	245
NC_009761	60
NC_009762	71
NC_009763	73
NC_009799	40
NC_009803	42
NC_009804	32
NC_009810	64
NC_009811	193
NC_009812	66
NC_009813	79
NC_009814	54
NC_009815	58
NC_009816	61
NC_009817	124
NC_009818	17
NC_009819	56
NC_009820	49
NC_009821	265
NC_009875	21
NC_009877	32
NC_009878	31
NC_009904	216
NC_009935	33
NC_009936	22
NC_009990	43
NC_009993	48
NC_010105	278
NC_010106	72
NC_010116	30
NC_010147	72
NC_010179	70
NC_010237	72
NC_010275	40
NC_010324	119
NC_010325	40
NC_010326	30
NC_010353	44
NC_010355	38
NC_010363	24
NC_010391	41
NC_010392	47
NC_010393	43
NC_010429	7
NC_010463	33
NC_010495	63
NC_010576	81
NC_010583	177
NC_010807	41
NC_010808	73
NC_010811	245
NC_010821	448
NC_010945	59
NC_011019	32
NC_011020	34
NC_011021	28
NC_011022	27
NC_011023	26
NC_011038	42
NC_011039	69
NC_011040	44
NC_011041	196
NC_011042	42
NC_011043	34
NC_011044	46
NC_011045	47
NC_011046	54
NC_011048	25
NC_011054	50
NC_011055	55
NC_011056	54
NC_011057	42
NC_011085	45
NC_011103	55
NC_011104	53
NC_011105	33
NC_011107	31
NC_011142	75
NC_011165	57
NC_011166	58
NC_011167	88
NC_011201	38
NC_011216	37
NC_011222	57
NC_011267	30
NC_011269	95
NC_011270	96
NC_011271	101
NC_011272	93
NC_011273	123
NC_011285	46
NC_011287	47
NC_011288	49
NC_011289	48
NC_011290	51
NC_011291	37
NC_011292	63
NC_011308	52
NC_011318	63
NC_011344	66
NC_011356	57
NC_011357	61
NC_011373	44
NC_011398	72
NC_011399	11
NC_011421	187
NC_011523	30
NC_011534	43
NC_011551	40
NC_011589	33
NC_011611	24
NC_011612	66
NC_011613	25
NC_011614	65
NC_011645	59
NC_011703	61
NC_011756	55
NC_011801	56
NC_011802	51
NC_011810	62
NC_011811	114
NC_011976	57
NC_012027	45
NC_012091	5
NC_012092	2
NC_012093	4
NC_012223	49
NC_012418	29
NC_012419	24
NC_012530	200
NC_012635	273
NC_012638	266
NC_012662	49
NC_012663	87
NC_012696	68
NC_012697	69
NC_012740	268
NC_012741	274
NC_012742	27
NC_012743	47
NC_012749	129
NC_012753	53
NC_012756	53
NC_012757	11
NC_012784	82
NC_012788	36
NC_012868	7
NC_012884	41
NC_013021	79
NC_013055	35
NC_013059	54
NC_013085	209
NC_013152	53
NC_013153	51
NC_013154	51
NC_013155	54
NC_013195	70
NC_013197	6
NC_013594	44
NC_013597	64
NC_013598	43
NC_013599	38
NC_013600	45
NC_013638	34
NC_013643	63
NC_013644	58
NC_013645	46
NC_013646	64
NC_013647	38
NC_013648	68
NC_013649	40
NC_013650	93
NC_013651	46
NC_013691	61
NC_013692	54
NC_013693	174
NC_013694	25
NC_013696	64
NC_013697	130
NC_013698	51
NC_013936	50
NC_014036	267
NC_014229	12
NC_014260	272
NC_014457	85
NC_014458	41
NC_014459	39
NC_014460	66
NC_014461	66
NC_014467	258
NC_014595	281
NC_014635	256
NC_014636	330
NC_014660	256
NC_014661	234
NC_014662	270
NC_014663	250
NC_014792	280
NC_014900	53
NC_014901	48
NC_015157	227
NC_015158	69
NC_015159	48
NC_015208	31
NC_015209	15
NC_015210	47
NC_015249	40
NC_015250	252
NC_015251	419
NC_015252	54
NC_015253	158
NC_015254	63
NC_015262	59
NC_015263	149
NC_015264	37
NC_015265	41
NC_015266	39
NC_015269	166
NC_015270	37
NC_015271	43
NC_015272	54
NC_015273	34
NC_015274	73
NC_015279	237
NC_015280	219
NC_015281	203
NC_015282	210
NC_015283	219
NC_015284	217
NC_015285	200
NC_015286	197
NC_015287	294
NC_015288	202
NC_015289	201
NC_015290	216
NC_015292	112
NC_015293	47
NC_015294	123
NC_015295	64
NC_015296	191
NC_015297	5
NC_015453	25
NC_015454	25
NC_015456	75
NC_015457	271
NC_015463	51
NC_015464	180
NC_015465	27
NC_015466	44
NC_015568	49
NC_015569	264
NC_015584	69
NC_015585	47
NC_015586	6
NC_015719	42
NC_015720	32
NC_015721	25
NC_015785	7
NC_015933	78
NC_015937	153
NC_015938	142
NC_016071	210
NC_016073	192
NC_016158	66
NC_016160	45
NC_016161	58
NC_016162	10
NC_016163	346
NC_016164	24
NC_016165	28
NC_016166	55
NC_016434	33
NC_016435	36
NC_016562	176
NC_016563	279
NC_016564	120
NC_016565	22
NC_016566	42
NC_016567	109
NC_016568	26
NC_016569	36
NC_016570	194
NC_016571	296
NC_016650	21
NC_016651	10
NC_016652	34
NC_016653	29
NC_016654	22
NC_016655	29
NC_016656	56
NC_016657	51
NC_016658	59
NC_016659	60
NC_016761	43
NC_016762	29
NC_016763	51
NC_016764	35
NC_016765	42
NC_016766	79
NC_016767	37
NC_016770	61
NC_017674	60
NC_017688	61
NC_017695	61
NC_017696	60
NC_017698	59
NC_017702	58
NC_017732	47
NC_017864	51
NC_017865	30
NC_017968	66
NC_017969	155
NC_017971	42
NC_017972	338
NC_017973	27
NC_017974	184
NC_017975	176
NC_017976	56
NC_017978	47
NC_017980	31
NC_017981	65
NC_017983	51
NC_017984	88
NC_017985	50
NC_018083	29
NC_018084	26
NC_018085	60
NC_018086	80
NC_018087	259
NC_018088	155
NC_018264	57
NC_018269	51
NC_018270	44
NC_018271	58
NC_018272	57
NC_018273	40
NC_018274	23
NC_018275	55
NC_018276	56
NC_018277	65
NC_018278	51
NC_018279	66
NC_018280	48
NC_018281	74
NC_018282	33
NC_018283	62
NC_018284	65
NC_018285	55
NC_018452	46
NC_018454	37
NC_018831	117
NC_018832	69
NC_018834	24
NC_018835	126
NC_018836	25
NC_018837	157
NC_018838	26
NC_018839	33
NC_018840	26
NC_018841	30
NC_018842	28
NC_018843	110
NC_018845	28
NC_018846	61
NC_018847	27
NC_018848	18
NC_018849	27
NC_018850	56
NC_018851	27
NC_018852	30
NC_018853	26
NC_018854	78
NC_018855	272
NC_018856	266
NC_018857	280
NC_018859	115
NC_018860	226
NC_018861	173
NC_018862	5
NC_018863	286
NC_019398	269
NC_019399	272
NC_019400	222
NC_019401	537
NC_019402	109
NC_019403	53
NC_019404	75
NC_019405	123
NC_019406	214
NC_019407	125
NC_019408	149
NC_019410	129
NC_019411	127
NC_019414	22
NC_019416	33
NC_019417	59
NC_019418	52
NC_019419	44
NC_019420	42
NC_019421	72
NC_019422	46
NC_019423	85
NC_019442	60
NC_019443	223
NC_019444	204
NC_019445	51
NC_019446	48
NC_019447	48
NC_019448	218
NC_019449	46
NC_019450	129
NC_019451	60
NC_019452	190
NC_019453	2
NC_019454	49
NC_019455	55
NC_019456	69
NC_019457	66
NC_019485	76
NC_019486	54
NC_019487	230
NC_019488	32
NC_019489	55
NC_019490	77
NC_019496	63
NC_019500	265
NC_019501	52
NC_019502	68
NC_019503	267
NC_019504	83
NC_019505	271
NC_019506	66
NC_019507	260
NC_019508	65
NC_019509	61
NC_019510	37
NC_019511	195
NC_019512	31
NC_019513	69
NC_019514	64
NC_019515	143
NC_019516	164
NC_019517	199
NC_019518	65
NC_019519	92
NC_019520	41
NC_019521	301
NC_019522	59
NC_019523	24
NC_019524	73
NC_019525	68
NC_019526	551
NC_019527	39
NC_019528	31
NC_019529	160
NC_019530	190
NC_019538	421
NC_019539	51
NC_019540	53
NC_019541	65
NC_019542	47
NC_019543	234
NC_019544	78
NC_019545	55
NC_019548	7
NC_019549	38
NC_019550	43
NC_019704	46
NC_019705	50
NC_019706	54
NC_019707	3
NC_019708	48
NC_019709	55
NC_019710	54
NC_019711	56
NC_019713	95
NC_019714	49
NC_019715	51
NC_019716	46
NC_019717	45
NC_019718	69
NC_019719	58
NC_019720	58
NC_019721	50
NC_019722	48
NC_019723	51
NC_019724	46
NC_019725	82
NC_019726	226
NC_019767	53
NC_019768	54
NC_019769	49
NC_019782	60
NC_019813	40
NC_019909	273
NC_019910	174
NC_019911	50
NC_019912	54
NC_019913	126
NC_019914	56
NC_019915	66
NC_019916	59
NC_019917	47
NC_019918	128
NC_019919	170
NC_019920	3
NC_019921	74
NC_019922	3
NC_019923	37
NC_019924	76
NC_019925	161
NC_019926	48
NC_019927	61
NC_019928	30
NC_019929	253
NC_019930	35
NC_019931	31
NC_019932	32
NC_019933	35
NC_019934	40
NC_019935	53
NC_020078	39
NC_020079	260
NC_020080	266
NC_020081	209
NC_020082	60
NC_020083	157
NC_020197	60
NC_020198	20
NC_020199	71
NC_020200	16
NC_020201	171
NC_020202	24
NC_020203	23
NC_020204	61
NC_020205	40
NC_020414	54
NC_020416	256
NC_020477	71
NC_020478	75
NC_020479	74
NC_020480	77
NC_020481	69
NC_020482	49
NC_020483	57
NC_020484	199
NC_020486	190
NC_020488	38
NC_020489	28
NC_020490	75
NC_020835	52
NC_020837	208
NC_020838	48
NC_020839	28
NC_020841	71
NC_020842	119
NC_020843	206
NC_020844	51
NC_020845	221
NC_020846	72
NC_020847	64
NC_020848	114
NC_020849	105
NC_020850	54
NC_020851	285
NC_020853	53
NC_020854	48
NC_020855	208
NC_020856	36
NC_020857	66
NC_020858	39
NC_020859	193
NC_020860	55
NC_020862	76
NC_020863	218
NC_020865	48
NC_020866	28
NC_020867	60
NC_020868	111
NC_020870	38
NC_020871	178
NC_020872	50
NC_020873	232
NC_020874	57
NC_020875	221
NC_020876	26
NC_020877	179
NC_020878	57
NC_020879	240
NC_020880	37
NC_020883	83
NC_021061	36
NC_021062	32
NC_021063	23
NC_021067	266
NC_021068	70
NC_021070	50
NC_021071	205
NC_021072	208
NC_021073	159
NC_021190	49
NC_021297	32
NC_021298	19
NC_021299	54
NC_021300	55
NC_021301	45
NC_021302	33
NC_021304	21
NC_021305	49
NC_021306	52
NC_021307	24
NC_021308	37
NC_021309	46
NC_021310	41
NC_021311	53
NC_021315	59
NC_021316	54
NC_021317	24
NC_021318	29
NC_021323	62
NC_021324	28
NC_021325	48
NC_021326	68
NC_021331	83
NC_021332	70
NC_021334	42
NC_021336	40
NC_021337	27
NC_021338	26
NC_021339	26
NC_021342	59
NC_021343	39
NC_021344	256
NC_021346	93
NC_021347	86
NC_021348	96
NC_021349	91
NC_021529	401
NC_021530	199
NC_021531	218
NC_021532	120
NC_021533	19
NC_021534	69
NC_021535	28
NC_021536	198
NC_021538	57
NC_021539	67
NC_021540	104
NC_021556	36
NC_021557	29
NC_021558	68
NC_021559	232
NC_021560	48
NC_021561	60
NC_021562	11
NC_021563	58
NC_021569	6
NC_021772	92
NC_021773	64
NC_021774	35
NC_021775	54
NC_021776	53
NC_021777	49
NC_021779	60
NC_021780	60
NC_021781	186
NC_021782	89
NC_021783	60
NC_021784	56
NC_021785	111
NC_021787	109
NC_021788	187
NC_021789	114
NC_021790	55
NC_021791	57
NC_021792	111
NC_021793	27
NC_021794	104
NC_021795	57
NC_021796	83
NC_021797	9
NC_021798	187
NC_021799	112
NC_021800	44
NC_021801	62
NC_021802	106
NC_021803	116
NC_021804	46
NC_021805	11
NC_021806	121
NC_021852	54
NC_021853	59
NC_021854	57
NC_021855	56
NC_021856	234
NC_021857	45
NC_021860	55
NC_021861	52
NC_021862	9
NC_021863	68
NC_021864	82
NC_021865	58
NC_021866	4
NC_021867	60
NC_021868	95
NC_022052	58
NC_022053	59
NC_022054	24
NC_022055	49
NC_022056	50
NC_022057	51
NC_022058	29
NC_022059	53
NC_022060	49
NC_022061	41
NC_022062	33
NC_022063	47
NC_022064	48
NC_022065	43
NC_022066	61
NC_022067	67
NC_022068	56
NC_022069	36
NC_022070	31
NC_022071	64
NC_022085	49
NC_022086	42
NC_022087	32
NC_022088	285
NC_022090	187
NC_022091	33
NC_022094	26
NC_022096	284
NC_022323	194
NC_022324	33
NC_022325	55
NC_022328	47
NC_022329	30
NC_022330	48
NC_022331	47
NC_022334	27
NC_022335	27
NC_022336	26
NC_022337	28
NC_022338	26
NC_022339	29
NC_022340	21
NC_022341	28
NC_022342	25
NC_022343	193
NC_022744	44
NC_022746	35
NC_022747	44
NC_022749	44
NC_022750	35
NC_022751	38
NC_022752	55
NC_022753	35
NC_022754	51
NC_022756	58
NC_022757	56
NC_022758	64
NC_022761	211
NC_022762	54
NC_022763	277
NC_022764	46
NC_022765	77
NC_022766	74
NC_022767	107
NC_022768	180
NC_022769	286
NC_022770	46
NC_022771	237
NC_022772	183
NC_022773	76
NC_022774	111
NC_022775	42
NC_022776	52
NC_022790	5
NC_022791	53
NC_022914	66
NC_022915	41
NC_022916	39
NC_022917	45
NC_022918	189
NC_022920	211
NC_022965	26
NC_022966	59
NC_022967	131
NC_022968	232
NC_022969	56
NC_022970	54
NC_022971	38
NC_022972	22
NC_022973	40
NC_022974	57
NC_022975	37
NC_022976	51
NC_022977	24
NC_022979	31
NC_022980	85
NC_022981	56
NC_022982	33
NC_022983	48
NC_022984	38
NC_022985	28
NC_022986	132
NC_022987	41
NC_022988	44
NC_022989	45
NC_023005	35
NC_023006	45
NC_023007	272
NC_023009	182
NC_023498	48
NC_023499	64
NC_023500	68
NC_023501	280
NC_023502	99
NC_023503	68
NC_023548	37
NC_023549	27
NC_023550	21
NC_023551	64
NC_023552	33
NC_023553	24
NC_023554	51
NC_023555	48
NC_023556	58
NC_023557	293
NC_023558	38
NC_023559	51
NC_023560	52
NC_023561	283
NC_023562	26
NC_023563	48
NC_023564	29
NC_023565	26
NC_023566	83
NC_023567	38
NC_023568	384
NC_023569	85
NC_023570	45
NC_023571	54
NC_023572	31
NC_023573	218
NC_023574	196
NC_023575	38
NC_023576	38
NC_023577	32
NC_023578	66
NC_023579	88
NC_023580	56
NC_023581	91
NC_023582	134
NC_023583	40
NC_023584	197
NC_023586	11
NC_023587	196
NC_023588	24
NC_023589	94
NC_023590	52
NC_023593	117
NC_023594	59
NC_023595	70
NC_023597	29
NC_023599	55
NC_023600	39
NC_023601	152
NC_023602	48
NC_023603	42
NC_023604	40
NC_023605	61
NC_023606	30
NC_023607	30
NC_023608	49
NC_023609	36
NC_023610	214
NC_023612	57
NC_023614	48
NC_023686	42
NC_023687	29
NC_023688	318
NC_023689	56
NC_023690	61
NC_023691	90
NC_023692	36
NC_023693	244
NC_023694	62
NC_023695	32
NC_023696	99
NC_023697	32
NC_023698	36
NC_023699	53
NC_023700	23
NC_023701	43
NC_023702	36
NC_023703	47
NC_023704	34
NC_023705	38
NC_023706	47
NC_023707	29
NC_023708	34
NC_023709	32
NC_023710	30
NC_023711	43
NC_023712	55
NC_023713	24
NC_023714	101
NC_023715	41
NC_023716	31
NC_023717	203
NC_023719	678
NC_023720	34
NC_023721	46
NC_023722	36
NC_023723	32
NC_023724	48
NC_023725	99
NC_023726	26
NC_023727	42
NC_023728	47
NC_023729	32
NC_023730	33
NC_023731	23
NC_023732	60
NC_023733	97
NC_023734	46
NC_023735	67
NC_023736	24
NC_023737	98
NC_023738	60
NC_023739	35
NC_023740	43
NC_023741	50
NC_023742	42
NC_023743	70
NC_023744	41
NC_023745	33
NC_023746	49
NC_023747	42
NC_023748	32
NC_023856	182
NC_023859	28
NC_023862	29
NC_023863	85
NC_023865	72
NC_024121	260
NC_024122	198
NC_024123	60
NC_024124	274
NC_024125	276
NC_024134	199
NC_024135	40
NC_024136	36
NC_024137	225
NC_024138	51
NC_024139	151
NC_024140	53
NC_024141	26
NC_024142	88
NC_024143	31
NC_024144	87
NC_024145	35
NC_024146	72
NC_024147	50
NC_024148	25
NC_024149	25
NC_024203	77
NC_024204	52
NC_024205	290
NC_024206	60
NC_024207	286
NC_024208	81
NC_024209	64
NC_024210	67
NC_024211	280
NC_024212	85
NC_024213	285
NC_024214	83
NC_024215	79
NC_024216	291
NC_024217	133
NC_024329	49
NC_024330	21
NC_024354	188
NC_024355	142
NC_024356	72
NC_024357	59
NC_024358	36
NC_024359	181
NC_024360	194
NC_024361	63
NC_024362	33
NC_024363	46
NC_024364	180
NC_024365	50
NC_024366	52
NC_024367	72
NC_024368	28
NC_024369	61
NC_024370	60
NC_024371	64
NC_024375	115
NC_024378	43
NC_024379	40
NC_024380	39
NC_024381	54
NC_024383	186
NC_024384	74
NC_024385	40
NC_024386	41
NC_024387	69
NC_024388	43
NC_024389	44
NC_024390	39
NC_024391	64
NC_024392	117
NC_024711	89
NC_024782	24
NC_024783	48
NC_024784	72
NC_024785	85
NC_024786	80
NC_024787	182
NC_024788	282
NC_024789	68
NC_024790	79
NC_024791	67
NC_024792	232
NC_024793	71
NC_024794	261
NC_025115	37
NC_025414	268
NC_025415	49
NC_025416	216
NC_025417	223
NC_025418	38
NC_025419	271
NC_025420	49
NC_025421	48
NC_025422	269
NC_025423	196
NC_025424	72
NC_025425	263
NC_025426	235
NC_025427	52
NC_025428	30
NC_025429	195
NC_025430	50
NC_025431	32
NC_025433	47
NC_025434	67
NC_025436	223
NC_025437	273
NC_025438	41
NC_025439	49
NC_025440	183
NC_025441	90
NC_025442	59
NC_025443	79
NC_025444	29
NC_025445	41
NC_025446	191
NC_025447	577
NC_025448	265
NC_025449	271
NC_025450	40
NC_025451	37
NC_025452	166
NC_025453	58
NC_025454	7
NC_025455	29
NC_025456	52
NC_025457	52
NC_025458	65
NC_025459	57
NC_025460	69
NC_025461	50
NC_025462	148
NC_025463	71
NC_025464	52
NC_025465	70
NC_025466	65
NC_025467	27
NC_025470	228
NC_025471	52
NC_025822	43
NC_025824	7
NC_025829	264
NC_025830	203
NC_026010	77
NC_026013	7
NC_026014	38
NC_026016	68
NC_026017	49
NC_026582	6
NC_026583	23
NC_026584	53
NC_026585	52
NC_026586	54
NC_026587	60
NC_026588	50
NC_026589	43
NC_026590	78
NC_026591	28
NC_026593	53
NC_026594	20
NC_026595	47
NC_026596	55
NC_026597	58
NC_026598	41
NC_026599	40
NC_026600	63
NC_026601	26
NC_026602	38
NC_026603	44
NC_026604	47
NC_026605	33
NC_026606	51
NC_026607	258
NC_026608	47
NC_026609	80
NC_026610	67
NC_026611	56
NC_026612	5
NC_026613	6
NC_026923	198
NC_026924	197
NC_026926	219
NC_026927	252
NC_026928	209
NC_027118	44
NC_027119	190
NC_027120	41
NC_027125	79
NC_027130	201
NC_027132	205
NC_027204	301
NC_027292	35
NC_027293	129
NC_027294	31
NC_027295	28
NC_027296	58
NC_027297	172
NC_027298	23
NC_027299	40
NC_027329	127
NC_027330	52
NC_027331	296
NC_027332	164
NC_027333	27
NC_027334	32
NC_027335	221
NC_027336	25
NC_027337	127
NC_027339	46
NC_027340	179
NC_027341	189
NC_027342	49
NC_027344	252
NC_027345	56
NC_027346	25
NC_027347	25
NC_027348	59
NC_027349	273
NC_027350	81
NC_027351	218
NC_027352	227
NC_027353	274
NC_027354	26
NC_027355	227
NC_027356	138
NC_027357	29
NC_027358	47
NC_027359	27
NC_027360	128
NC_027361	29
NC_027362	27
NC_027363	47
NC_027364	589
NC_027365	43
NC_027366	239
NC_027367	29
NC_027368	46
NC_027369	133
NC_027370	25
NC_027371	23
NC_027372	50
NC_027373	27
NC_027374	233
NC_027375	30
NC_027376	31
NC_027377	43
NC_027378	88
NC_027379	56
NC_027380	27
NC_027381	75
NC_027382	45
NC_027383	43
NC_027384	24
NC_027385	28
NC_027386	27
NC_027387	45
NC_027388	51
NC_027389	25
NC_027390	57
NC_027391	31
NC_027392	30
NC_027393	47
NC_027394	49
NC_027395	118
NC_027396	46
NC_027397	48
NC_027398	50
NC_027399	554
NC_027400	30
NC_027401	28
NC_027402	254
NC_027403	30
NC_027404	271
NC_027405	30
NC_027620	31
NC_027621	23
NC_027622	27
NC_027623	25
NC_027624	25
NC_027625	30
NC_027626	25
NC_027627	34
NC_027628	28
NC_027629	28
NC_027630	25
NC_027633	5
NC_027634	5
NC_027635	5
NC_027636	5
NC_027637	6
NC_027638	6
NC_027639	5
NC_027640	5
NC_027641	6
NC_027642	6
NC_027643	4
NC_027644	6
NC_027645	4
NC_027646	4
NC_027647	4
NC_027648	4
NC_027979	273
NC_027980	53
NC_027981	46
NC_027982	46
NC_027983	269
NC_027984	60
NC_027985	44
NC_027986	31
NC_027987	50
NC_027988	77
NC_027989	61
NC_027990	80
NC_027991	193
NC_027992	26
NC_027993	60
NC_027994	59
NC_027995	48
NC_027996	210
NC_027997	205
NC_028247	136
NC_028248	195
NC_028448	276
NC_028449	68
NC_028651	22
NC_028652	130
NC_028653	35
NC_028654	45
NC_028655	40
