ID	CDSs_AUGUSTUS_ECOLI
NC_004831	41
NC_004902	40
NC_004913	58
NC_004914	60
NC_004928	211
NC_004996	33
NC_005045	44
NC_005056	34
NC_005066	217
NC_005069	39
NC_005083	327
NC_005091	65
NC_005131	9
NC_005135	210
NC_005178	53
NC_005258	14
NC_005259	85
NC_005260	297
NC_005262	69
NC_005263	67
NC_005282	79
NC_005284	63
NC_005294	47
NC_005340	35
NC_005342	62
NC_005344	45
NC_005345	64
NC_005354	25
NC_005355	23
NC_005356	31
NC_005357	45
NC_005822	27
NC_005833	56
NC_005841	46
NC_005856	82
NC_005857	52
NC_005859	99
NC_005879	42
NC_005880	72
NC_005882	50
NC_005884	26
NC_005885	62
NC_005886	61
NC_005887	48
NC_005891	41
NC_005893	43
NC_005948	10
NC_005949	10
NC_006294	7
NC_006356	6
NC_006548	47
NC_006552	64
NC_006557	39
NC_006565	77
NC_006820	134
NC_006882	17
NC_006883	94
NC_006884	62
NC_006936	31
NC_006938	68
NC_006940	41
NC_006945	18
NC_006949	48
NC_006953	39
NC_007019	31
NC_007021	66
NC_007022	209
NC_007023	257
NC_007024	53
NC_007045	10
NC_007046	9
NC_007047	38
NC_007048	35
NC_007049	34
NC_007050	38
NC_007051	31
NC_007052	32
NC_007053	21
NC_007054	22
NC_007055	38
NC_007056	40
NC_007057	44
NC_007058	40
NC_007059	36
NC_007060	36
NC_007061	34
NC_007062	35
NC_007063	33
NC_007064	35
NC_007065	41
NC_007066	73
NC_007145	46
NC_007149	40
NC_007189	13
NC_007291	49
NC_007451	24
NC_007456	36
NC_007458	27
NC_007461	4
NC_007497	61
NC_007501	38
NC_007581	12
NC_007603	45
NC_007610	65
NC_007623	185
NC_007636	37
NC_007637	46
NC_007709	38
NC_007710	65
NC_007734	28
NC_007804	43
NC_007805	55
NC_007806	43
NC_007807	26
NC_007808	50
NC_007809	70
NC_007810	74
NC_007814	26
NC_007817	5
NC_007818	7
NC_007819	7
NC_007820	7
NC_007821	7
NC_007822	7
NC_007823	8
NC_007824	8
NC_007825	5
NC_007827	7
NC_007856	5
NC_007902	53
NC_007917	5
NC_007924	30
NC_007967	47
NC_008152	43
NC_008193	32
NC_008194	100
NC_008195	88
NC_008196	64
NC_008197	85
NC_008198	67
NC_008199	80
NC_008200	69
NC_008201	40
NC_008202	52
NC_008203	80
NC_008204	82
NC_008205	62
NC_008206	107
NC_008207	201
NC_008208	161
NC_008265	2
NC_008294	1
NC_008296	132
NC_008363	27
NC_008364	23
NC_008367	31
NC_008370	20
NC_008371	20
NC_008376	34
NC_008464	54
NC_008515	166
NC_008562	45
NC_008574	12
NC_008575	10
NC_008583	36
NC_008584	30
NC_008617	27
NC_008689	28
NC_008694	36
NC_008717	48
NC_008720	61
NC_008721	39
NC_008722	31
NC_008723	35
NC_008798	39
NC_008799	37
NC_009014	37
NC_009015	97
NC_009016	48
NC_009018	35
NC_009231	6
NC_009232	45
NC_009234	42
NC_009235	48
NC_009236	47
NC_009237	51
NC_009382	49
NC_009447	62
NC_009514	45
NC_009526	35
NC_009531	48
NC_009540	64
NC_009541	33
NC_009542	44
NC_009543	40
NC_009551	32
NC_009552	45
NC_009554	43
NC_009603	60
NC_009604	66
NC_009643	15
NC_009737	36
NC_009760	203
NC_009761	25
NC_009762	29
NC_009763	29
NC_009799	39
NC_009803	67
NC_009804	61
NC_009810	27
NC_009811	71
NC_009812	27
NC_009813	35
NC_009814	38
NC_009815	28
NC_009816	46
NC_009817	63
NC_009818	49
NC_009819	36
NC_009820	75
NC_009821	216
NC_009875	10
NC_009877	66
NC_009878	66
NC_009904	98
NC_009935	46
NC_009936	45
NC_009990	31
NC_009993	68
NC_010105	226
NC_010106	56
NC_010116	67
NC_010147	36
NC_010179	34
NC_010237	60
NC_010275	37
NC_010324	80
NC_010325	45
NC_010326	47
NC_010353	30
NC_010355	93
NC_010363	14
NC_010391	43
NC_010392	47
NC_010393	48
NC_010429	10
NC_010463	40
NC_010495	54
NC_010576	39
NC_010583	122
NC_010807	38
NC_010808	38
NC_010811	303
NC_010821	417
NC_010945	37
NC_011019	67
NC_011020	63
NC_011021	61
NC_011022	59
NC_011023	75
NC_011038	36
NC_011039	80
NC_011040	40
NC_011041	158
NC_011042	37
NC_011043	37
NC_011044	88
NC_011045	35
NC_011046	26
NC_011048	14
NC_011054	68
NC_011055	103
NC_011056	105
NC_011057	83
NC_011085	37
NC_011103	69
NC_011104	42
NC_011105	45
NC_011107	45
NC_011142	55
NC_011165	77
NC_011166	80
NC_011167	37
NC_011201	45
NC_011216	49
NC_011222	17
NC_011267	63
NC_011269	202
NC_011270	205
NC_011271	203
NC_011272	199
NC_011273	211
NC_011285	70
NC_011287	69
NC_011288	75
NC_011289	68
NC_011290	70
NC_011291	59
NC_011292	75
NC_011308	29
NC_011318	7
NC_011344	22
NC_011356	48
NC_011357	58
NC_011373	52
NC_011398	1
NC_011399	12
NC_011421	80
NC_011523	17
NC_011534	39
NC_011551	34
NC_011589	38
NC_011611	50
NC_011612	19
NC_011613	50
NC_011614	43
NC_011645	28
NC_011703	81
NC_011756	81
NC_011801	25
NC_011802	49
NC_011810	77
NC_011811	94
NC_011976	46
NC_012027	83
NC_012091	5
NC_012092	7
NC_012093	4
NC_012223	57
NC_012418	48
NC_012419	14
NC_012530	86
NC_012635	183
NC_012638	168
NC_012662	41
NC_012663	52
NC_012696	60
NC_012697	65
NC_012740	217
NC_012741	221
NC_012742	39
NC_012743	70
NC_012749	82
NC_012753	35
NC_012756	31
NC_012757	9
NC_012784	31
NC_012788	52
NC_012868	8
NC_012884	27
NC_013021	84
NC_013055	38
NC_013059	41
NC_013085	144
NC_013152	23
NC_013153	19
NC_013154	18
NC_013155	23
NC_013195	30
NC_013197	17
NC_013594	48
NC_013597	54
NC_013598	30
NC_013599	38
NC_013600	47
NC_013638	45
NC_013643	22
NC_013644	33
NC_013645	30
NC_013646	22
NC_013647	36
NC_013648	29
NC_013649	39
NC_013650	197
NC_013651	37
NC_013691	77
NC_013692	80
NC_013693	185
NC_013694	66
NC_013696	23
NC_013697	188
NC_013698	61
NC_013936	62
NC_014036	232
NC_014229	43
NC_014260	229
NC_014457	7
NC_014458	83
NC_014459	83
NC_014460	37
NC_014461	82
NC_014467	242
NC_014595	241
NC_014635	180
NC_014636	294
NC_014660	182
NC_014661	187
NC_014662	214
NC_014663	186
NC_014792	232
NC_014900	48
NC_014901	74
NC_015157	150
NC_015158	55
NC_015159	39
NC_015208	42
NC_015209	10
NC_015210	79
NC_015249	39
NC_015250	168
NC_015251	258
NC_015252	30
NC_015253	92
NC_015254	36
NC_015262	8
NC_015263	74
NC_015264	48
NC_015265	43
NC_015266	45
NC_015269	111
NC_015270	18
NC_015271	34
NC_015272	116
NC_015273	40
NC_015274	44
NC_015279	149
NC_015280	71
NC_015281	127
NC_015282	135
NC_015283	100
NC_015284	74
NC_015285	116
NC_015286	132
NC_015287	114
NC_015288	128
NC_015289	116
NC_015290	84
NC_015292	99
NC_015293	20
NC_015294	115
NC_015295	43
NC_015296	164
NC_015297	8
NC_015453	31
NC_015454	30
NC_015456	65
NC_015457	167
NC_015463	72
NC_015464	10
NC_015465	39
NC_015466	71
NC_015568	3
NC_015569	140
NC_015584	90
NC_015585	47
NC_015586	9
NC_015719	37
NC_015720	50
NC_015721	23
NC_015785	3
NC_015933	61
NC_015937	27
NC_015938	119
NC_016071	176
NC_016073	164
NC_016158	64
NC_016160	40
NC_016161	48
NC_016162	8
NC_016163	146
NC_016164	36
NC_016165	52
NC_016166	73
NC_016434	71
NC_016435	77
NC_016562	13
NC_016563	124
NC_016564	56
NC_016565	9
NC_016566	49
NC_016567	83
NC_016568	19
NC_016569	63
NC_016570	165
NC_016571	274
NC_016650	55
NC_016651	16
NC_016652	68
NC_016653	56
NC_016654	53
NC_016655	69
NC_016656	15
NC_016657	20
NC_016658	18
NC_016659	23
NC_016761	42
NC_016762	60
NC_016763	41
NC_016764	42
NC_016765	57
NC_016766	70
NC_016767	59
NC_016770	20
NC_017674	80
NC_017688	23
NC_017695	24
NC_017696	28
NC_017698	24
NC_017702	27
NC_017732	25
NC_017864	46
NC_017865	45
NC_017968	35
NC_017969	100
NC_017971	54
NC_017972	361
NC_017973	74
NC_017974	222
NC_017975	97
NC_017976	37
NC_017978	2
NC_017980	7
NC_017981	74
NC_017983	51
NC_017984	47
NC_017985	44
NC_018083	8
NC_018084	5
NC_018085	27
NC_018086	51
NC_018087	147
NC_018088	77
NC_018264	17
NC_018269	30
NC_018270	34
NC_018271	14
NC_018272	15
NC_018273	17
NC_018274	51
NC_018275	49
NC_018276	46
NC_018277	32
NC_018278	49
NC_018279	57
NC_018280	34
NC_018281	34
NC_018282	71
NC_018283	70
NC_018284	29
NC_018285	41
NC_018452	70
NC_018454	45
NC_018831	53
NC_018832	57
NC_018834	32
NC_018835	86
NC_018836	66
NC_018837	87
NC_018838	33
NC_018839	34
NC_018840	34
NC_018841	32
NC_018842	31
NC_018843	114
NC_018845	30
NC_018846	56
NC_018847	31
NC_018848	48
NC_018849	34
NC_018850	53
NC_018851	33
NC_018852	31
NC_018853	42
NC_018854	63
NC_018855	215
NC_018856	141
NC_018857	145
NC_018859	83
NC_018860	143
NC_018861	12
NC_018862	3
NC_018863	158
NC_019398	252
NC_019399	167
NC_019400	205
NC_019401	377
NC_019402	97
NC_019403	40
NC_019404	48
NC_019405	311
NC_019406	418
NC_019407	317
NC_019408	324
NC_019410	322
NC_019411	319
NC_019414	66
NC_019416	37
NC_019417	66
NC_019418	30
NC_019419	52
NC_019420	38
NC_019421	1
NC_019422	3
NC_019423	62
NC_019442	59
NC_019443	107
NC_019444	126
NC_019445	44
NC_019446	30
NC_019447	30
NC_019448	72
NC_019449	37
NC_019450	105
NC_019451	83
NC_019452	162
NC_019453	2
NC_019454	53
NC_019455	47
NC_019456	48
NC_019457	51
NC_019485	48
NC_019486	46
NC_019487	117
NC_019488	37
NC_019489	42
NC_019490	20
NC_019496	7
NC_019500	221
NC_019501	46
NC_019502	25
NC_019503	173
NC_019504	67
NC_019505	182
NC_019506	10
NC_019507	23
NC_019508	10
NC_019509	58
NC_019510	38
NC_019511	60
NC_019512	22
NC_019513	21
NC_019514	82
NC_019515	88
NC_019516	75
NC_019517	151
NC_019518	48
NC_019519	92
NC_019520	43
NC_019521	71
NC_019522	54
NC_019523	2
NC_019524	68
NC_019525	45
NC_019526	267
NC_019527	61
NC_019528	42
NC_019529	86
NC_019530	166
NC_019538	304
NC_019539	43
NC_019540	34
NC_019541	41
NC_019542	46
NC_019543	170
NC_019544	62
NC_019545	52
NC_019548	10
NC_019549	19
NC_019550	17
NC_019704	48
NC_019705	41
NC_019706	47
NC_019707	1
NC_019708	45
NC_019709	48
NC_019710	48
NC_019711	50
NC_019713	77
NC_019714	42
NC_019715	42
NC_019716	51
NC_019717	54
NC_019718	49
NC_019719	52
NC_019720	48
NC_019721	45
NC_019722	56
NC_019723	45
NC_019724	51
NC_019725	64
NC_019726	70
NC_019767	47
NC_019768	43
NC_019769	45
NC_019782	32
NC_019813	47
NC_019909	147
NC_019910	183
NC_019911	41
NC_019912	25
NC_019913	105
NC_019914	28
NC_019915	32
NC_019916	48
NC_019917	71
NC_019918	114
NC_019919	124
NC_019920	1
NC_019921	32
NC_019922	2
NC_019923	49
NC_019924	4
NC_019925	159
NC_019926	38
NC_019927	60
NC_019928	17
NC_019929	254
NC_019930	52
NC_019931	17
NC_019932	34
NC_019933	25
NC_019934	42
NC_019935	79
NC_020078	43
NC_020079	193
NC_020080	229
NC_020081	121
NC_020082	61
NC_020083	183
NC_020197	46
NC_020198	52
NC_020199	21
NC_020200	53
NC_020201	180
NC_020202	53
NC_020203	51
NC_020204	55
NC_020205	50
NC_020414	38
NC_020416	151
NC_020477	39
NC_020478	37
NC_020479	39
NC_020480	49
NC_020481	6
NC_020482	5
NC_020483	14
NC_020484	56
NC_020486	130
NC_020488	34
NC_020489	61
NC_020490	39
NC_020835	23
NC_020837	155
NC_020838	41
NC_020839	53
NC_020841	44
NC_020842	7
NC_020843	97
NC_020844	47
NC_020845	62
NC_020846	46
NC_020847	11
NC_020848	71
NC_020849	62
NC_020850	33
NC_020851	116
NC_020853	62
NC_020854	39
NC_020855	90
NC_020856	54
NC_020857	12
NC_020858	53
NC_020859	142
NC_020860	9
NC_020862	61
NC_020863	109
NC_020865	42
NC_020866	53
NC_020867	42
NC_020868	70
NC_020870	17
NC_020871	64
NC_020872	13
NC_020873	137
NC_020874	15
NC_020875	135
NC_020876	77
NC_020877	54
NC_020878	15
NC_020879	166
NC_020880	18
NC_020883	49
NC_021061	60
NC_021062	41
NC_021063	53
NC_021067	155
NC_021068	46
NC_021070	40
NC_021071	123
NC_021072	130
NC_021073	99
NC_021190	53
NC_021297	62
NC_021298	67
NC_021299	105
NC_021300	35
NC_021301	66
NC_021302	66
NC_021304	65
NC_021305	101
NC_021306	109
NC_021307	60
NC_021308	63
NC_021309	102
NC_021310	81
NC_021311	107
NC_021315	68
NC_021316	38
NC_021317	22
NC_021318	69
NC_021323	21
NC_021324	67
NC_021325	4
NC_021326	37
NC_021331	63
NC_021332	37
NC_021334	67
NC_021336	15
NC_021337	24
NC_021338	58
NC_021339	66
NC_021342	56
NC_021343	47
NC_021344	244
NC_021346	204
NC_021347	202
NC_021348	207
NC_021349	205
NC_021529	303
NC_021530	118
NC_021531	224
NC_021532	95
NC_021533	61
NC_021534	57
NC_021535	67
NC_021536	139
NC_021538	69
NC_021539	27
NC_021540	56
NC_021556	52
NC_021557	50
NC_021558	43
NC_021559	63
NC_021560	60
NC_021561	32
NC_021562	8
NC_021563	49
NC_021569	12
NC_021772	65
NC_021773	25
NC_021774	35
NC_021775	48
NC_021776	38
NC_021777	41
NC_021779	69
NC_021780	64
NC_021781	66
NC_021782	59
NC_021783	65
NC_021784	44
NC_021785	49
NC_021787	49
NC_021788	16
NC_021789	16
NC_021790	6
NC_021791	6
NC_021792	12
NC_021793	1
NC_021794	15
NC_021795	6
NC_021796	9
NC_021797	3
NC_021798	15
NC_021799	7
NC_021800	12
NC_021801	34
NC_021802	8
NC_021803	11
NC_021804	12
NC_021805	3
NC_021806	14
NC_021852	29
NC_021853	29
NC_021854	20
NC_021855	23
NC_021856	129
NC_021857	46
NC_021860	22
NC_021861	36
NC_021862	15
NC_021863	34
NC_021864	55
NC_021865	33
NC_021866	7
NC_021867	11
NC_021868	61
NC_022052	99
NC_022053	60
NC_022054	48
NC_022055	74
NC_022056	74
NC_022057	103
NC_022058	79
NC_022059	111
NC_022060	65
NC_022061	83
NC_022062	67
NC_022063	85
NC_022064	86
NC_022065	104
NC_022066	150
NC_022067	163
NC_022068	70
NC_022069	70
NC_022070	72
NC_022071	92
NC_022085	102
NC_022086	60
NC_022087	75
NC_022088	153
NC_022090	58
NC_022091	45
NC_022094	15
NC_022096	313
NC_022323	156
NC_022324	71
NC_022325	97
NC_022328	89
NC_022329	67
NC_022330	108
NC_022331	84
NC_022334	33
NC_022335	32
NC_022336	36
NC_022337	34
NC_022338	34
NC_022339	32
NC_022340	34
NC_022341	33
NC_022342	32
NC_022343	169
NC_022744	39
NC_022746	46
NC_022747	38
NC_022749	50
NC_022750	36
NC_022751	29
NC_022752	50
NC_022753	69
NC_022754	49
NC_022756	44
NC_022757	42
NC_022758	22
NC_022761	95
NC_022762	44
NC_022763	160
NC_022764	33
NC_022765	43
NC_022766	38
NC_022767	67
NC_022768	156
NC_022769	164
NC_022770	37
NC_022771	148
NC_022772	159
NC_022773	44
NC_022774	68
NC_022775	38
NC_022776	35
NC_022790	2
NC_022791	30
NC_022914	27
NC_022915	48
NC_022916	42
NC_022917	55
NC_022918	58
NC_022920	64
NC_022965	75
NC_022966	115
NC_022967	104
NC_022968	208
NC_022969	102
NC_022970	122
NC_022971	49
NC_022972	51
NC_022973	62
NC_022974	120
NC_022975	60
NC_022976	103
NC_022977	75
NC_022979	70
NC_022980	38
NC_022981	103
NC_022982	46
NC_022983	81
NC_022984	61
NC_022985	74
NC_022986	111
NC_022987	48
NC_022988	103
NC_022989	33
NC_023005	50
NC_023006	58
NC_023007	129
NC_023009	64
NC_023498	90
NC_023499	27
NC_023500	36
NC_023501	146
NC_023502	156
NC_023503	45
NC_023548	38
NC_023549	63
NC_023550	8
NC_023551	38
NC_023552	64
NC_023553	76
NC_023554	89
NC_023555	52
NC_023556	71
NC_023557	305
NC_023558	42
NC_023559	36
NC_023560	35
NC_023561	230
NC_023562	69
NC_023563	84
NC_023564	64
NC_023565	66
NC_023566	66
NC_023567	37
NC_023568	317
NC_023569	75
NC_023570	39
NC_023571	32
NC_023572	58
NC_023573	64
NC_023574	96
NC_023575	53
NC_023576	37
NC_023577	68
NC_023578	77
NC_023579	84
NC_023580	70
NC_023581	57
NC_023582	40
NC_023583	45
NC_023584	111
NC_023586	13
NC_023587	123
NC_023588	43
NC_023589	72
NC_023590	48
NC_023593	80
NC_023594	54
NC_023595	38
NC_023597	75
NC_023599	25
NC_023600	84
NC_023601	135
NC_023602	68
NC_023603	88
NC_023604	53
NC_023605	30
NC_023606	73
NC_023607	72
NC_023608	44
NC_023609	57
NC_023610	238
NC_023612	38
NC_023614	22
NC_023686	79
NC_023687	66
NC_023688	293
NC_023689	107
NC_023690	164
NC_023691	65
NC_023692	75
NC_023693	172
NC_023694	89
NC_023695	60
NC_023696	212
NC_023697	65
NC_023698	68
NC_023699	73
NC_023700	51
NC_023701	85
NC_023702	64
NC_023703	77
NC_023704	63
NC_023705	53
NC_023706	79
NC_023707	75
NC_023708	63
NC_023709	63
NC_023710	67
NC_023711	88
NC_023712	104
NC_023713	74
NC_023714	199
NC_023715	37
NC_023716	73
NC_023717	225
NC_023719	204
NC_023720	69
NC_023721	63
NC_023722	66
NC_023723	68
NC_023724	79
NC_023725	208
NC_023726	71
NC_023727	84
NC_023728	73
NC_023729	56
NC_023730	62
NC_023731	76
NC_023732	80
NC_023733	207
NC_023734	42
NC_023735	88
NC_023736	44
NC_023737	205
NC_023738	136
NC_023739	60
NC_023740	84
NC_023741	87
NC_023742	84
NC_023743	44
NC_023744	77
NC_023745	68
NC_023746	70
NC_023747	81
NC_023748	68
NC_023856	154
NC_023859	87
NC_023862	67
NC_023863	58
NC_023865	55
NC_024121	215
NC_024122	169
NC_024123	83
NC_024124	221
NC_024125	174
NC_024134	161
NC_024135	54
NC_024136	63
NC_024137	142
NC_024138	86
NC_024139	104
NC_024140	78
NC_024141	68
NC_024142	73
NC_024143	65
NC_024144	5
NC_024145	84
NC_024146	63
NC_024147	83
NC_024148	70
NC_024149	9
NC_024203	37
NC_024204	45
NC_024205	149
NC_024206	29
NC_024207	147
NC_024208	39
NC_024209	71
NC_024210	46
NC_024211	151
NC_024212	57
NC_024213	154
NC_024214	36
NC_024215	38
NC_024216	149
NC_024217	71
NC_024329	19
NC_024330	53
NC_024354	224
NC_024355	47
NC_024356	34
NC_024357	32
NC_024358	23
NC_024359	69
NC_024360	73
NC_024361	30
NC_024362	43
NC_024363	84
NC_024364	67
NC_024365	62
NC_024366	84
NC_024367	67
NC_024368	65
NC_024369	50
NC_024370	33
NC_024371	73
NC_024375	54
NC_024378	22
NC_024379	36
NC_024380	15
NC_024381	48
NC_024383	66
NC_024384	34
NC_024385	21
NC_024386	23
NC_024387	29
NC_024388	23
NC_024389	24
NC_024390	21
NC_024391	37
NC_024392	48
NC_024711	45
NC_024782	51
NC_024783	54
NC_024784	49
NC_024785	36
NC_024786	66
NC_024787	69
NC_024788	152
NC_024789	45
NC_024790	61
NC_024791	53
NC_024792	142
NC_024793	47
NC_024794	209
NC_025115	47
NC_025414	254
NC_025415	38
NC_025416	58
NC_025417	77
NC_025418	37
NC_025419	163
NC_025420	40
NC_025421	34
NC_025422	138
NC_025423	91
NC_025424	36
NC_025425	221
NC_025426	73
NC_025427	80
NC_025428	69
NC_025429	208
NC_025430	54
NC_025431	50
NC_025433	73
NC_025434	57
NC_025436	81
NC_025437	214
NC_025438	81
NC_025439	40
NC_025440	65
NC_025441	71
NC_025442	68
NC_025443	64
NC_025444	75
NC_025445	43
NC_025446	169
NC_025447	309
NC_025448	167
NC_025449	170
NC_025450	40
NC_025451	35
NC_025452	165
NC_025453	27
NC_025454	11
NC_025455	36
NC_025456	45
NC_025457	41
NC_025458	42
NC_025459	70
NC_025460	25
NC_025461	43
NC_025462	83
NC_025463	40
NC_025464	39
NC_025465	42
NC_025466	29
NC_025467	6
NC_025470	90
NC_025471	42
NC_025822	35
NC_025824	6
NC_025829	172
NC_025830	114
NC_026010	62
NC_026013	4
NC_026014	47
NC_026016	27
NC_026017	43
NC_026582	4
NC_026583	63
NC_026584	154
NC_026585	72
NC_026586	81
NC_026587	116
NC_026588	75
NC_026589	76
NC_026590	100
NC_026591	54
NC_026593	70
NC_026594	72
NC_026595	66
NC_026596	67
NC_026597	76
NC_026598	87
NC_026599	44
NC_026600	77
NC_026601	52
NC_026602	45
NC_026603	85
NC_026604	62
NC_026605	66
NC_026606	85
NC_026607	157
NC_026608	46
NC_026609	47
NC_026610	68
NC_026611	52
NC_026612	4
NC_026613	6
NC_026923	117
NC_026924	112
NC_026926	120
NC_026927	144
NC_026928	124
NC_027118	40
NC_027119	164
NC_027120	36
NC_027125	8
NC_027130	119
NC_027132	120
NC_027204	293
NC_027292	42
NC_027293	89
NC_027294	31
NC_027295	34
NC_027296	67
NC_027297	136
NC_027298	49
NC_027299	52
NC_027329	81
NC_027330	39
NC_027331	223
NC_027332	79
NC_027333	32
NC_027334	64
NC_027335	96
NC_027336	29
NC_027337	83
NC_027339	50
NC_027340	197
NC_027341	93
NC_027342	23
NC_027344	150
NC_027345	81
NC_027346	33
NC_027347	36
NC_027348	84
NC_027349	164
NC_027350	68
NC_027351	181
NC_027352	143
NC_027353	174
NC_027354	35
NC_027355	137
NC_027356	99
NC_027357	32
NC_027358	23
NC_027359	32
NC_027360	81
NC_027361	32
NC_027362	33
NC_027363	26
NC_027364	317
NC_027365	81
NC_027366	151
NC_027367	33
NC_027368	41
NC_027369	85
NC_027370	32
NC_027371	31
NC_027372	34
NC_027373	35
NC_027374	134
NC_027375	44
NC_027376	31
NC_027377	23
NC_027378	70
NC_027379	36
NC_027380	32
NC_027381	49
NC_027382	50
NC_027383	54
NC_027384	52
NC_027385	31
NC_027386	33
NC_027387	40
NC_027388	79
NC_027389	31
NC_027390	38
NC_027391	33
NC_027392	30
NC_027393	39
NC_027394	36
NC_027395	82
NC_027396	30
NC_027397	42
NC_027398	45
NC_027399	279
NC_027400	30
NC_027401	33
NC_027402	253
NC_027403	30
NC_027404	163
NC_027405	31
NC_027620	33
NC_027621	32
NC_027622	31
NC_027623	34
NC_027624	32
NC_027625	34
NC_027626	33
NC_027627	31
NC_027628	34
NC_027629	30
NC_027630	32
NC_027633	2
NC_027634	5
NC_027635	5
NC_027636	3
NC_027637	3
NC_027638	5
NC_027639	5
NC_027640	5
NC_027641	5
NC_027642	3
NC_027643	4
NC_027644	5
NC_027645	5
NC_027646	5
NC_027647	3
NC_027648	3
NC_027979	182
NC_027980	37
NC_027981	54
NC_027982	44
NC_027983	174
NC_027984	51
NC_027985	84
NC_027986	51
NC_027987	25
NC_027988	43
NC_027989	10
NC_027990	52
NC_027991	157
NC_027992	53
NC_027993	48
NC_027994	48
NC_027995	56
NC_027996	27
NC_027997	26
NC_028247	92
NC_028248	159
NC_028448	173
NC_028449	67
NC_028651	11
NC_028652	105
NC_028653	72
NC_028654	68
NC_028655	41
NC_028656	68
