ID	CDSs_GLIMMER
NC_019934	34
NC_019935	48
NC_020078	32
NC_020079	156
NC_020080	177
NC_020081	93
NC_020082	22
NC_020083	126
NC_020197	39
NC_020198	24
NC_020199	42
NC_020200	22
NC_020201	113
NC_020202	25
NC_020203	21
NC_020204	36
NC_020205	38
NC_020414	37
NC_020416	189
NC_020477	39
NC_020478	47
NC_020479	45
NC_020480	40
NC_020481	36
NC_020482	29
NC_020483	36
NC_020484	126
NC_020486	150
NC_020488	27
NC_020489	33
NC_020490	33
NC_020835	32
NC_020837	129
NC_020838	40
NC_020839	31
NC_020841	40
NC_020842	66
NC_020843	125
NC_020844	30
NC_020845	109
NC_020846	43
NC_020847	27
NC_020848	53
NC_020849	66
NC_020850	34
NC_020851	202
NC_020853	44
NC_020854	34
NC_020855	105
NC_020856	25
NC_020857	28
NC_020858	26
NC_020859	147
NC_020860	48
NC_020862	57
NC_020863	143
NC_020865	40
NC_020866	31
NC_020867	51
NC_020868	54
NC_020870	24
NC_020871	87
NC_020872	27
NC_020873	106
NC_020874	28
NC_020875	136
NC_020876	37
NC_020877	117
NC_020878	33
NC_020879	168
NC_020880	21
NC_020883	45
NC_021061	34
NC_021062	25
NC_021063	33
NC_021067	133
NC_021068	53
NC_021070	30
NC_021071	116
NC_021072	140
NC_021073	86
NC_021190	35
NC_021297	37
NC_021298	46
NC_021299	49
NC_021300	32
NC_021301	39
NC_021302	45
NC_021304	45
NC_021305	47
NC_021306	48
NC_021307	37
NC_021308	35
NC_021309	48
NC_021310	44
NC_021311	47
NC_021315	37
NC_021316	37
NC_021317	13
NC_021318	40
NC_021323	43
NC_021324	36
NC_021325	28
NC_021326	46
NC_021331	52
NC_021332	35
NC_021334	36
NC_021336	29
NC_021337	17
NC_021338	38
NC_021339	43
NC_021342	28
NC_021343	25
NC_021344	161
NC_021346	122
NC_021347	133
NC_021348	128
NC_021349	125
NC_021529	244
NC_021530	142
NC_021531	175
NC_021532	62
NC_021533	39
NC_021534	52
NC_021535	35
NC_021536	149
NC_021538	42
NC_021539	42
NC_021540	58
NC_021556	42
NC_021557	30
NC_021558	28
NC_021559	122
NC_021560	38
NC_021561	42
NC_021562	7
NC_021563	33
NC_021569	4
NC_021772	60
NC_021773	37
NC_021774	23
NC_021775	20
NC_021776	34
NC_021777	24
NC_021779	43
NC_021780	38
NC_021781	92
NC_021782	60
NC_021783	36
NC_021784	30
NC_021785	56
NC_021787	53
NC_021788	95
NC_021789	57
NC_021790	33
NC_021791	31
NC_021792	55
NC_021793	25
NC_021794	51
NC_021795	33
NC_021796	48
NC_021797	6
NC_021798	96
NC_021799	52
NC_021800	29
NC_021801	36
NC_021802	48
NC_021803	58
NC_021804	33
NC_021805	8
NC_021806	70
NC_021852	29
NC_021853	32
NC_021854	28
NC_021855	34
NC_021856	96
NC_021857	34
NC_021860	29
NC_021861	36
NC_021862	6
NC_021863	37
NC_021864	53
NC_021865	34
NC_021866	5
NC_021867	42
NC_021868	54
NC_022052	66
NC_022053	43
NC_022054	34
NC_022055	43
NC_022056	41
NC_022057	58
NC_022058	41
NC_022059	49
NC_022060	37
NC_022061	60
NC_022062	43
NC_022063	56
NC_022064	56
NC_022065	47
NC_022066	57
NC_022067	54
NC_022068	45
NC_022069	41
NC_022070	46
NC_022071	66
NC_022085	47
NC_022086	36
NC_022087	42
NC_022088	109
NC_022090	122
NC_022091	33
NC_022094	17
NC_022096	206
NC_022323	137
NC_022324	38
NC_022325	63
NC_022328	68
NC_022329	35
NC_022330	47
NC_022331	63
NC_022334	33
NC_022335	31
NC_022336	37
NC_022337	33
NC_022338	35
NC_022339	33
NC_022340	29
NC_022341	29
NC_022342	32
NC_022343	133
NC_022744	32
NC_022746	29
NC_022747	29
NC_022749	34
NC_022750	26
NC_022751	25
NC_022752	26
NC_022753	31
NC_022754	18
NC_022756	34
NC_022757	32
NC_022758	39
NC_022761	100
NC_022762	35
NC_022763	113
NC_022764	35
NC_022765	42
NC_022766	46
NC_022767	83
NC_022768	130
NC_022769	111
NC_022770	35
NC_022771	101
NC_022772	129
NC_022773	42
NC_022774	83
NC_022775	29
NC_022776	33
NC_022790	3
NC_022791	37
NC_022914	42
NC_022915	26
NC_022916	29
NC_022917	33
NC_022918	109
NC_022920	112
NC_022965	36
NC_022966	57
NC_022967	64
NC_022968	153
NC_022969	47
NC_022970	60
NC_022971	34
NC_022972	28
NC_022973	37
NC_022974	63
NC_022975	40
NC_022976	45
NC_022977	35
NC_022979	38
NC_022980	43
NC_022981	47
NC_022982	34
NC_022983	70
NC_022984	36
NC_022985	34
NC_022986	66
NC_022987	36
NC_022988	45
NC_022989	33
NC_023005	29
NC_023006	31
NC_023007	147
NC_023009	103
NC_023498	56
NC_023499	40
NC_023500	42
NC_023501	105
NC_023502	68
NC_023503	42
NC_023548	31
NC_023549	43
NC_023550	17
NC_023551	33
NC_023552	46
NC_023553	40
NC_023554	75
NC_023555	23
NC_023556	50
NC_023557	196
NC_023558	24
NC_023559	40
NC_023560	42
NC_023561	215
NC_023562	34
NC_023563	43
NC_023564	33
NC_023565	36
NC_023566	43
NC_023567	24
NC_023568	239
NC_023569	58
NC_023570	34
NC_023571	43
NC_023572	30
NC_023573	120
NC_023574	123
NC_023575	29
NC_023576	27
NC_023577	41
NC_023578	39
NC_023579	67
NC_023580	41
NC_023581	51
NC_023582	89
NC_023583	34
NC_023584	133
NC_023586	11
NC_023587	126
NC_023588	32
NC_023589	63
NC_023590	28
NC_023593	87
NC_023594	34
NC_023595	39
NC_023597	36
NC_023599	32
NC_023600	54
NC_023601	94
NC_023602	42
NC_023603	65
NC_023604	46
NC_023605	30
NC_023606	41
NC_023607	40
NC_023608	23
NC_023609	39
NC_023610	144
NC_023612	32
NC_023614	26
NC_023686	66
NC_023687	34
NC_023688	237
NC_023689	52
NC_023690	59
NC_023691	50
NC_023692	34
NC_023693	165
NC_023694	55
NC_023695	35
NC_023696	135
NC_023697	41
NC_023698	35
NC_023699	45
NC_023700	24
NC_023701	66
NC_023702	34
NC_023703	51
NC_023704	36
NC_023705	39
NC_023706	55
NC_023707	36
NC_023708	36
NC_023709	35
NC_023710	37
NC_023711	40
NC_023712	71
NC_023713	36
NC_023714	128
NC_023715	31
NC_023716	35
NC_023717	121
NC_023719	476
NC_023720	38
NC_023721	36
NC_023722	54
NC_023723	35
NC_023724	49
NC_023725	137
NC_023726	37
NC_023727	44
NC_023728	44
NC_023729	38
NC_023730	38
NC_023731	40
NC_023732	59
NC_023733	126
NC_023734	31
NC_023735	59
NC_023736	30
NC_023737	119
NC_023738	52
NC_023739	40
NC_023740	41
NC_023741	70
NC_023742	69
NC_023743	47
NC_023744	42
NC_023745	39
NC_023746	41
NC_023747	49
NC_023748	36
NC_023856	129
NC_023859	43
NC_023862	33
NC_023863	47
NC_023865	47
NC_024121	165
NC_024122	140
NC_024123	48
NC_024124	215
NC_024125	215
NC_024134	139
NC_024135	40
NC_024136	37
NC_024137	104
NC_024138	42
NC_024139	104
NC_024140	44
NC_024141	36
NC_024142	56
NC_024143	40
NC_024144	49
NC_024145	66
NC_024146	52
NC_024147	53
NC_024148	36
NC_024149	18
NC_024203	57
NC_024204	23
NC_024205	114
NC_024206	43
NC_024207	110
NC_024208	57
NC_024209	43
NC_024210	43
NC_024211	100
NC_024212	48
NC_024213	106
NC_024214	61
NC_024215	55
NC_024216	112
NC_024217	68
NC_024329	32
NC_024330	25
NC_024354	121
NC_024355	95
NC_024356	31
NC_024357	34
NC_024358	24
NC_024359	91
NC_024360	91
NC_024361	29
NC_024362	24
NC_024363	41
NC_024364	87
NC_024365	33
NC_024366	49
NC_024367	51
NC_024368	35
NC_024369	43
NC_024370	32
NC_024371	43
NC_024375	56
NC_024378	27
NC_024379	30
NC_024380	27
NC_024381	30
NC_024383	93
NC_024384	41
NC_024385	24
NC_024386	29
NC_024387	37
NC_024388	25
NC_024389	26
NC_024390	25
NC_024391	37
NC_024392	59
NC_024711	91
NC_024782	26
NC_024783	27
NC_024784	48
NC_024785	57
NC_024786	52
NC_024787	84
NC_024788	105
NC_024789	49
NC_024790	51
NC_024791	46
NC_024792	107
NC_024793	51
NC_024794	205
NC_025115	40
NC_025414	168
NC_025415	27
NC_025416	113
NC_025417	118
NC_025418	27
NC_025419	210
NC_025420	32
NC_025421	30
NC_025422	195
NC_025423	88
NC_025424	31
NC_025425	182
NC_025426	118
NC_025427	45
NC_025428	45
NC_025429	104
NC_025430	30
NC_025431	26
NC_025433	47
NC_025434	44
NC_025436	119
NC_025437	204
NC_025438	42
NC_025439	22
NC_025440	90
NC_025441	59
NC_025442	37
NC_025443	51
NC_025444	39
NC_025445	25
NC_025446	139
NC_025447	369
NC_025448	214
NC_025449	218
NC_025450	30
NC_025451	23
NC_025452	136
NC_025453	37
NC_025454	7
NC_025455	29
NC_025456	40
NC_025457	42
NC_025458	46
NC_025459	42
NC_025460	40
NC_025461	44
NC_025462	108
NC_025463	48
NC_025464	46
NC_025465	32
NC_025466	40
NC_025467	18
NC_025470	129
NC_025471	30
NC_025822	32
NC_025824	6
NC_025829	206
NC_025830	124
NC_026010	45
NC_026013	7
NC_026014	26
NC_026016	43
NC_026017	26
NC_026582	8
NC_026583	37
NC_026584	55
NC_026585	47
NC_026586	48
NC_026587	51
NC_026588	41
NC_026589	43
NC_026590	68
NC_026591	34
NC_026593	41
NC_026594	51
NC_026595	45
NC_026596	40
NC_026597	46
NC_026598	50
NC_026599	38
NC_026600	52
NC_026601	24
NC_026602	29
NC_026603	47
NC_026604	36
NC_026605	40
NC_026606	51
NC_026607	187
NC_026608	28
NC_026609	64
NC_026610	39
NC_026611	32
NC_026612	9
NC_026613	11
NC_026923	128
NC_026924	128
NC_026926	151
NC_026927	149
NC_026928	133
NC_027118	28
NC_027119	139
NC_027120	27
NC_027125	51
NC_027130	135
NC_027132	137
NC_027204	157
NC_027292	29
NC_027293	91
NC_027294	30
NC_027295	34
NC_027296	40
NC_027297	129
NC_027298	25
NC_027299	26
NC_027329	85
NC_027330	44
NC_027331	217
NC_027332	104
NC_027333	30
NC_027334	45
NC_027335	101
NC_027336	33
NC_027337	93
NC_027339	30
NC_027340	154
NC_027341	131
NC_027342	23
NC_027344	179
NC_027345	49
NC_027346	30
NC_027347	37
NC_027348	50
NC_027349	216
NC_027350	56
NC_027351	155
NC_027352	116
NC_027353	215
NC_027354	30
NC_027355	116
NC_027356	101
NC_027357	39
NC_027358	29
NC_027359	30
NC_027360	84
NC_027361	34
NC_027362	27
NC_027363	26
NC_027364	368
NC_027365	48
NC_027366	114
NC_027367	32
NC_027368	27
NC_027369	93
NC_027370	33
NC_027371	38
NC_027372	35
NC_027373	34
NC_027374	104
NC_027375	31
NC_027376	30
NC_027377	29
NC_027378	58
NC_027379	39
NC_027380	31
NC_027381	57
NC_027382	28
NC_027383	29
NC_027384	23
NC_027385	31
NC_027386	33
NC_027387	31
NC_027388	49
NC_027389	34
NC_027390	39
NC_027391	33
NC_027392	33
NC_027393	22
NC_027394	35
NC_027395	87
NC_027396	28
NC_027397	23
NC_027398	35
NC_027399	357
NC_027400	33
NC_027401	34
NC_027402	169
NC_027403	33
NC_027404	222
NC_027405	33
NC_027620	31
NC_027621	34
NC_027622	31
NC_027623	34
NC_027624	33
NC_027625	31
NC_027626	33
NC_027627	31
NC_027628	35
NC_027629	32
NC_027630	29
NC_027633	6
NC_027634	5
NC_027635	5
NC_027636	6
NC_027637	7
NC_027638	7
NC_027639	5
NC_027640	7
NC_027641	6
NC_027642	6
NC_027643	5
NC_027644	7
NC_027645	7
NC_027646	5
NC_027647	5
NC_027648	4
NC_027979	216
NC_027980	31
NC_027981	39
NC_027982	32
NC_027983	215
NC_027984	39
NC_027985	45
NC_027986	34
NC_027987	30
NC_027988	56
NC_027989	56
NC_027990	47
NC_027991	130
NC_027992	30
NC_027993	29
NC_027994	25
NC_027995	30
NC_027996	162
NC_027997	159
NC_028247	102
NC_028248	135
NC_028448	216
NC_028449	41
NC_028651	17
NC_028652	56
NC_028653	57
NC_028654	38
NC_028655	27
NC_028656	43
