ID	CDSs_METAPRODIGAL
NC_004301	4
NC_004302	49
NC_004303	57
NC_004305	66
NC_004306	11
NC_004313	57
NC_004333	64
NC_004348	66
NC_004456	62
NC_004462	42
NC_004466	70
NC_004584	58
NC_004585	56
NC_004586	54
NC_004587	65
NC_004588	62
NC_004589	50
NC_004615	65
NC_004616	64
NC_004617	64
NC_004629	366
NC_004664	52
NC_004665	40
NC_004678	20
NC_004679	20
NC_004680	110
NC_004681	134
NC_004682	83
NC_004683	80
NC_004684	89
NC_004685	118
NC_004686	110
NC_004687	229
NC_004688	214
NC_004689	100
NC_004735	150
NC_004736	13
NC_004740	63
NC_004745	39
NC_004746	50
NC_004775	45
NC_004777	44
NC_004813	83
NC_004814	26
NC_004820	89
NC_004821	52
NC_004827	60
NC_004831	50
NC_004902	66
NC_004913	89
NC_004914	93
NC_004928	266
NC_004996	57
NC_005045	52
NC_005056	43
NC_005066	267
NC_005069	60
NC_005083	382
NC_005091	71
NC_005131	11
NC_005135	256
NC_005178	56
NC_005258	24
NC_005259	98
NC_005260	338
NC_005262	73
NC_005263	68
NC_005282	121
NC_005284	77
NC_005294	75
NC_005340	41
NC_005342	64
NC_005344	60
NC_005345	80
NC_005354	55
NC_005355	53
NC_005356	68
NC_005357	50
NC_005822	48
NC_005833	71
NC_005841	61
NC_005856	100
NC_005857	56
NC_005859	179
NC_005879	46
NC_005880	235
NC_005882	50
NC_005884	52
NC_005885	73
NC_005886	68
NC_005887	50
NC_005891	48
NC_005893	55
NC_005948	13
NC_005949	13
NC_006294	8
NC_006356	67
NC_006548	51
NC_006552	74
NC_006557	55
NC_006565	167
NC_006820	223
NC_006882	55
NC_006883	329
NC_006884	220
NC_006936	46
NC_006938	88
NC_006940	62
NC_006945	23
NC_006949	73
NC_006953	57
NC_007019	41
NC_007021	181
NC_007022	254
NC_007023	287
NC_007024	79
NC_007045	23
NC_007046	21
NC_007047	66
NC_007048	66
NC_007049	67
NC_007050	67
NC_007051	55
NC_007052	66
NC_007053	62
NC_007054	61
NC_007055	67
NC_007056	67
NC_007057	70
NC_007058	69
NC_007059	66
NC_007060	62
NC_007061	64
NC_007062	58
NC_007063	65
NC_007064	63
NC_007065	65
NC_007066	207
NC_007145	50
NC_007149	53
NC_007189	15
NC_007291	90
NC_007451	26
NC_007456	48
NC_007458	55
NC_007461	5
NC_007497	71
NC_007501	51
NC_007581	207
NC_007603	72
NC_007610	175
NC_007623	203
NC_007636	49
NC_007637	61
NC_007709	59
NC_007710	73
NC_007734	56
NC_007804	51
NC_007805	62
NC_007806	51
NC_007807	51
NC_007808	69
NC_007809	83
NC_007810	94
NC_007814	53
NC_007817	6
NC_007818	9
NC_007819	8
NC_007820	8
NC_007821	9
NC_007822	9
NC_007823	9
NC_007824	9
NC_007825	6
NC_007827	10
NC_007856	6
NC_007902	64
NC_007917	94
NC_007924	58
NC_007967	56
NC_008152	50
NC_008193	41
NC_008194	135
NC_008195	96
NC_008196	95
NC_008197	98
NC_008198	79
NC_008199	97
NC_008200	82
NC_008201	49
NC_008202	59
NC_008203	93
NC_008204	89
NC_008205	99
NC_008206	127
NC_008207	222
NC_008208	230
NC_008265	57
NC_008294	3
NC_008296	199
NC_008363	54
NC_008364	49
NC_008367	49
NC_008370	58
NC_008371	51
NC_008376	51
NC_008464	79
NC_008515	262
NC_008562	187
NC_008574	16
NC_008575	10
NC_008583	65
NC_008584	151
NC_008617	62
NC_008689	67
NC_008694	42
NC_008717	54
NC_008720	72
NC_008721	56
NC_008722	68
NC_008723	72
NC_008798	67
NC_008799	67
NC_009014	52
NC_009015	114
NC_009016	54
NC_009018	60
NC_009231	96
NC_009232	64
NC_009234	44
NC_009235	67
NC_009236	49
NC_009237	52
NC_009382	54
NC_009447	72
NC_009514	55
NC_009526	67
NC_009531	57
NC_009540	82
NC_009541	41
NC_009542	44
NC_009543	65
NC_009551	41
NC_009552	61
NC_009554	54
NC_009603	67
NC_009604	68
NC_009643	19
NC_009737	51
NC_009760	246
NC_009761	59
NC_009762	69
NC_009763	72
NC_009799	60
NC_009803	110
NC_009804	107
NC_009810	62
NC_009811	194
NC_009812	65
NC_009813	77
NC_009814	56
NC_009815	60
NC_009816	86
NC_009817	122
NC_009818	51
NC_009819	55
NC_009820	106
NC_009821	263
NC_009875	20
NC_009877	87
NC_009878	85
NC_009904	214
NC_009935	55
NC_009936	58
NC_009990	42
NC_009993	81
NC_010105	286
NC_010106	73
NC_010116	78
NC_010147	68
NC_010179	66
NC_010237	93
NC_010275	44
NC_010324	124
NC_010325	68
NC_010326	55
NC_010353	42
NC_010355	112
NC_010363	25
NC_010391	56
NC_010392	55
NC_010393	55
NC_010429	13
NC_010463	42
NC_010495	71
NC_010576	76
NC_010583	181
NC_010807	44
NC_010808	70
NC_010811	329
NC_010821	465
NC_010945	59
NC_011019	87
NC_011020	90
NC_011021	90
NC_011022	89
NC_011023	85
NC_011038	43
NC_011039	92
NC_011040	43
NC_011041	212
NC_011042	48
NC_011043	48
NC_011044	94
NC_011045	50
NC_011046	55
NC_011048	25
NC_011054	107
NC_011055	138
NC_011056	143
NC_011057	95
NC_011085	49
NC_011103	97
NC_011104	55
NC_011105	55
NC_011107	53
NC_011142	76
NC_011165	87
NC_011166	93
NC_011167	79
NC_011201	53
NC_011216	48
NC_011222	61
NC_011267	81
NC_011269	224
NC_011270	224
NC_011271	222
NC_011272	222
NC_011273	233
NC_011285	80
NC_011287	96
NC_011288	108
NC_011289	104
NC_011290	82
NC_011291	71
NC_011292	85
NC_011308	57
NC_011318	65
NC_011344	65
NC_011356	77
NC_011357	89
NC_011373	80
NC_011398	72
NC_011399	16
NC_011421	192
NC_011523	27
NC_011534	46
NC_011551	42
NC_011589	53
NC_011611	51
NC_011612	63
NC_011613	52
NC_011614	62
NC_011645	55
NC_011703	93
NC_011756	94
NC_011801	56
NC_011802	64
NC_011810	90
NC_011811	116
NC_011976	62
NC_012027	98
NC_012091	6
NC_012092	7
NC_012093	4
NC_012223	62
NC_012418	54
NC_012419	24
NC_012530	201
NC_012635	266
NC_012638	266
NC_012662	50
NC_012663	86
NC_012696	78
NC_012697	82
NC_012740	273
NC_012741	280
NC_012742	64
NC_012743	77
NC_012749	127
NC_012753	54
NC_012756	53
NC_012757	11
NC_012784	83
NC_012788	60
NC_012868	8
NC_012884	39
NC_013021	123
NC_013055	48
NC_013059	56
NC_013085	238
NC_013152	49
NC_013153	49
NC_013154	49
NC_013155	53
NC_013195	66
NC_013197	36
NC_013594	55
NC_013597	60
NC_013598	43
NC_013599	45
NC_013600	57
NC_013638	51
NC_013643	65
NC_013644	52
NC_013645	44
NC_013646	62
NC_013647	49
NC_013648	66
NC_013649	58
NC_013650	215
NC_013651	48
NC_013691	113
NC_013692	93
NC_013693	208
NC_013694	82
NC_013696	63
NC_013697	234
NC_013698	82
NC_013936	91
NC_014036	271
NC_014229	46
NC_014260	279
NC_014457	87
NC_014458	91
NC_014459	92
NC_014460	65
NC_014461	111
NC_014467	266
NC_014595	289
NC_014635	255
NC_014636	335
NC_014660	255
NC_014661	242
NC_014662	277
NC_014663	252
NC_014792	290
NC_014900	64
NC_014901	110
NC_015157	225
NC_015158	72
NC_015159	49
NC_015208	47
NC_015209	15
NC_015210	83
NC_015249	43
NC_015250	257
NC_015251	419
NC_015252	53
NC_015253	163
NC_015254	62
NC_015262	61
NC_015263	144
NC_015264	51
NC_015265	48
NC_015266	47
NC_015269	171
NC_015270	35
NC_015271	46
NC_015272	157
NC_015273	40
NC_015274	73
NC_015279	237
NC_015280	217
NC_015281	212
NC_015282	223
NC_015283	225
NC_015284	219
NC_015285	200
NC_015286	210
NC_015287	297
NC_015288	199
NC_015289	205
NC_015290	216
NC_015292	116
NC_015293	53
NC_015294	173
NC_015295	80
NC_015296	203
NC_015297	9
NC_015453	42
NC_015454	42
NC_015456	78
NC_015457	262
NC_015463	111
NC_015464	174
NC_015465	52
NC_015466	91
NC_015568	49
NC_015569	262
NC_015584	119
NC_015585	57
NC_015586	11
NC_015719	48
NC_015720	60
NC_015721	39
NC_015785	8
NC_015933	83
NC_015937	150
NC_015938	154
NC_016071	235
NC_016073	206
NC_016158	79
NC_016160	56
NC_016161	59
NC_016162	11
NC_016163	351
NC_016164	44
NC_016165	56
NC_016166	96
NC_016434	85
NC_016435	88
NC_016562	179
NC_016563	275
NC_016564	137
NC_016565	21
NC_016566	57
NC_016567	117
NC_016568	27
NC_016569	70
NC_016570	207
NC_016571	303
NC_016650	65
NC_016651	18
NC_016652	84
NC_016653	65
NC_016654	59
NC_016655	86
NC_016656	57
NC_016657	57
NC_016658	68
NC_016659	66
NC_016761	49
NC_016762	66
NC_016763	66
NC_016764	45
NC_016765	91
NC_016766	102
NC_016767	63
NC_016770	66
NC_017674	92
NC_017688	58
NC_017695	58
NC_017696	57
NC_017698	58
NC_017702	58
NC_017732	48
NC_017864	53
NC_017865	54
NC_017968	64
NC_017969	162
NC_017971	70
NC_017972	382
NC_017973	89
NC_017974	283
NC_017975	175
NC_017976	56
NC_017978	45
NC_017980	28
NC_017981	80
NC_017983	63
NC_017984	83
NC_017985	60
NC_018083	27
NC_018084	26
NC_018085	60
NC_018086	80
NC_018087	258
NC_018088	151
NC_018264	59
NC_018269	52
NC_018270	45
NC_018271	58
NC_018272	57
NC_018273	40
NC_018274	55
NC_018275	64
NC_018276	65
NC_018277	66
NC_018278	53
NC_018279	74
NC_018280	55
NC_018281	75
NC_018282	81
NC_018283	78
NC_018284	65
NC_018285	57
NC_018452	74
NC_018454	54
NC_018831	114
NC_018832	72
NC_018834	42
NC_018835	131
NC_018836	73
NC_018837	163
NC_018838	41
NC_018839	43
NC_018840	44
NC_018841	41
NC_018842	42
NC_018843	125
NC_018845	42
NC_018846	69
NC_018847	42
NC_018848	53
NC_018849	40
NC_018850	72
NC_018851	42
NC_018852	40
NC_018853	46
NC_018854	82
NC_018855	269
NC_018856	257
NC_018857	283
NC_018859	120
NC_018860	218
NC_018861	170
NC_018862	5
NC_018863	282
NC_019398	272
NC_019399	275
NC_019400	255
NC_019401	536
NC_019402	112
NC_019403	55
NC_019404	75
NC_019405	336
NC_019406	442
NC_019407	345
NC_019408	346
NC_019410	348
NC_019411	341
NC_019414	79
NC_019416	48
NC_019417	72
NC_019418	53
NC_019419	58
NC_019420	47
NC_019421	75
NC_019422	47
NC_019423	92
NC_019442	74
NC_019443	213
NC_019444	212
NC_019445	58
NC_019446	58
NC_019447	57
NC_019448	213
NC_019449	47
NC_019450	171
NC_019451	93
NC_019452	203
NC_019453	3
NC_019454	55
NC_019455	55
NC_019456	69
NC_019457	69
NC_019485	77
NC_019486	55
NC_019487	239
NC_019488	41
NC_019489	53
NC_019490	85
NC_019496	64
NC_019500	268
NC_019501	59
NC_019502	64
NC_019503	263
NC_019504	80
NC_019505	267
NC_019506	67
NC_019507	264
NC_019508	67
NC_019509	75
NC_019510	47
NC_019511	192
NC_019512	29
NC_019513	65
NC_019514	106
NC_019515	140
NC_019516	172
NC_019517	213
NC_019518	66
NC_019519	124
NC_019520	49
NC_019521	293
NC_019522	65
NC_019523	22
NC_019524	79
NC_019525	71
NC_019526	547
NC_019527	81
NC_019528	56
NC_019529	157
NC_019530	207
NC_019538	427
NC_019539	57
NC_019540	75
NC_019541	64
NC_019542	56
NC_019543	231
NC_019544	85
NC_019545	68
NC_019548	11
NC_019549	38
NC_019550	43
NC_019704	63
NC_019705	62
NC_019706	65
NC_019707	3
NC_019708	57
NC_019709	64
NC_019710	69
NC_019711	65
NC_019713	103
NC_019714	60
NC_019715	58
NC_019716	56
NC_019717	67
NC_019718	70
NC_019719	64
NC_019720	69
NC_019721	56
NC_019722	59
NC_019723	62
NC_019724	56
NC_019725	84
NC_019726	218
NC_019767	60
NC_019768	62
NC_019769	54
NC_019782	60
NC_019813	64
NC_019909	272
NC_019910	206
NC_019911	53
NC_019912	52
NC_019913	170
NC_019914	54
NC_019915	66
NC_019916	60
NC_019917	74
NC_019918	170
NC_019919	175
NC_019920	4
NC_019921	74
NC_019922	3
NC_019923	64
NC_019924	78
NC_019925	195
NC_019926	53
NC_019927	80
NC_019928	28
NC_019929	263
NC_019930	82
NC_019931	31
NC_019932	38
NC_019933	54
NC_019934	52
NC_019935	89
NC_020078	46
NC_020079	268
NC_020080	271
NC_020081	215
NC_020082	67
NC_020083	204
NC_020197	59
NC_020198	55
NC_020199	68
NC_020200	53
NC_020201	245
NC_020202	58
NC_020203	56
NC_020204	72
NC_020205	55
NC_020414	55
NC_020416	260
NC_020477	81
NC_020478	79
NC_020479	80
NC_020480	79
NC_020481	66
NC_020482	48
NC_020483	58
NC_020484	199
NC_020486	202
NC_020488	41
NC_020489	62
NC_020490	74
NC_020835	54
NC_020837	237
NC_020838	55
NC_020839	54
NC_020841	68
NC_020842	112
NC_020843	208
NC_020844	63
NC_020845	231
NC_020846	72
NC_020847	65
NC_020848	120
NC_020849	104
NC_020850	59
NC_020851	300
NC_020853	75
NC_020854	57
NC_020855	215
NC_020856	75
NC_020857	68
NC_020858	74
NC_020859	214
NC_020860	59
NC_020862	76
NC_020863	219
NC_020865	52
NC_020866	54
NC_020867	69
NC_020868	118
NC_020870	39
NC_020871	177
NC_020872	53
NC_020873	220
NC_020874	56
NC_020875	225
NC_020876	90
NC_020877	178
NC_020878	62
NC_020879	236
NC_020880	40
NC_020883	90
NC_021061	63
NC_021062	48
NC_021063	64
NC_021067	263
NC_021068	73
NC_021070	51
NC_021071	211
NC_021072	205
NC_021073	160
NC_021190	65
NC_021297	85
NC_021298	73
NC_021299	129
NC_021300	58
NC_021301	93
NC_021302	76
NC_021304	75
NC_021305	140
NC_021306	140
NC_021307	73
NC_021308	76
NC_021309	136
NC_021310	94
NC_021311	139
NC_021315	73
NC_021316	51
NC_021317	28
NC_021318	87
NC_021323	61
NC_021324	91
NC_021325	49
NC_021326	70
NC_021331	83
NC_021332	67
NC_021334	98
NC_021336	40
NC_021337	28
NC_021338	72
NC_021339	72
NC_021342	66
NC_021343	47
NC_021344	267
NC_021346	225
NC_021347	221
NC_021348	226
NC_021349	219
NC_021529	396
NC_021530	203
NC_021531	236
NC_021532	125
NC_021533	71
NC_021534	80
NC_021535	82
NC_021536	204
NC_021538	100
NC_021539	65
NC_021540	107
NC_021556	58
NC_021557	53
NC_021558	69
NC_021559	232
NC_021560	71
NC_021561	60
NC_021562	11
NC_021563	65
NC_021569	14
NC_021772	99
NC_021773	62
NC_021774	40
NC_021775	68
NC_021776	52
NC_021777	65
NC_021779	72
NC_021780	72
NC_021781	187
NC_021782	98
NC_021783	72
NC_021784	61
NC_021785	108
NC_021787	107
NC_021788	195
NC_021789	122
NC_021790	62
NC_021791	60
NC_021792	111
NC_021793	27
NC_021794	112
NC_021795	61
NC_021796	90
NC_021797	14
NC_021798	188
NC_021799	110
NC_021800	47
NC_021801	59
NC_021802	105
NC_021803	121
NC_021804	45
NC_021805	13
NC_021806	118
NC_021852	53
NC_021853	58
NC_021854	55
NC_021855	56
NC_021856	250
NC_021857	55
NC_021860	58
NC_021861	56
NC_021862	21
NC_021863	64
NC_021864	85
NC_021865	63
NC_021866	8
NC_021867	68
NC_021868	95
NC_022052	117
NC_022053	90
NC_022054	66
NC_022055	102
NC_022056	99
NC_022057	122
NC_022058	92
NC_022059	140
NC_022060	98
NC_022061	92
NC_022062	86
NC_022063	94
NC_022064	94
NC_022065	133
NC_022066	214
NC_022067	219
NC_022068	100
NC_022069	99
NC_022070	83
NC_022071	120
NC_022085	137
NC_022086	76
NC_022087	92
NC_022088	290
NC_022090	187
NC_022091	53
NC_022094	25
NC_022096	329
NC_022323	212
NC_022324	92
NC_022325	116
NC_022328	96
NC_022329	87
NC_022330	139
NC_022331	86
NC_022334	42
NC_022335	42
NC_022336	42
NC_022337	41
NC_022338	43
NC_022339	42
NC_022340	41
NC_022341	41
NC_022342	40
NC_022343	205
NC_022744	46
NC_022746	53
NC_022747	45
NC_022749	58
NC_022750	43
NC_022751	41
NC_022752	69
NC_022753	92
NC_022754	65
NC_022756	57
NC_022757	55
NC_022758	61
NC_022761	214
NC_022762	59
NC_022763	276
NC_022764	45
NC_022765	78
NC_022766	81
NC_022767	108
NC_022768	200
NC_022769	292
NC_022770	44
NC_022771	255
NC_022772	203
NC_022773	82
NC_022774	110
NC_022775	47
NC_022776	52
NC_022790	6
NC_022791	50
NC_022914	63
NC_022915	57
NC_022916	47
NC_022917	58
NC_022918	186
NC_022920	208
NC_022965	91
NC_022966	159
NC_022967	170
NC_022968	255
NC_022969	140
NC_022970	158
NC_022971	70
NC_022972	63
NC_022973	78
NC_022974	162
NC_022975	87
NC_022976	139
NC_022977	90
NC_022979	88
NC_022980	85
NC_022981	139
NC_022982	50
NC_022983	96
NC_022984	78
NC_022985	89
NC_022986	170
NC_022987	50
NC_022988	133
NC_022989	49
NC_023005	50
NC_023006	65
NC_023007	267
NC_023009	181
NC_023498	99
NC_023499	59
NC_023500	66
NC_023501	285
NC_023502	182
NC_023503	68
NC_023548	50
NC_023549	77
NC_023550	20
NC_023551	61
NC_023552	75
NC_023553	93
NC_023554	94
NC_023555	58
NC_023556	87
NC_023557	317
NC_023558	48
NC_023559	54
NC_023560	53
NC_023561	293
NC_023562	80
NC_023563	94
NC_023564	86
NC_023565	81
NC_023566	85
NC_023567	56
NC_023568	378
NC_023569	91
NC_023570	45
NC_023571	56
NC_023572	68
NC_023573	208
NC_023574	190
NC_023575	69
NC_023576	48
NC_023577	81
NC_023578	87
NC_023579	92
NC_023580	100
NC_023581	92
NC_023582	128
NC_023583	69
NC_023584	196
NC_023586	18
NC_023587	209
NC_023588	43
NC_023589	100
NC_023590	55
NC_023593	124
NC_023594	67
NC_023595	68
NC_023597	91
NC_023599	52
NC_023600	95
NC_023601	175
NC_023602	81
NC_023603	100
NC_023604	61
NC_023605	64
NC_023606	88
NC_023607	84
NC_023608	55
NC_023609	68
NC_023610	246
NC_023612	57
NC_023614	48
NC_023686	94
NC_023687	93
NC_023688	330
NC_023689	139
NC_023690	228
NC_023691	101
NC_023692	80
NC_023693	238
NC_023694	107
NC_023695	82
NC_023696	229
NC_023697	76
NC_023698	102
NC_023699	100
NC_023700	52
NC_023701	94
NC_023702	75
NC_023703	93
NC_023704	81
NC_023705	59
NC_023706	98
NC_023707	88
NC_023708	90
NC_023709	80
NC_023710	81
NC_023711	99
NC_023712	121
NC_023713	90
NC_023714	221
NC_023715	42
NC_023716	87
NC_023717	305
NC_023719	674
NC_023720	85
NC_023721	97
NC_023722	86
NC_023723	85
NC_023724	88
NC_023725	228
NC_023726	89
NC_023727	96
NC_023728	103
NC_023729	65
NC_023730	63
NC_023731	88
NC_023732	103
NC_023733	228
NC_023734	50
NC_023735	108
NC_023736	54
NC_023737	225
NC_023738	191
NC_023739	77
NC_023740	97
NC_023741	94
NC_023742	98
NC_023743	74
NC_023744	91
NC_023745	81
NC_023746	99
NC_023747	92
NC_023748	96
NC_023856	198
NC_023859	118
NC_023862	84
NC_023863	95
NC_023865	76
NC_024121	271
NC_024122	211
NC_024123	88
NC_024124	272
NC_024125	275
NC_024134	216
NC_024135	61
NC_024136	88
NC_024137	217
NC_024138	105
NC_024139	159
NC_024140	89
NC_024141	81
NC_024142	93
NC_024143	87
NC_024144	88
NC_024145	94
NC_024146	73
NC_024147	90
NC_024148	84
NC_024149	24
NC_024203	76
NC_024204	59
NC_024205	290
NC_024206	59
NC_024207	285
NC_024208	79
NC_024209	92
NC_024210	74
NC_024211	285
NC_024212	87
NC_024213	284
NC_024214	82
NC_024215	77
NC_024216	290
NC_024217	143
NC_024329	50
NC_024330	56
NC_024354	279
NC_024355	141
NC_024356	71
NC_024357	62
NC_024358	41
NC_024359	179
NC_024360	192
NC_024361	65
NC_024362	48
NC_024363	98
NC_024364	181
NC_024365	76
NC_024366	89
NC_024367	83
NC_024368	76
NC_024369	64
NC_024370	65
NC_024371	84
NC_024375	113
NC_024378	42
NC_024379	48
NC_024380	40
NC_024381	55
NC_024383	188
NC_024384	74
NC_024385	42
NC_024386	41
NC_024387	67
NC_024388	43
NC_024389	44
NC_024390	39
NC_024391	62
NC_024392	115
NC_024711	92
NC_024782	53
NC_024783	60
NC_024784	75
NC_024785	84
NC_024786	83
NC_024787	187
NC_024788	288
NC_024789	71
NC_024790	86
NC_024791	71
NC_024792	244
NC_024793	75
NC_024794	263
NC_025115	48
NC_025414	275
NC_025415	52
NC_025416	209
NC_025417	216
NC_025418	53
NC_025419	269
NC_025420	51
NC_025421	48
NC_025422	275
NC_025423	208
NC_025424	70
NC_025425	268
NC_025426	230
NC_025427	89
NC_025428	86
NC_025429	257
NC_025430	58
NC_025431	64
NC_025433	107
NC_025434	76
NC_025436	227
NC_025437	271
NC_025438	93
NC_025439	57
NC_025440	185
NC_025441	99
NC_025442	74
NC_025443	80
NC_025444	90
NC_025445	48
NC_025446	205
NC_025447	586
NC_025448	266
NC_025449	268
NC_025450	53
NC_025451	44
NC_025452	198
NC_025453	59
NC_025454	13
NC_025455	54
NC_025456	60
NC_025457	52
NC_025458	61
NC_025459	86
NC_025460	70
NC_025461	60
NC_025462	151
NC_025463	67
NC_025464	62
NC_025465	68
NC_025466	70
NC_025467	26
NC_025470	228
NC_025471	61
NC_025822	44
NC_025824	8
NC_025829	260
NC_025830	202
NC_026010	79
NC_026013	6
NC_026014	50
NC_026016	67
NC_026017	60
NC_026582	9
NC_026583	81
NC_026584	213
NC_026585	103
NC_026586	94
NC_026587	152
NC_026588	91
NC_026589	84
NC_026590	155
NC_026591	62
NC_026593	105
NC_026594	76
NC_026595	100
NC_026596	97
NC_026597	86
NC_026598	91
NC_026599	68
NC_026600	92
NC_026601	56
NC_026602	54
NC_026603	93
NC_026604	97
NC_026605	76
NC_026606	111
NC_026607	256
NC_026608	55
NC_026609	82
NC_026610	83
NC_026611	80
NC_026612	8
NC_026613	8
NC_026923	207
NC_026924	203
NC_026926	220
NC_026927	269
NC_026928	214
NC_027118	48
NC_027119	204
NC_027120	41
NC_027125	72
NC_027130	209
NC_027132	209
NC_027204	360
NC_027292	46
NC_027293	131
NC_027294	42
NC_027295	42
NC_027296	84
NC_027297	176
NC_027298	53
NC_027299	71
NC_027329	122
NC_027330	58
NC_027331	300
NC_027332	161
NC_027333	41
NC_027334	68
NC_027335	219
NC_027336	41
NC_027337	124
NC_027339	58
NC_027340	221
NC_027341	184
NC_027342	50
NC_027344	250
NC_027345	94
NC_027346	42
NC_027347	42
NC_027348	91
NC_027349	269
NC_027350	83
NC_027351	239
NC_027352	212
NC_027353	270
NC_027354	41
NC_027355	211
NC_027356	147
NC_027357	42
NC_027358	46
NC_027359	41
NC_027360	128
NC_027361	41
NC_027362	40
NC_027363	52
NC_027364	584
NC_027365	92
NC_027366	222
NC_027367	40
NC_027368	49
NC_027369	135
NC_027370	41
NC_027371	42
NC_027372	45
NC_027373	43
NC_027374	216
NC_027375	54
NC_027376	41
NC_027377	43
NC_027378	88
NC_027379	50
NC_027380	42
NC_027381	80
NC_027382	53
NC_027383	61
NC_027384	55
NC_027385	42
NC_027386	42
NC_027387	50
NC_027388	94
NC_027389	42
NC_027390	52
NC_027391	42
NC_027392	41
NC_027393	47
NC_027394	46
NC_027395	123
NC_027396	49
NC_027397	48
NC_027398	56
NC_027399	548
NC_027400	41
NC_027401	44
NC_027402	261
NC_027403	41
NC_027404	269
NC_027405	41
NC_027620	42
NC_027621	41
NC_027622	42
NC_027623	41
NC_027624	41
NC_027625	42
NC_027626	40
NC_027627	42
NC_027628	42
NC_027629	40
NC_027630	42
NC_027633	6
NC_027634	7
NC_027635	6
NC_027636	5
NC_027637	6
NC_027638	6
NC_027639	5
NC_027640	6
NC_027641	6
NC_027642	6
NC_027643	5
NC_027644	7
NC_027645	6
NC_027646	5
NC_027647	5
NC_027648	6
NC_027979	266
NC_027980	59
NC_027981	61
NC_027982	50
NC_027983	265
NC_027984	76
NC_027985	95
NC_027986	54
NC_027987	49
NC_027988	81
NC_027989	66
NC_027990	87
NC_027991	214
NC_027992	56
NC_027993	71
NC_027994	67
NC_027995	56
NC_027996	209
NC_027997	220
NC_028247	142
NC_028248	213
NC_028448	275
NC_028449	81
NC_028651	24
NC_028652	172
NC_028653	90
NC_028654	104
NC_028655	48
