ID	CDSs_PRODIGAL
NC_001426	3
NC_001604	50
NC_001609	14
NC_001628	3
NC_001629	39
NC_001697	41
NC_001706	35
NC_001730	8
NC_001741	6
NC_001825	28
NC_001835	57
NC_001884	187
NC_001890	3
NC_001895	42
NC_001900	77
NC_001901	59
NC_001909	61
NC_001954	10
NC_001956	11
NC_001978	49
NC_001998	6
NC_002014	10
NC_002072	46
NC_002166	70
NC_002167	66
NC_002180	7
NC_002185	45
NC_002194	6
NC_002214	52
NC_002321	65
NC_002362	13
NC_002363	11
NC_002371	68
NC_002484	98
NC_002486	71
NC_002519	57
NC_002643	6
NC_002649	33
NC_002656	84
NC_002661	68
NC_002666	62
NC_002667	61
NC_002668	59
NC_002669	25
NC_002670	22
NC_002671	26
NC_002700	3
NC_002703	55
NC_002730	56
NC_002747	56
NC_002796	50
NC_003050	52
NC_003085	79
NC_003157	66
NC_003216	66
NC_003278	45
NC_003287	8
NC_003288	66
NC_003291	60
NC_003298	43
NC_003299	7
NC_003300	7
NC_003301	6
NC_003309	72
NC_003313	45
NC_003315	40
NC_003324	67
NC_003327	12
NC_003356	62
NC_003387	85
NC_003390	56
NC_003444	53
NC_003460	8
NC_003524	50
NC_003714	5
NC_003715	5
NC_003716	8
NC_003907	71
NC_004066	61
NC_004112	64
NC_004165	24
NC_004166	80
NC_004167	59
NC_004170	6
NC_004171	8
NC_004172	4
NC_004173	6
NC_004174	5
NC_004175	7
NC_004301	4
NC_004302	49
NC_004303	58
NC_004305	66
NC_004306	11
NC_004313	58
NC_004333	64
NC_004348	69
NC_004456	62
NC_004462	41
NC_004466	71
NC_004584	63
NC_004585	63
NC_004586	56
NC_004587	64
NC_004588	60
NC_004589	54
NC_004615	68
NC_004616	64
NC_004617	68
NC_004629	368
NC_004664	52
NC_004665	42
NC_004678	20
NC_004679	20
NC_004680	109
NC_004681	138
NC_004682	85
NC_004683	83
NC_004684	91
NC_004685	121
NC_004686	104
NC_004687	235
NC_004688	218
NC_004689	104
NC_004735	146
NC_004736	12
NC_004740	63
NC_004745	40
NC_004746	50
NC_004775	48
NC_004777	44
NC_004813	81
NC_004814	25
NC_004820	90
NC_004821	51
NC_004827	58
NC_004831	51
NC_004902	69
NC_004913	87
NC_004914	90
NC_004928	267
NC_004996	57
NC_005045	54
NC_005056	41
NC_005066	272
NC_005069	62
NC_005083	382
NC_005091	71
NC_005131	11
NC_005135	258
NC_005178	57
NC_005258	28
NC_005259	98
NC_005260	338
NC_005262	73
NC_005263	66
NC_005282	129
NC_005284	79
NC_005294	74
NC_005340	42
NC_005342	63
NC_005344	64
NC_005345	81
NC_005354	54
NC_005355	52
NC_005356	70
NC_005357	49
NC_005822	48
NC_005833	75
NC_005841	65
NC_005856	103
NC_005857	58
NC_005859	180
NC_005879	49
NC_005880	240
NC_005882	51
NC_005884	53
NC_005885	76
NC_005886	69
NC_005887	52
NC_005891	48
NC_005893	57
NC_005948	13
NC_005949	13
NC_006294	10
NC_006356	60
NC_006548	53
NC_006552	73
NC_006557	55
NC_006565	165
NC_006820	248
NC_006882	56
NC_006883	320
NC_006884	210
NC_006936	53
NC_006938	90
NC_006940	64
NC_006945	27
NC_006949	73
NC_006953	60
NC_007019	43
NC_007021	182
NC_007022	256
NC_007023	290
NC_007024	78
NC_007045	24
NC_007046	21
NC_007047	67
NC_007048	69
NC_007049	69
NC_007050	68
NC_007051	56
NC_007052	68
NC_007053	63
NC_007054	62
NC_007055	67
NC_007056	68
NC_007057	71
NC_007058	70
NC_007059	66
NC_007060	63
NC_007061	64
NC_007062	59
NC_007063	66
NC_007064	64
NC_007065	65
NC_007066	210
NC_007145	50
NC_007149	55
NC_007189	15
NC_007291	89
NC_007451	26
NC_007456	48
NC_007458	52
NC_007461	5
NC_007497	71
NC_007501	52
NC_007581	199
NC_007603	76
NC_007610	177
NC_007623	206
NC_007636	49
NC_007637	62
NC_007709	60
NC_007710	72
NC_007734	55
NC_007804	51
NC_007805	62
NC_007806	53
NC_007807	52
NC_007808	71
NC_007809	82
NC_007810	94
NC_007814	52
NC_007817	6
NC_007818	9
NC_007819	8
NC_007820	8
NC_007821	8
NC_007822	8
NC_007823	9
NC_007824	8
NC_007825	6
NC_007827	9
NC_007856	6
NC_007902	65
NC_007917	89
NC_007924	60
NC_007967	56
NC_008152	53
NC_008193	42
NC_008194	137
NC_008195	98
NC_008196	91
NC_008197	98
NC_008198	86
NC_008199	99
NC_008200	88
NC_008201	48
NC_008202	62
NC_008203	92
NC_008204	91
NC_008205	98
NC_008206	133
NC_008207	228
NC_008208	229
NC_008265	53
NC_008294	3
NC_008296	205
NC_008363	55
NC_008364	48
NC_008367	52
NC_008370	59
NC_008371	52
NC_008376	53
NC_008464	82
NC_008515	260
NC_008562	177
NC_008574	15
NC_008575	10
NC_008583	66
NC_008584	167
NC_008617	65
NC_008689	67
NC_008694	43
NC_008717	54
NC_008720	70
NC_008721	56
NC_008722	68
NC_008723	72
NC_008798	69
NC_008799	67
NC_009014	52
NC_009015	121
NC_009016	55
NC_009018	63
NC_009231	93
NC_009232	63
NC_009234	45
NC_009235	66
NC_009236	49
NC_009237	52
NC_009382	54
NC_009447	72
NC_009514	56
NC_009526	69
NC_009531	56
NC_009540	85
NC_009541	42
NC_009542	47
NC_009543	66
NC_009551	44
NC_009552	61
NC_009554	58
NC_009603	80
NC_009604	66
NC_009643	20
NC_009737	52
NC_009760	246
NC_009761	58
NC_009762	69
NC_009763	71
NC_009799	60
NC_009803	111
NC_009804	109
NC_009810	62
NC_009811	194
NC_009812	66
NC_009813	78
NC_009814	58
NC_009815	60
NC_009816	91
NC_009817	121
NC_009818	51
NC_009819	55
NC_009820	105
NC_009821	271
NC_009875	20
NC_009877	89
NC_009878	87
NC_009904	215
NC_009935	59
NC_009936	57
NC_009990	45
NC_009993	83
NC_010105	286
NC_010106	74
NC_010116	77
NC_010147	69
NC_010179	65
NC_010237	90
NC_010275	45
NC_010324	126
NC_010325	68
NC_010326	57
NC_010353	46
NC_010355	114
NC_010363	27
NC_010391	56
NC_010392	58
NC_010393	58
NC_010429	13
NC_010463	43
NC_010495	74
NC_010576	80
NC_010583	184
NC_010807	45
NC_010808	71
NC_010811	333
NC_010821	470
NC_010945	61
NC_011019	88
NC_011020	92
NC_011021	91
NC_011022	90
NC_011023	86
NC_011038	43
NC_011039	93
NC_011040	46
NC_011041	217
NC_011042	48
NC_011043	46
NC_011044	95
NC_011045	49
NC_011046	55
NC_011048	26
NC_011054	106
NC_011055	140
NC_011056	141
NC_011057	98
NC_011085	50
NC_011103	99
NC_011104	54
NC_011105	56
NC_011107	54
NC_011142	80
NC_011165	86
NC_011166	94
NC_011167	85
NC_011201	55
NC_011216	49
NC_011222	57
NC_011267	83
NC_011269	230
NC_011270	228
NC_011271	231
NC_011272	227
NC_011273	241
NC_011285	87
NC_011287	94
NC_011288	105
NC_011289	100
NC_011290	88
NC_011291	73
NC_011292	92
NC_011308	58
NC_011318	63
NC_011344	64
NC_011356	80
NC_011357	92
NC_011373	80
NC_011398	71
NC_011399	15
NC_011421	194
NC_011523	28
NC_011534	46
NC_011551	42
NC_011589	52
NC_011611	51
NC_011612	63
NC_011613	53
NC_011614	64
NC_011645	63
NC_011703	92
NC_011756	92
NC_011801	56
NC_011802	67
NC_011810	90
NC_011811	115
NC_011976	69
NC_012027	99
NC_012091	6
NC_012092	6
NC_012093	4
NC_012223	62
NC_012418	54
NC_012419	23
NC_012530	206
NC_012635	267
NC_012638	265
NC_012662	50
NC_012663	88
NC_012696	80
NC_012697	86
NC_012740	273
NC_012741	282
NC_012742	65
NC_012743	75
NC_012749	134
NC_012753	54
NC_012756	53
NC_012757	12
NC_012784	82
NC_012788	59
NC_012868	8
NC_012884	40
NC_013021	122
NC_013055	48
NC_013059	64
NC_013085	231
NC_013152	50
NC_013153	49
NC_013154	49
NC_013155	54
NC_013195	67
NC_013197	35
NC_013594	56
NC_013597	58
NC_013598	43
NC_013599	45
NC_013600	60
NC_013638	53
NC_013643	62
NC_013644	54
NC_013645	47
NC_013646	63
NC_013647	48
NC_013648	69
NC_013649	58
NC_013650	222
NC_013651	49
NC_013691	115
NC_013692	96
NC_013693	210
NC_013694	84
NC_013696	65
NC_013697	234
NC_013698	84
NC_013936	89
NC_014036	270
NC_014229	49
NC_014260	278
NC_014457	85
NC_014458	95
NC_014459	96
NC_014460	66
NC_014461	113
NC_014467	269
NC_014595	285
NC_014635	256
NC_014636	337
NC_014660	255
NC_014661	243
NC_014662	278
NC_014663	252
NC_014792	287
NC_014900	67
NC_014901	103
NC_015157	225
NC_015158	72
NC_015159	51
NC_015208	47
NC_015209	15
NC_015210	85
NC_015249	44
NC_015250	255
NC_015251	420
NC_015252	54
NC_015253	162
NC_015254	65
NC_015262	61
NC_015263	145
NC_015264	52
NC_015265	48
NC_015266	46
NC_015269	171
NC_015270	35
NC_015271	46
NC_015272	160
NC_015273	40
NC_015274	74
NC_015279	247
NC_015280	215
NC_015281	209
NC_015282	215
NC_015283	216
NC_015284	220
NC_015285	215
NC_015286	200
NC_015287	295
NC_015288	210
NC_015289	206
NC_015290	211
NC_015292	117
NC_015293	49
NC_015294	175
NC_015295	79
NC_015296	208
NC_015297	9
NC_015453	43
NC_015454	43
NC_015456	82
NC_015457	265
NC_015463	107
NC_015464	172
NC_015465	47
NC_015466	97
NC_015568	51
NC_015569	276
NC_015584	124
NC_015585	57
NC_015586	11
NC_015719	47
NC_015720	65
NC_015721	39
NC_015785	8
NC_015933	84
NC_015937	161
NC_015938	156
NC_016071	239
NC_016073	209
NC_016158	79
NC_016160	57
NC_016161	60
NC_016162	11
NC_016163	345
NC_016164	44
NC_016165	57
NC_016166	105
NC_016434	86
NC_016435	89
NC_016562	175
NC_016563	278
NC_016564	135
NC_016565	20
NC_016566	56
NC_016567	118
NC_016568	28
NC_016569	71
NC_016570	209
NC_016571	303
NC_016650	66
NC_016651	18
NC_016652	83
NC_016653	63
NC_016654	59
NC_016655	86
NC_016656	55
NC_016657	52
NC_016658	59
NC_016659	63
NC_016761	51
NC_016762	66
NC_016763	70
NC_016764	46
NC_016765	93
NC_016766	103
NC_016767	64
NC_016770	60
NC_017674	93
NC_017688	58
NC_017695	59
NC_017696	58
NC_017698	55
NC_017702	58
NC_017732	47
NC_017864	56
NC_017865	56
NC_017968	66
NC_017969	164
NC_017971	72
NC_017972	383
NC_017973	92
NC_017974	288
NC_017975	176
NC_017976	56
NC_017978	42
NC_017980	30
NC_017981	82
NC_017983	63
NC_017984	90
NC_017985	63
NC_018083	30
NC_018084	28
NC_018085	60
NC_018086	83
NC_018087	250
NC_018088	151
NC_018264	59
NC_018269	53
NC_018270	46
NC_018271	54
NC_018272	55
NC_018273	40
NC_018274	55
NC_018275	70
NC_018276	63
NC_018277	66
NC_018278	52
NC_018279	74
NC_018280	56
NC_018281	73
NC_018282	81
NC_018283	78
NC_018284	65
NC_018285	57
NC_018452	73
NC_018454	55
NC_018831	117
NC_018832	72
NC_018834	42
NC_018835	131
NC_018836	74
NC_018837	176
NC_018838	42
NC_018839	44
NC_018840	42
NC_018841	41
NC_018842	41
NC_018843	127
NC_018845	42
NC_018846	70
NC_018847	42
NC_018848	53
NC_018849	41
NC_018850	72
NC_018851	42
NC_018852	41
NC_018853	46
NC_018854	83
NC_018855	270
NC_018856	272
NC_018857	289
NC_018859	122
NC_018860	233
NC_018861	169
NC_018862	6
NC_018863	288
NC_019398	273
NC_019399	275
NC_019400	263
NC_019401	538
NC_019402	109
NC_019403	56
NC_019404	76
NC_019405	339
NC_019406	448
NC_019407	343
NC_019408	348
NC_019410	350
NC_019411	341
NC_019414	80
NC_019416	47
NC_019417	72
NC_019418	57
NC_019419	57
NC_019420	48
NC_019421	71
NC_019422	48
NC_019423	93
NC_019442	74
NC_019443	223
NC_019444	218
NC_019445	59
NC_019446	58
NC_019447	58
NC_019448	216
NC_019449	48
NC_019450	171
NC_019451	94
NC_019452	205
NC_019453	3
NC_019454	55
NC_019455	53
NC_019456	68
NC_019457	67
NC_019485	75
NC_019486	58
NC_019487	236
NC_019488	41
NC_019489	61
NC_019490	78
NC_019496	62
NC_019500	269
NC_019501	59
NC_019502	68
NC_019503	264
NC_019504	81
NC_019505	267
NC_019506	65
NC_019507	244
NC_019508	65
NC_019509	76
NC_019510	47
NC_019511	190
NC_019512	32
NC_019513	67
NC_019514	106
NC_019515	146
NC_019516	166
NC_019517	216
NC_019518	65
NC_019519	124
NC_019520	50
NC_019521	281
NC_019522	65
NC_019523	22
NC_019524	78
NC_019525	71
NC_019526	539
NC_019527	82
NC_019528	54
NC_019529	157
NC_019530	209
NC_019538	428
NC_019539	59
NC_019540	76
NC_019541	66
NC_019542	56
NC_019543	229
NC_019544	88
NC_019545	68
NC_019548	11
NC_019549	41
NC_019550	47
NC_019704	66
NC_019705	64
NC_019706	68
NC_019707	3
NC_019708	61
NC_019709	67
NC_019710	70
NC_019711	67
NC_019713	105
NC_019714	62
NC_019715	61
NC_019716	56
NC_019717	68
NC_019718	71
NC_019719	67
NC_019720	72
NC_019721	58
NC_019722	59
NC_019723	66
NC_019724	55
NC_019725	89
NC_019726	221
NC_019767	65
NC_019768	65
NC_019769	55
NC_019782	60
NC_019813	63
NC_019909	268
NC_019910	208
NC_019911	54
NC_019912	58
NC_019913	174
NC_019914	54
NC_019915	66
NC_019916	59
NC_019917	73
NC_019918	174
NC_019919	174
NC_019920	4
NC_019921	75
NC_019922	3
NC_019923	64
NC_019924	80
NC_019925	198
NC_019926	53
NC_019927	81
NC_019928	28
NC_019929	263
NC_019930	82
NC_019931	30
NC_019932	39
NC_019933	56
NC_019934	54
NC_019935	88
NC_020078	49
NC_020079	269
NC_020080	270
NC_020081	216
NC_020082	68
NC_020083	208
NC_020197	59
NC_020198	55
NC_020199	67
NC_020200	53
NC_020201	253
NC_020202	58
NC_020203	56
NC_020204	72
NC_020205	56
NC_020414	56
NC_020416	260
NC_020477	81
NC_020478	80
NC_020479	81
NC_020480	80
NC_020481	65
NC_020482	46
NC_020483	61
NC_020484	199
NC_020486	206
NC_020488	41
NC_020489	63
NC_020490	72
NC_020835	51
NC_020837	227
NC_020838	57
NC_020839	54
NC_020841	72
NC_020842	92
NC_020843	205
NC_020844	65
NC_020845	219
NC_020846	74
NC_020847	64
NC_020848	120
NC_020849	107
NC_020850	59
NC_020851	292
NC_020853	74
NC_020854	57
NC_020855	220
NC_020856	76
NC_020857	66
NC_020858	74
NC_020859	207
NC_020860	57
NC_020862	77
NC_020863	218
NC_020865	54
NC_020866	54
NC_020867	62
NC_020868	118
NC_020870	39
NC_020871	177
NC_020872	52
NC_020873	233
NC_020874	56
NC_020875	222
NC_020876	91
NC_020877	175
NC_020878	61
NC_020879	237
NC_020880	38
NC_020883	91
NC_021061	63
NC_021062	50
NC_021063	67
NC_021067	259
NC_021068	75
NC_021070	52
NC_021071	218
NC_021072	212
NC_021073	159
NC_021190	67
NC_021297	88
NC_021298	73
NC_021299	138
NC_021300	57
NC_021301	91
NC_021302	77
NC_021304	75
NC_021305	144
NC_021306	141
NC_021307	75
NC_021308	80
NC_021309	136
NC_021310	95
NC_021311	140
NC_021315	74
NC_021316	57
NC_021317	29
NC_021318	88
NC_021323	62
NC_021324	94
NC_021325	49
NC_021326	70
NC_021331	88
NC_021332	67
NC_021334	93
NC_021336	40
NC_021337	29
NC_021338	73
NC_021339	72
NC_021342	66
NC_021343	49
NC_021344	269
NC_021346	231
NC_021347	221
NC_021348	235
NC_021349	226
NC_021529	399
NC_021530	208
NC_021531	236
NC_021532	127
NC_021533	75
NC_021534	83
NC_021535	82
NC_021536	216
NC_021538	94
NC_021539	65
NC_021540	113
NC_021556	55
NC_021557	54
NC_021558	71
NC_021559	225
NC_021560	72
NC_021561	61
NC_021562	12
NC_021563	68
NC_021569	13
NC_021772	94
NC_021773	64
NC_021774	40
NC_021775	69
NC_021776	54
NC_021777	66
NC_021779	73
NC_021780	73
NC_021781	186
NC_021782	93
NC_021783	73
NC_021784	64
NC_021785	110
NC_021787	109
NC_021788	172
NC_021789	102
NC_021790	54
NC_021791	54
NC_021792	97
NC_021793	24
NC_021794	93
NC_021795	53
NC_021796	79
NC_021797	10
NC_021798	169
NC_021799	92
NC_021800	46
NC_021801	61
NC_021802	92
NC_021803	102
NC_021804	38
NC_021805	10
NC_021806	108
NC_021852	53
NC_021853	60
NC_021854	55
NC_021855	57
NC_021856	250
NC_021857	57
NC_021860	56
NC_021861	51
NC_021862	20
NC_021863	66
NC_021864	84
NC_021865	62
NC_021866	8
NC_021867	60
NC_021868	95
NC_022052	121
NC_022053	97
NC_022054	67
NC_022055	100
NC_022056	93
NC_022057	126
NC_022058	92
NC_022059	142
NC_022060	101
NC_022061	93
NC_022062	88
NC_022063	96
NC_022064	96
NC_022065	135
NC_022066	222
NC_022067	229
NC_022068	95
NC_022069	99
NC_022070	91
NC_022071	124
NC_022085	138
NC_022086	79
NC_022087	94
NC_022088	293
NC_022090	182
NC_022091	54
NC_022094	24
NC_022096	334
NC_022323	216
NC_022324	95
NC_022325	117
NC_022328	96
NC_022329	92
NC_022330	143
NC_022331	88
NC_022334	41
NC_022335	41
NC_022336	42
NC_022337	42
NC_022338	44
NC_022339	43
NC_022340	43
NC_022341	41
NC_022342	41
NC_022343	208
NC_022744	47
NC_022746	54
NC_022747	47
NC_022749	58
NC_022750	43
NC_022751	41
NC_022752	69
NC_022753	95
NC_022754	66
NC_022756	57
NC_022757	54
NC_022758	64
NC_022761	219
NC_022762	59
NC_022763	285
NC_022764	49
NC_022765	78
NC_022766	81
NC_022767	111
NC_022768	202
NC_022769	293
NC_022770	49
NC_022771	255
NC_022772	202
NC_022773	83
NC_022774	112
NC_022775	50
NC_022776	52
NC_022790	6
NC_022791	52
NC_022914	65
NC_022915	56
NC_022916	49
NC_022917	58
NC_022918	188
NC_022920	210
NC_022965	94
NC_022966	161
NC_022967	173
NC_022968	266
NC_022969	140
NC_022970	160
NC_022971	69
NC_022972	62
NC_022973	78
NC_022974	161
NC_022975	86
NC_022976	139
NC_022977	92
NC_022979	88
NC_022980	86
NC_022981	139
NC_022982	53
NC_022983	98
NC_022984	79
NC_022985	92
NC_022986	175
NC_022987	52
NC_022988	135
NC_022989	50
NC_023005	51
NC_023006	66
NC_023007	267
NC_023009	184
NC_023498	100
NC_023499	61
NC_023500	67
NC_023501	289
NC_023502	184
NC_023503	69
NC_023548	52
NC_023549	83
NC_023550	20
NC_023551	61
NC_023552	76
NC_023553	93
NC_023554	96
NC_023555	59
NC_023556	88
NC_023557	317
NC_023558	48
NC_023559	54
NC_023560	53
NC_023561	287
NC_023562	85
NC_023563	95
NC_023564	88
NC_023565	85
NC_023566	87
NC_023567	55
NC_023568	380
NC_023569	94
NC_023570	45
NC_023571	57
NC_023572	68
NC_023573	211
NC_023574	193
NC_023575	69
NC_023576	50
NC_023577	85
NC_023578	94
NC_023579	93
NC_023580	95
NC_023581	96
NC_023582	130
NC_023583	70
NC_023584	199
NC_023586	18
NC_023587	215
NC_023588	44
NC_023589	100
NC_023590	55
NC_023593	123
NC_023594	69
NC_023595	67
NC_023597	92
NC_023599	54
NC_023600	96
NC_023601	176
NC_023602	80
NC_023603	102
NC_023604	61
NC_023605	66
NC_023606	90
NC_023607	86
NC_023608	57
NC_023609	70
NC_023610	249
NC_023612	58
NC_023614	44
NC_023686	97
NC_023687	94
NC_023688	332
NC_023689	141
NC_023690	225
NC_023691	104
NC_023692	79
NC_023693	242
NC_023694	107
NC_023695	85
NC_023696	240
NC_023697	77
NC_023698	98
NC_023699	102
NC_023700	52
NC_023701	93
NC_023702	86
NC_023703	89
NC_023704	83
NC_023705	59
NC_023706	101
NC_023707	90
NC_023708	92
NC_023709	79
NC_023710	88
NC_023711	100
NC_023712	124
NC_023713	93
NC_023714	228
NC_023715	43
NC_023716	93
NC_023717	306
NC_023719	668
NC_023720	89
NC_023721	94
NC_023722	84
NC_023723	90
NC_023724	91
NC_023725	234
NC_023726	89
NC_023727	96
NC_023728	97
NC_023729	67
NC_023730	64
NC_023731	91
NC_023732	109
NC_023733	232
NC_023734	49
NC_023735	106
NC_023736	57
NC_023737	231
NC_023738	205
NC_023739	83
NC_023740	98
NC_023741	95
NC_023742	99
NC_023743	74
NC_023744	93
NC_023745	85
NC_023746	97
NC_023747	95
NC_023748	98
NC_023856	198
NC_023859	121
NC_023862	91
NC_023863	95
NC_023865	74
NC_024121	273
NC_024122	211
NC_024123	88
NC_024124	271
NC_024125	276
NC_024134	215
NC_024135	63
NC_024136	87
NC_024137	230
NC_024138	112
NC_024139	160
NC_024140	92
NC_024141	86
NC_024142	94
NC_024143	88
NC_024144	87
NC_024145	95
NC_024146	74
NC_024147	92
NC_024148	89
NC_024149	24
NC_024203	75
NC_024204	61
NC_024205	297
NC_024206	60
NC_024207	287
NC_024208	77
NC_024209	96
NC_024210	73
NC_024211	285
NC_024212	89
NC_024213	285
NC_024214	81
NC_024215	77
NC_024216	294
NC_024217	144
NC_024329	50
NC_024330	56
NC_024354	285
NC_024355	139
NC_024356	71
NC_024357	62
NC_024358	42
NC_024359	180
NC_024360	195
NC_024361	65
NC_024362	49
NC_024363	99
NC_024364	179
NC_024365	78
NC_024366	93
NC_024367	85
NC_024368	80
NC_024369	65
NC_024370	64
NC_024371	93
NC_024375	113
NC_024378	41
NC_024379	49
NC_024380	39
NC_024381	58
NC_024383	188
NC_024384	76
NC_024385	41
NC_024386	40
NC_024387	69
NC_024388	41
NC_024389	42
NC_024390	39
NC_024391	64
NC_024392	115
NC_024711	88
NC_024782	54
NC_024783	60
NC_024784	75
NC_024785	88
NC_024786	83
NC_024787	185
NC_024788	290
NC_024789	70
NC_024790	87
NC_024791	72
NC_024792	240
NC_024793	73
NC_024794	262
NC_025115	49
NC_025414	275
NC_025415	53
NC_025416	215
NC_025417	218
NC_025418	55
NC_025419	267
NC_025420	51
NC_025421	49
NC_025422	260
NC_025423	203
NC_025424	69
NC_025425	270
NC_025426	231
NC_025427	91
NC_025428	85
NC_025429	261
NC_025430	58
NC_025431	62
NC_025433	100
NC_025434	78
NC_025436	226
NC_025437	269
NC_025438	95
NC_025439	55
NC_025440	185
NC_025441	99
NC_025442	75
NC_025443	80
NC_025444	92
NC_025445	48
NC_025446	207
NC_025447	598
NC_025448	262
NC_025449	270
NC_025450	52
NC_025451	44
NC_025452	201
NC_025453	58
NC_025454	14
NC_025455	53
NC_025456	56
NC_025457	51
NC_025458	64
NC_025459	86
NC_025460	69
NC_025461	55
NC_025462	160
NC_025463	69
NC_025464	56
NC_025465	67
NC_025466	70
NC_025467	26
NC_025470	224
NC_025471	63
NC_025822	48
NC_025824	8
NC_025829	260
NC_025830	203
NC_026010	84
NC_026013	7
NC_026014	49
NC_026016	65
NC_026017	61
NC_026582	9
NC_026583	81
NC_026584	223
NC_026585	101
NC_026586	94
NC_026587	156
NC_026588	95
NC_026589	85
NC_026590	164
NC_026591	61
NC_026593	103
NC_026594	77
NC_026595	97
NC_026596	94
NC_026597	88
NC_026598	94
NC_026599	72
NC_026600	92
NC_026601	56
NC_026602	56
NC_026603	97
NC_026604	99
NC_026605	77
NC_026606	110
NC_026607	258
NC_026608	56
NC_026609	80
NC_026610	87
NC_026611	81
NC_026612	7
NC_026613	7
NC_026923	205
NC_026924	211
NC_026926	223
NC_026927	275
NC_026928	210
NC_027118	46
NC_027119	207
NC_027120	43
NC_027125	67
NC_027130	214
NC_027132	211
NC_027204	363
NC_027292	47
NC_027293	131
NC_027294	42
NC_027295	44
NC_027296	87
NC_027297	180
NC_027298	54
NC_027299	73
NC_027329	132
NC_027330	61
NC_027331	294
NC_027332	164
NC_027333	42
NC_027334	69
NC_027335	218
NC_027336	42
NC_027337	129
NC_027339	62
NC_027340	221
NC_027341	187
NC_027342	51
NC_027344	251
NC_027345	96
NC_027346	43
NC_027347	42
NC_027348	90
NC_027349	267
NC_027350	85
NC_027351	246
NC_027352	230
NC_027353	272
NC_027354	42
NC_027355	228
NC_027356	149
NC_027357	42
NC_027358	47
NC_027359	41
NC_027360	131
NC_027361	42
NC_027362	40
NC_027363	52
NC_027364	598
NC_027365	92
NC_027366	244
NC_027367	41
NC_027368	49
NC_027369	141
NC_027370	41
NC_027371	43
NC_027372	51
NC_027373	44
NC_027374	237
NC_027375	56
NC_027376	41
NC_027377	42
NC_027378	89
NC_027379	55
NC_027380	41
NC_027381	74
NC_027382	54
NC_027383	61
NC_027384	56
NC_027385	40
NC_027386	42
NC_027387	49
NC_027388	93
NC_027389	41
NC_027390	55
NC_027391	41
NC_027392	42
NC_027393	48
NC_027394	52
NC_027395	126
NC_027396	51
NC_027397	48
NC_027398	57
NC_027399	544
NC_027400	42
NC_027401	44
NC_027402	261
NC_027403	42
NC_027404	265
NC_027405	43
NC_027620	42
NC_027621	41
NC_027622	42
NC_027623	43
NC_027624	42
NC_027625	42
NC_027626	43
NC_027627	42
NC_027628	42
NC_027629	41
NC_027630	42
NC_027633	5
NC_027634	7
NC_027635	5
NC_027636	5
NC_027637	5
NC_027638	6
NC_027639	5
NC_027640	5
NC_027641	5
NC_027642	6
NC_027643	5
NC_027644	6
NC_027645	6
NC_027646	5
NC_027647	5
NC_027648	6
NC_027979	267
NC_027980	61
NC_027981	60
NC_027982	51
NC_027983	266
NC_027984	74
NC_027985	96
NC_027986	55
NC_027987	48
NC_027988	82
NC_027989	66
NC_027990	89
NC_027991	218
NC_027992	56
NC_027993	72
NC_027994	69
NC_027995	57
NC_027996	203
NC_027997	197
NC_028247	141
NC_028248	211
NC_028448	273
NC_028449	79
NC_028651	24
NC_028652	178
NC_028653	89
NC_028654	99
NC_028655	49
NC_028656	81
