ID	CDSs_FRAGGENESCAN
NC_001417	3
NC_001418	7
NC_001420	6
NC_001421	26
NC_001422	6
NC_001423	24
NC_001426	3
NC_001604	45
NC_001609	15
NC_001628	3
NC_001629	35
NC_001697	45
NC_001706	35
NC_001730	7
NC_001741	6
NC_001825	26
NC_001835	48
NC_001884	182
NC_001890	5
NC_001895	42
NC_001900	70
NC_001901	59
NC_001909	52
NC_001954	12
NC_001956	10
NC_001978	50
NC_001998	5
NC_002014	9
NC_002072	44
NC_002166	62
NC_002167	55
NC_002180	5
NC_002185	46
NC_002194	5
NC_002214	48
NC_002321	58
NC_002362	12
NC_002363	9
NC_002371	66
NC_002484	84
NC_002486	64
NC_002519	51
NC_002643	5
NC_002649	29
NC_002656	75
NC_002661	59
NC_002666	55
NC_002667	54
NC_002668	54
NC_002669	25
NC_002670	22
NC_002671	25
NC_002700	3
NC_002703	55
NC_002730	56
NC_002747	52
NC_002796	48
NC_003050	50
NC_003085	74
NC_003157	64
NC_003216	59
NC_003278	38
NC_003287	9
NC_003288	59
NC_003291	55
NC_003298	42
NC_003299	7
NC_003300	6
NC_003301	7
NC_003309	72
NC_003313	48
NC_003315	41
NC_003324	62
NC_003327	13
NC_003356	60
NC_003387	77
NC_003390	51
NC_003444	53
NC_003460	8
NC_003524	48
NC_003714	5
NC_003715	5
NC_003716	8
NC_003907	66
NC_004066	58
NC_004112	63
NC_004165	21
NC_004166	73
NC_004167	53
NC_004170	7
NC_004171	5
NC_004172	4
NC_004173	6
NC_004174	4
NC_004175	8
NC_004301	4
NC_004302	49
NC_004303	56
NC_004305	60
NC_004306	12
NC_004313	59
NC_004333	61
NC_004348	65
NC_004456	63
NC_004462	36
NC_004466	67
NC_004584	58
NC_004585	58
NC_004586	51
NC_004587	63
NC_004588	57
NC_004589	49
NC_004615	64
NC_004616	59
NC_004617	60
NC_004629	352
NC_004664	55
NC_004665	38
NC_004678	19
NC_004679	20
NC_004680	91
NC_004681	114
NC_004682	77
NC_004683	80
NC_004684	82
NC_004685	106
NC_004686	85
NC_004687	215
NC_004688	192
NC_004689	99
NC_004735	142
NC_004736	14
NC_004740	61
NC_004745	40
NC_004746	46
NC_004775	44
NC_004777	42
NC_004813	83
NC_004814	22
NC_004820	85
NC_004821	50
NC_004827	59
NC_004831	49
NC_004902	65
NC_004913	83
NC_004914	89
NC_004928	253
NC_004996	53
NC_005045	49
NC_005056	43
NC_005066	254
NC_005069	63
NC_005083	377
NC_005091	71
NC_005131	11
NC_005135	252
NC_005178	50
NC_005258	27
NC_005259	91
NC_005260	339
NC_005262	74
NC_005263	65
NC_005282	117
NC_005284	74
NC_005294	66
NC_005340	42
NC_005342	61
NC_005344	60
NC_005345	70
NC_005354	50
NC_005355	49
NC_005356	59
NC_005357	45
NC_005822	46
NC_005833	70
NC_005841	65
NC_005856	111
NC_005857	60
NC_005859	171
NC_005879	50
NC_005880	219
NC_005882	50
NC_005884	49
NC_005885	71
NC_005886	68
NC_005887	45
NC_005891	51
NC_005893	57
NC_005948	12
NC_005949	12
NC_006294	12
NC_006356	59
NC_006548	46
NC_006552	67
NC_006557	52
NC_006565	166
NC_006820	217
NC_006882	47
NC_006883	302
NC_006884	192
NC_006936	49
NC_006938	82
NC_006940	55
NC_006945	26
NC_006949	68
NC_006953	53
NC_007019	42
NC_007021	168
NC_007022	251
NC_007023	268
NC_007024	75
NC_007045	23
NC_007046	21
NC_007047	63
NC_007048	61
NC_007049	60
NC_007050	62
NC_007051	53
NC_007052	65
NC_007053	56
NC_007054	57
NC_007055	61
NC_007056	64
NC_007057	69
NC_007058	65
NC_007059	63
NC_007060	61
NC_007061	60
NC_007062	57
NC_007063	60
NC_007064	59
NC_007065	61
NC_007066	192
NC_007145	46
NC_007149	49
NC_007189	13
NC_007291	82
NC_007451	26
NC_007456	48
NC_007458	52
NC_007461	5
NC_007497	66
NC_007501	48
NC_007581	200
NC_007603	69
NC_007610	175
NC_007623	207
NC_007636	47
NC_007637	53
NC_007709	62
NC_007710	67
NC_007734	53
NC_007804	50
NC_007805	54
NC_007806	53
NC_007807	47
NC_007808	62
NC_007809	78
NC_007810	93
NC_007814	49
NC_007817	5
NC_007818	8
NC_007819	8
NC_007820	7
NC_007821	8
NC_007822	8
NC_007823	8
NC_007824	8
NC_007825	6
NC_007827	8
NC_007856	6
NC_007902	66
NC_007917	90
NC_007924	55
NC_007967	49
NC_008152	46
NC_008193	49
NC_008194	115
NC_008195	87
NC_008196	85
NC_008197	92
NC_008198	79
NC_008199	90
NC_008200	80
NC_008201	49
NC_008202	51
NC_008203	82
NC_008204	84
NC_008205	84
NC_008206	131
NC_008207	208
NC_008208	224
NC_008265	53
NC_008294	3
NC_008296	194
NC_008363	47
NC_008364	44
NC_008367	48
NC_008370	52
NC_008371	46
NC_008376	53
NC_008464	78
NC_008515	243
NC_008562	165
NC_008574	15
NC_008575	11
NC_008583	56
NC_008584	157
NC_008617	60
NC_008689	62
NC_008694	42
NC_008717	48
NC_008720	72
NC_008721	51
NC_008722	60
NC_008723	64
NC_008798	62
NC_008799	64
NC_009014	53
NC_009015	108
NC_009016	51
NC_009018	60
NC_009231	89
NC_009232	54
NC_009234	42
NC_009235	61
NC_009236	45
NC_009237	53
NC_009382	48
NC_009447	65
NC_009514	58
NC_009526	60
NC_009531	56
NC_009540	75
NC_009541	43
NC_009542	47
NC_009543	60
NC_009551	42
NC_009552	60
NC_009554	54
NC_009603	62
NC_009604	64
NC_009643	20
NC_009737	52
NC_009760	244
NC_009761	54
NC_009762	62
NC_009763	69
NC_009799	54
NC_009803	103
NC_009804	97
NC_009810	57
NC_009811	188
NC_009812	63
NC_009813	67
NC_009814	49
NC_009815	54
NC_009816	80
NC_009817	113
NC_009818	48
NC_009819	49
NC_009820	90
NC_009821	255
NC_009875	20
NC_009877	76
NC_009878	78
NC_009904	198
NC_009935	50
NC_009936	55
NC_009990	42
NC_009993	72
NC_010105	254
NC_010106	73
NC_010116	71
NC_010147	62
NC_010179	60
NC_010237	88
NC_010275	48
NC_010324	115
NC_010325	62
NC_010326	51
NC_010353	42
NC_010355	105
NC_010363	23
NC_010391	54
NC_010392	54
NC_010393	60
NC_010429	12
NC_010463	43
NC_010495	66
NC_010576	73
NC_010583	174
NC_010807	43
NC_010808	66
NC_010811	323
NC_010821	453
NC_010945	56
NC_011019	75
NC_011020	79
NC_011021	75
NC_011022	75
NC_011023	77
NC_011038	43
NC_011039	94
NC_011040	43
NC_011041	212
NC_011042	45
NC_011043	42
NC_011044	85
NC_011045	46
NC_011046	48
NC_011048	23
NC_011054	91
NC_011055	119
NC_011056	117
NC_011057	88
NC_011085	46
NC_011103	90
NC_011104	54
NC_011105	50
NC_011107	48
NC_011142	79
NC_011165	83
NC_011166	89
NC_011167	82
NC_011201	49
NC_011216	49
NC_011222	60
NC_011267	76
NC_011269	206
NC_011270	208
NC_011271	207
NC_011272	210
NC_011273	217
NC_011285	81
NC_011287	79
NC_011288	93
NC_011289	82
NC_011290	81
NC_011291	64
NC_011292	87
NC_011308	50
NC_011318	53
NC_011344	61
NC_011356	75
NC_011357	85
NC_011373	75
NC_011398	68
NC_011399	15
NC_011421	198
NC_011523	26
NC_011534	43
NC_011551	44
NC_011589	48
NC_011611	46
NC_011612	58
NC_011613	47
NC_011614	60
NC_011645	53
NC_011703	87
NC_011756	89
NC_011801	51
NC_011802	66
NC_011810	88
NC_011811	119
NC_011976	64
NC_012027	90
NC_012091	6
NC_012092	7
NC_012093	4
NC_012223	59
NC_012418	50
NC_012419	23
NC_012530	192
NC_012635	252
NC_012638	244
NC_012662	48
NC_012663	77
NC_012696	77
NC_012697	82
NC_012740	261
NC_012741	256
NC_012742	58
NC_012743	72
NC_012749	127
NC_012753	51
NC_012756	50
NC_012757	12
NC_012784	72
NC_012788	50
NC_012868	9
NC_012884	38
NC_013021	130
NC_013055	45
NC_013059	56
NC_013085	211
NC_013152	47
NC_013153	46
NC_013154	46
NC_013155	47
NC_013195	60
NC_013197	29
NC_013594	52
NC_013597	63
NC_013598	44
NC_013599	40
NC_013600	56
NC_013638	47
NC_013643	56
NC_013644	54
NC_013645	45
NC_013646	54
NC_013647	43
NC_013648	62
NC_013649	50
NC_013650	201
NC_013651	46
NC_013691	101
NC_013692	91
NC_013693	211
NC_013694	76
NC_013696	60
NC_013697	231
NC_013698	72
NC_013936	79
NC_014036	257
NC_014229	45
NC_014260	258
NC_014457	80
NC_014458	83
NC_014459	83
NC_014460	60
NC_014461	104
NC_014467	254
NC_014595	265
NC_014635	254
NC_014636	325
NC_014660	243
NC_014661	235
NC_014662	248
NC_014663	250
NC_014792	263
NC_014900	65
NC_014901	87
NC_015157	215
NC_015158	67
NC_015159	47
NC_015208	44
NC_015209	18
NC_015210	81
NC_015249	40
NC_015250	240
NC_015251	411
NC_015252	52
NC_015253	161
NC_015254	60
NC_015262	56
NC_015263	140
NC_015264	50
NC_015265	44
NC_015266	47
NC_015269	170
NC_015270	31
NC_015271	44
NC_015272	147
NC_015273	42
NC_015274	71
NC_015279	236
NC_015280	211
NC_015281	198
NC_015282	210
NC_015283	203
NC_015284	202
NC_015285	201
NC_015286	195
NC_015287	269
NC_015288	189
NC_015289	196
NC_015290	202
NC_015292	121
NC_015293	45
NC_015294	161
NC_015295	68
NC_015296	206
NC_015297	8
NC_015453	42
NC_015454	40
NC_015456	76
NC_015457	248
NC_015463	102
NC_015464	162
NC_015465	48
NC_015466	85
NC_015568	48
NC_015569	278
NC_015584	115
NC_015585	57
NC_015586	10
NC_015719	42
NC_015720	58
NC_015721	39
NC_015785	7
NC_015933	81
NC_015937	156
NC_015938	141
NC_016071	237
NC_016073	204
NC_016158	74
NC_016160	55
NC_016161	56
NC_016162	11
NC_016163	321
NC_016164	44
NC_016165	48
NC_016166	87
NC_016434	82
NC_016435	80
NC_016562	157
NC_016563	253
NC_016564	132
NC_016565	20
NC_016566	56
NC_016567	110
NC_016568	26
NC_016569	66
NC_016570	206
NC_016571	304
NC_016650	64
NC_016651	17
NC_016652	68
NC_016653	62
NC_016654	53
NC_016655	78
NC_016656	51
NC_016657	51
NC_016658	59
NC_016659	59
NC_016761	51
NC_016762	63
NC_016763	59
NC_016764	46
NC_016765	80
NC_016766	101
NC_016767	61
NC_016770	62
NC_017674	89
NC_017688	56
NC_017695	55
NC_017696	51
NC_017698	55
NC_017702	54
NC_017732	44
NC_017864	53
NC_017865	49
NC_017968	59
NC_017969	160
NC_017971	62
NC_017972	370
NC_017973	83
NC_017974	266
NC_017975	174
NC_017976	49
NC_017978	42
NC_017980	27
NC_017981	82
NC_017983	60
NC_017984	81
NC_017985	62
NC_018083	28
NC_018084	26
NC_018085	57
NC_018086	81
NC_018087	232
NC_018088	141
NC_018264	54
NC_018269	50
NC_018270	45
NC_018271	49
NC_018272	49
NC_018273	36
NC_018274	48
NC_018275	62
NC_018276	60
NC_018277	64
NC_018278	55
NC_018279	73
NC_018280	48
NC_018281	66
NC_018282	77
NC_018283	73
NC_018284	61
NC_018285	54
NC_018452	68
NC_018454	55
NC_018831	110
NC_018832	71
NC_018834	41
NC_018835	121
NC_018836	69
NC_018837	173
NC_018838	43
NC_018839	43
NC_018840	44
NC_018841	40
NC_018842	41
NC_018843	128
NC_018845	41
NC_018846	70
NC_018847	43
NC_018848	49
NC_018849	41
NC_018850	66
NC_018851	43
NC_018852	43
NC_018853	47
NC_018854	79
NC_018855	250
NC_018856	241
NC_018857	257
NC_018859	109
NC_018860	219
NC_018861	149
NC_018862	7
NC_018863	258
NC_019398	263
NC_019399	253
NC_019400	244
NC_019401	521
NC_019402	108
NC_019403	49
NC_019404	68
NC_019405	308
NC_019406	425
NC_019407	315
NC_019408	327
NC_019410	322
NC_019411	318
NC_019414	72
NC_019416	41
NC_019417	73
NC_019418	50
NC_019419	59
NC_019420	44
NC_019421	69
NC_019422	44
NC_019423	83
NC_019442	71
NC_019443	218
NC_019444	209
NC_019445	60
NC_019446	52
NC_019447	52
NC_019448	199
NC_019449	48
NC_019450	157
NC_019451	89
NC_019452	206
NC_019453	3
NC_019454	56
NC_019455	53
NC_019456	71
NC_019457	62
NC_019485	64
NC_019486	59
NC_019487	216
NC_019488	45
NC_019489	54
NC_019490	75
NC_019496	54
NC_019500	250
NC_019501	59
NC_019502	63
NC_019503	247
NC_019504	82
NC_019505	247
NC_019506	59
NC_019507	235
NC_019508	58
NC_019509	74
NC_019510	41
NC_019511	176
NC_019512	29
NC_019513	59
NC_019514	94
NC_019515	134
NC_019516	151
NC_019517	210
NC_019518	61
NC_019519	112
NC_019520	48
NC_019521	272
NC_019522	63
NC_019523	21
NC_019524	78
NC_019525	66
NC_019526	509
NC_019527	76
NC_019528	48
NC_019529	142
NC_019530	211
NC_019538	406
NC_019539	51
NC_019540	68
NC_019541	64
NC_019542	53
NC_019543	232
NC_019544	80
NC_019545	69
NC_019548	11
NC_019549	39
NC_019550	45
NC_019704	65
NC_019705	63
NC_019706	57
NC_019707	3
NC_019708	57
NC_019709	60
NC_019710	63
NC_019711	63
NC_019713	102
NC_019714	60
NC_019715	57
NC_019716	54
NC_019717	66
NC_019718	66
NC_019719	64
NC_019720	65
NC_019721	56
NC_019722	59
NC_019723	62
NC_019724	56
NC_019725	85
NC_019726	202
NC_019767	56
NC_019768	62
NC_019769	55
NC_019782	57
NC_019813	61
NC_019909	246
NC_019910	208
NC_019911	48
NC_019912	51
NC_019913	156
NC_019914	50
NC_019915	58
NC_019916	56
NC_019917	72
NC_019918	168
NC_019919	175
NC_019920	3
NC_019921	64
NC_019922	3
NC_019923	58
NC_019924	70
NC_019925	192
NC_019926	55
NC_019927	73
NC_019928	27
NC_019929	271
NC_019930	78
NC_019931	30
NC_019932	41
NC_019933	50
NC_019934	50
NC_019935	82
NC_020078	45
NC_020079	256
NC_020080	258
NC_020081	210
NC_020082	64
NC_020083	206
NC_020197	57
NC_020198	48
NC_020199	61
NC_020200	55
NC_020201	234
NC_020202	52
NC_020203	50
NC_020204	68
NC_020205	51
NC_020414	45
NC_020416	240
NC_020477	71
NC_020478	72
NC_020479	71
NC_020480	76
NC_020481	57
NC_020482	41
NC_020483	56
NC_020484	179
NC_020486	199
NC_020488	38
NC_020489	60
NC_020490	64
NC_020835	52
NC_020837	224
NC_020838	53
NC_020839	56
NC_020841	67
NC_020842	108
NC_020843	195
NC_020844	56
NC_020845	201
NC_020846	68
NC_020847	53
NC_020848	109
NC_020849	95
NC_020850	55
NC_020851	278
NC_020853	73
NC_020854	62
NC_020855	205
NC_020856	66
NC_020857	57
NC_020858	65
NC_020859	190
NC_020860	53
NC_020862	79
NC_020863	200
NC_020865	51
NC_020866	55
NC_020867	59
NC_020868	107
NC_020870	36
NC_020871	172
NC_020872	48
NC_020873	222
NC_020874	53
NC_020875	213
NC_020876	83
NC_020877	162
NC_020878	55
NC_020879	230
NC_020880	35
NC_020883	79
NC_021061	58
NC_021062	46
NC_021063	66
NC_021067	248
NC_021068	70
NC_021070	48
NC_021071	200
NC_021072	194
NC_021073	155
NC_021190	64
NC_021297	74
NC_021298	68
NC_021299	122
NC_021300	45
NC_021301	80
NC_021302	67
NC_021304	71
NC_021305	118
NC_021306	121
NC_021307	70
NC_021308	73
NC_021309	116
NC_021310	90
NC_021311	121
NC_021315	77
NC_021316	48
NC_021317	27
NC_021318	79
NC_021323	56
NC_021324	80
NC_021325	46
NC_021326	67
NC_021331	83
NC_021332	65
NC_021334	78
NC_021336	36
NC_021337	28
NC_021338	66
NC_021339	69
NC_021342	63
NC_021343	47
NC_021344	254
NC_021346	211
NC_021347	207
NC_021348	216
NC_021349	207
NC_021529	389
NC_021530	200
NC_021531	237
NC_021532	124
NC_021533	67
NC_021534	66
NC_021535	79
NC_021536	197
NC_021538	84
NC_021539	60
NC_021540	92
NC_021556	50
NC_021557	52
NC_021558	68
NC_021559	208
NC_021560	69
NC_021561	57
NC_021562	10
NC_021563	62
NC_021569	14
NC_021772	89
NC_021773	57
NC_021774	39
NC_021775	61
NC_021776	50
NC_021777	58
NC_021779	74
NC_021780	74
NC_021781	181
NC_021782	89
NC_021783	74
NC_021784	57
NC_021785	106
NC_021787	104
NC_021788	173
NC_021789	109
NC_021790	54
NC_021791	55
NC_021792	102
NC_021793	22
NC_021794	96
NC_021795	55
NC_021796	83
NC_021797	10
NC_021798	168
NC_021799	102
NC_021800	46
NC_021801	58
NC_021802	89
NC_021803	111
NC_021804	41
NC_021805	11
NC_021806	106
NC_021852	46
NC_021853	54
NC_021854	45
NC_021855	52
NC_021856	231
NC_021857	58
NC_021860	50
NC_021861	52
NC_021862	18
NC_021863	59
NC_021864	80
NC_021865	56
NC_021866	10
NC_021867	62
NC_021868	92
NC_022052	115
NC_022053	89
NC_022054	66
NC_022055	90
NC_022056	82
NC_022057	114
NC_022058	84
NC_022059	119
NC_022060	80
NC_022061	89
NC_022062	83
NC_022063	86
NC_022064	86
NC_022065	115
NC_022066	196
NC_022067	203
NC_022068	86
NC_022069	83
NC_022070	80
NC_022071	116
NC_022085	116
NC_022086	74
NC_022087	83
NC_022088	261
NC_022090	172
NC_022091	49
NC_022094	24
NC_022096	333
NC_022323	211
NC_022324	83
NC_022325	109
NC_022328	91
NC_022329	76
NC_022330	118
NC_022331	82
NC_022334	43
NC_022335	40
NC_022336	42
NC_022337	40
NC_022338	43
NC_022339	42
NC_022340	44
NC_022341	41
NC_022342	41
NC_022343	205
NC_022744	45
NC_022746	49
NC_022747	50
NC_022749	56
NC_022750	45
NC_022751	39
NC_022752	64
NC_022753	83
NC_022754	60
NC_022756	58
NC_022757	55
NC_022758	58
NC_022761	220
NC_022762	55
NC_022763	261
NC_022764	46
NC_022765	75
NC_022766	73
NC_022767	102
NC_022768	200
NC_022769	263
NC_022770	45
NC_022771	241
NC_022772	202
NC_022773	71
NC_022774	104
NC_022775	45
NC_022776	53
NC_022790	5
NC_022791	49
NC_022914	59
NC_022915	55
NC_022916	46
NC_022917	57
NC_022918	171
NC_022920	189
NC_022965	82
NC_022966	147
NC_022967	163
NC_022968	239
NC_022969	120
NC_022970	150
NC_022971	61
NC_022972	54
NC_022973	70
NC_022974	145
NC_022975	78
NC_022976	117
NC_022977	80
NC_022979	82
NC_022980	79
NC_022981	117
NC_022982	51
NC_022983	90
NC_022984	72
NC_022985	80
NC_022986	158
NC_022987	43
NC_022988	114
NC_022989	46
NC_023005	48
NC_023006	62
NC_023007	252
NC_023009	165
NC_023498	93
NC_023499	56
NC_023500	63
NC_023501	258
NC_023502	171
NC_023503	64
NC_023548	46
NC_023549	73
NC_023550	20
NC_023551	57
NC_023552	68
NC_023553	83
NC_023554	86
NC_023555	57
NC_023556	86
NC_023557	318
NC_023558	45
NC_023559	52
NC_023560	54
NC_023561	265
NC_023562	76
NC_023563	88
NC_023564	87
NC_023565	75
NC_023566	86
NC_023567	49
NC_023568	365
NC_023569	91
NC_023570	44
NC_023571	56
NC_023572	61
NC_023573	192
NC_023574	180
NC_023575	61
NC_023576	43
NC_023577	75
NC_023578	93
NC_023579	92
NC_023580	80
NC_023581	90
NC_023582	122
NC_023583	63
NC_023584	196
NC_023586	15
NC_023587	200
NC_023588	41
NC_023589	99
NC_023590	55
NC_023593	115
NC_023594	66
NC_023595	64
NC_023597	83
NC_023599	52
NC_023600	91
NC_023601	164
NC_023602	74
NC_023603	94
NC_023604	56
NC_023605	63
NC_023606	81
NC_023607	80
NC_023608	50
NC_023609	64
NC_023610	247
NC_023612	57
NC_023614	48
NC_023686	87
NC_023687	81
NC_023688	318
NC_023689	121
NC_023690	200
NC_023691	99
NC_023692	70
NC_023693	233
NC_023694	101
NC_023695	73
NC_023696	216
NC_023697	68
NC_023698	83
NC_023699	89
NC_023700	48
NC_023701	86
NC_023702	75
NC_023703	82
NC_023704	73
NC_023705	52
NC_023706	100
NC_023707	81
NC_023708	80
NC_023709	72
NC_023710	73
NC_023711	91
NC_023712	111
NC_023713	80
NC_023714	206
NC_023715	43
NC_023716	87
NC_023717	274
NC_023719	660
NC_023720	80
NC_023721	83
NC_023722	77
NC_023723	82
NC_023724	90
NC_023725	214
NC_023726	84
NC_023727	90
NC_023728	88
NC_023729	58
NC_023730	60
NC_023731	84
NC_023732	98
NC_023733	210
NC_023734	47
NC_023735	102
NC_023736	47
NC_023737	211
NC_023738	183
NC_023739	74
NC_023740	90
NC_023741	82
NC_023742	89
NC_023743	69
NC_023744	86
NC_023745	75
NC_023746	82
NC_023747	83
NC_023748	88
NC_023856	198
NC_023859	103
NC_023862	83
NC_023863	87
NC_023865	79
NC_024121	258
NC_024122	207
NC_024123	82
NC_024124	253
NC_024125	253
NC_024134	212
NC_024135	55
NC_024136	77
NC_024137	210
NC_024138	103
NC_024139	157
NC_024140	88
NC_024141	76
NC_024142	87
NC_024143	81
NC_024144	71
NC_024145	90
NC_024146	75
NC_024147	84
NC_024148	78
NC_024149	23
NC_024203	70
NC_024204	54
NC_024205	259
NC_024206	54
NC_024207	257
NC_024208	72
NC_024209	89
NC_024210	68
NC_024211	253
NC_024212	86
NC_024213	256
NC_024214	75
NC_024215	72
NC_024216	260
NC_024217	131
NC_024329	44
NC_024330	50
NC_024354	259
NC_024355	131
NC_024356	65
NC_024357	53
NC_024358	37
NC_024359	177
NC_024360	187
NC_024361	58
NC_024362	49
NC_024363	93
NC_024364	174
NC_024365	72
NC_024366	86
NC_024367	81
NC_024368	71
NC_024369	63
NC_024370	56
NC_024371	88
NC_024375	111
NC_024378	38
NC_024379	47
NC_024380	36
NC_024381	57
NC_024383	182
NC_024384	68
NC_024385	37
NC_024386	39
NC_024387	62
NC_024388	38
NC_024389	39
NC_024390	37
NC_024391	60
NC_024392	108
NC_024711	82
NC_024782	48
NC_024783	59
NC_024784	72
NC_024785	74
NC_024786	78
NC_024787	179
NC_024788	263
NC_024789	65
NC_024790	79
NC_024791	63
NC_024792	233
NC_024793	70
NC_024794	245
NC_025115	47
NC_025414	258
NC_025415	50
NC_025416	198
NC_025417	197
NC_025418	50
NC_025419	250
NC_025420	49
NC_025421	48
NC_025422	242
NC_025423	193
NC_025424	72
NC_025425	255
NC_025426	213
NC_025427	86
NC_025428	71
NC_025429	238
NC_025430	59
NC_025431	57
NC_025433	87
NC_025434	79
NC_025436	217
NC_025437	250
NC_025438	89
NC_025439	53
NC_025440	178
NC_025441	96
NC_025442	77
NC_025443	73
NC_025444	82
NC_025445	47
NC_025446	205
NC_025447	556
NC_025448	242
NC_025449	252
NC_025450	44
NC_025451	40
NC_025452	195
NC_025453	54
NC_025454	13
NC_025455	54
NC_025456	50
NC_025457	47
NC_025458	59
NC_025459	82
NC_025460	60
NC_025461	54
NC_025462	150
NC_025463	65
NC_025464	56
NC_025465	61
NC_025466	62
NC_025467	23
NC_025470	213
NC_025471	55
NC_025822	46
NC_025824	9
NC_025829	241
NC_025830	200
NC_026010	77
NC_026013	6
NC_026014	50
NC_026016	63
NC_026017	53
NC_026582	7
NC_026583	71
NC_026584	199
NC_026585	85
NC_026586	90
NC_026587	148
NC_026588	82
NC_026589	79
NC_026590	153
NC_026591	57
NC_026593	87
NC_026594	74
NC_026595	82
NC_026596	86
NC_026597	79
NC_026598	87
NC_026599	62
NC_026600	90
NC_026601	50
NC_026602	50
NC_026603	88
NC_026604	79
NC_026605	70
NC_026606	105
NC_026607	237
NC_026608	54
NC_026609	82
NC_026610	80
NC_026611	72
NC_026612	6
NC_026613	8
NC_026923	201
NC_026924	195
NC_026926	206
NC_026927	273
NC_026928	197
NC_027118	48
NC_027119	205
NC_027120	41
NC_027125	71
NC_027130	200
NC_027132	199
NC_027204	338
NC_027292	46
NC_027293	125
NC_027294	42
NC_027295	42
NC_027296	77
NC_027297	175
NC_027298	47
NC_027299	65
NC_027329	121
NC_027330	56
NC_027331	264
NC_027332	160
NC_027333	40
NC_027334	63
NC_027335	205
NC_027336	41
NC_027337	123
NC_027339	58
NC_027340	212
NC_027341	174
NC_027342	44
NC_027344	235
NC_027345	91
NC_027346	44
NC_027347	42
NC_027348	87
NC_027349	248
NC_027350	81
NC_027351	234
NC_027352	214
NC_027353	253
NC_027354	40
NC_027355	216
NC_027356	146
NC_027357	40
NC_027358	46
NC_027359	43
NC_027360	126
NC_027361	42
NC_027362	41
NC_027363	44
NC_027364	550
NC_027365	85
NC_027366	218
NC_027367	40
NC_027368	49
NC_027369	128
NC_027370	43
NC_027371	43
NC_027372	47
NC_027373	39
NC_027374	217
NC_027375	49
NC_027376	41
NC_027377	41
NC_027378	85
NC_027379	48
NC_027380	40
NC_027381	76
NC_027382	52
NC_027383	58
NC_027384	49
NC_027385	42
NC_027386	41
NC_027387	46
NC_027388	91
NC_027389	42
NC_027390	49
NC_027391	41
NC_027392	43
NC_027393	47
NC_027394	46
NC_027395	112
NC_027396	47
NC_027397	48
NC_027398	55
NC_027399	507
NC_027400	43
NC_027401	43
NC_027402	265
NC_027403	43
NC_027404	246
NC_027405	44
NC_027620	42
NC_027621	41
NC_027622	43
NC_027623	42
NC_027624	45
NC_027625	41
NC_027626	39
NC_027627	41
NC_027628	39
NC_027629	43
NC_027630	44
NC_027633	5
NC_027634	6
NC_027635	5
NC_027636	5
NC_027637	6
NC_027638	6
NC_027639	5
NC_027640	6
NC_027641	5
NC_027642	6
NC_027643	5
NC_027644	6
NC_027645	5
NC_027646	5
NC_027647	5
NC_027648	5
NC_027979	252
NC_027980	55
NC_027981	59
NC_027982	48
NC_027983	247
NC_027984	67
NC_027985	90
NC_027986	48
NC_027987	43
NC_027988	70
NC_027989	60
NC_027990	83
NC_027991	210
NC_027992	52
NC_027993	61
NC_027994	57
NC_027995	56
NC_027996	198
NC_027997	192
NC_028247	138
NC_028248	210
NC_028448	249
NC_028449	81
NC_028651	22
NC_028652	165
NC_028653	80
NC_028654	85
NC_028655	42
