ID	Nucleic_acid
NC_023429	DNA
NC_023428	DNA
NC_023430	DNA
NC_023427	DNA
NC_023436	DNA
NC_030311	DNA
NC_030310	DNA
NC_030309	DNA
NC_023441	DNA
NC_023442	DNA
NC_023443	DNA
NC_030402	DNA
NC_030447	DNA
NC_030448	DNA
NC_030458	DNA
NC_030472	DNA
NC_030462	DNA
NC_030650	DNA
NC_030699	DNA
NC_030749	DNA
NC_030748	DNA
NC_030801	DNA
NC_030800	DNA
NC_030799	DNA
NC_030798	DNA
NC_030797	DNA
NC_030796	DNA
NC_030795	DNA
NC_030838	DNA
NC_030837	DNA
NC_030839	DNA
NC_030873	DNA
NC_030887	DNA
NC_031306	DNA
NC_031340	DNA
NC_031448	DNA
NC_031453	DNA
NC_031451	DNA
NC_031450	DNA
NC_031458	DNA
NC_031459	DNA
NC_031454	DNA
NC_031455	DNA
NC_031456	DNA
NC_031457	DNA
NC_031452	DNA
NC_031466	DNA
NC_031670	DNA
NC_031695	DNA
NC_031757	DNA
NC_031756	DNA
NC_031754	DNA
NC_031751	DNA
NC_031753	DNA
NC_031760	DNA
NC_031764	DNA
NC_031765	DNA
NC_031761	DNA
NC_033737	DNA
NC_033464	DNA
NC_032004	DNA
NC_031961	DNA
NC_032005	DNA
NC_032006	DNA
NC_032118	DNA
NC_032119	DNA
NC_032120	DNA
NC_023484	DNA
NC_023485	DNA
NC_023496	DNA
NC_003639	DNA
NC_032682	DNA
NC_032255	DNA
NC_033335	DNA
NC_033334	DNA
NC_033275	DNA
NC_033270	DNA
NC_033273	DNA
NC_033271	DNA
NC_033274	DNA
NC_033176	DNA
NC_033554	DNA
NC_033555	DNA
NC_036591	DNA
NC_036592	DNA
NC_036593	DNA
NC_018505	DNA
NC_018504	DNA
NC_018530	DNA
NC_018575	DNA
NC_018577	DNA
NC_018578	DNA
NC_018576	DNA
NC_018579	DNA
NC_036877	DNA
NC_037053	DNA
NC_037063	DNA
NC_037065	DNA
NC_037068	DNA
NC_037066	DNA
NC_037059	DNA
NC_037064	DNA
NC_037069	DNA
NC_037067	DNA
NC_037061	DNA
NC_037062	DNA
NC_018614	DNA
NC_018616	DNA
NC_018628	DNA
NC_018671	DNA
NC_034547	DNA
NC_034446	DNA
NC_026142	DNA
NC_034629	DNA
NC_034630	DNA
NC_034618	DNA
NC_034978	DNA
NC_034977	DNA
NC_035179	DNA
NC_023586	DNA
NC_035136	DNA
NC_035137	DNA
NC_035117	DNA
NC_035135	DNA
NC_035139	DNA
NC_035138	DNA
NC_035185	DNA
NC_025220	DNA
NC_035210	DNA
NC_035181	DNA
NC_035197	DNA
NC_035192	DNA
NC_035196	DNA
NC_035194	DNA
NC_035195	DNA
NC_035200	DNA
NC_035199	DNA
NC_035201	DNA
NC_035193	DNA
NC_035186	DNA
NC_035209	DNA
NC_035180	DNA
NC_035208	DNA
NC_023677	DNA
NC_023673	DNA
NC_023681	DNA
NC_035676	DNA
NC_035480	DNA
NC_035479	DNA
NC_035478	DNA
NC_035481	DNA
NC_035487	DNA
NC_035488	DNA
NC_035472	DNA
NC_035473	DNA
NC_035476	DNA
NC_035477	DNA
NC_035474	DNA
NC_003647	DNA
NC_035797	DNA
NC_035799	DNA
NC_010429	DNA
NC_018716	DNA
NC_018718	DNA
NC_018715	DNA
NC_018717	DNA
NC_018862	DNA
NC_018858	DNA
NC_018864	DNA
NC_018869	DNA
NC_018875	DNA
NC_018874	DNA
NC_018935	DNA
NC_019023	DNA
NC_019024	DNA
NC_019036	DNA
NC_019035	DNA
NC_037305	DNA
NC_037306	DNA
NC_023843	DNA
NC_023844	DNA
NC_023842	DNA
NC_023845	DNA
NC_023850	DNA
NC_023851	DNA
NC_023849	DNA
NC_023852	DNA
NC_023853	DNA
NC_023855	DNA
NC_023854	DNA
NC_023864	DNA
NC_003818	DNA
NC_023860	DNA
NC_023872	DNA
NC_023871	DNA
NC_023870	DNA
NC_023866	DNA
NC_023868	DNA
NC_023869	DNA
NC_023876	DNA
NC_023885	DNA
NC_023878	DNA
NC_023877	DNA
NC_023882	DNA
NC_023874	DNA
NC_023880	DNA
NC_023881	DNA
NC_023875	DNA
NC_023884	DNA
NC_023879	DNA
NC_023883	DNA
NC_023886	DNA
NC_023887	DNA
NC_023888	DNA
NC_023873	DNA
NC_023894	DNA
NC_023891	DNA
NC_023895	DNA
NC_023896	DNA
NC_023989	DNA
NC_024009	DNA
NC_024012	DNA
NC_024013	DNA
NC_017982	DNA
NC_019491	DNA
NC_019495	DNA
NC_019497	DNA
NC_019498	DNA
NC_019499	DNA
NC_019532	DNA
NC_019492	DNA
NC_019548	DNA
NC_019547	DNA
NC_019546	DNA
NC_019568	DNA
NC_019569	DNA
NC_024116	DNA
NC_024119	DNA
NC_024118	DNA
NC_019844	DNA
NC_019853	DNA
NC_019854	DNA
NC_019851	DNA
NC_019852	DNA
NC_019945	DNA
NC_019944	DNA
NC_019947	DNA
NC_020067	DNA
NC_020069	DNA
NC_020070	DNA
NC_020065	DNA
NC_020071	DNA
NC_020066	DNA
NC_020068	DNA
NC_020085	DNA
NC_020084	DNA
NC_024305	DNA
NC_024304	DNA
NC_024301	DNA
NC_024300	DNA
NC_024303	DNA
NC_024306	DNA
NC_020099	DNA
NC_017843	DNA
NC_020106	DNA
NC_020206	DNA
NC_020231	DNA
NC_020257	DNA
NC_020253	DNA
NC_020254	DNA
NC_020255	DNA
NC_020256	DNA
NC_024372	DNA
NC_024373	DNA
NC_024382	DNA
NC_024444	DNA
NC_024445	DNA
NC_024443	DNA
NC_024450	DNA
NC_024453	DNA
NC_024454	DNA
NC_024452	DNA
NC_020472	DNA
NC_020473	DNA
NC_020475	DNA
NC_020474	DNA
NC_003565	DNA
NC_003558	DNA
NC_024484	DNA
NC_024483	DNA
NC_024482	DNA
NC_024481	DNA
NC_024480	DNA
NC_024479	DNA
NC_024478	DNA
NC_024477	DNA
NC_024490	DNA
NC_024491	DNA
NC_020499	DNA
NC_020500	DNA
NC_020501	DNA
NC_020502	DNA
NC_020498	DNA
NC_024625	DNA
NC_024687	DNA
NC_024691	DNA
NC_024690	DNA
NC_024689	DNA
NC_024695	DNA
NC_024694	DNA
NC_024693	DNA
NC_024700	DNA
NC_024696	DNA
NC_020881	DNA
NC_020889	DNA
NC_020890	DNA
NC_020904	DNA
NC_020927	DNA
NC_020928	DNA
NC_020999	DNA
NC_021074	DNA
NC_024692	DNA
NC_024710	DNA
NC_024771	DNA
NC_024777	DNA
NC_024774	DNA
NC_024775	DNA
NC_024773	DNA
NC_024776	DNA
NC_024772	DNA
NC_021206	DNA
NC_021205	DNA
NC_021202	DNA
NC_021204	DNA
NC_021203	DNA
NC_021245	DNA
NC_024809	DNA
NC_024886	DNA
NC_024888	DNA
NC_024894	DNA
NC_024895	DNA
NC_024891	DNA
NC_024890	DNA
NC_024893	DNA
NC_024908	DNA
NC_024909	DNA
NC_021341	DNA
NC_021345	DNA
NC_021472	DNA
NC_021483	DNA
NC_021562	DNA
NC_021569	DNA
NC_021568	DNA
NC_021579	DNA
NC_021708	DNA
NC_021719	DNA
NC_021797	DNA
NC_021793	DNA
NC_021805	DNA
NC_021866	DNA
NC_021862	DNA
NC_025380	DNA
NC_025370	DNA
NC_025368	DNA
NC_021924	DNA
NC_021923	DNA
NC_021930	DNA
NC_021929	DNA
NC_022002	DNA
NC_022007	DNA
NC_022008	DNA
NC_022003	DNA
NC_022005	DNA
NC_022073	DNA
NC_022089	DNA
NC_025216	DNA
NC_025215	DNA
NC_025244	DNA
NC_025247	DNA
NC_025246	DNA
NC_025257	DNA
NC_025259	DNA
NC_025265	DNA
NC_025266	DNA
NC_022095	DNA
NC_022104	DNA
NC_022131	DNA
NC_025411	DNA
NC_022232	DNA
NC_022229	DNA
NC_022233	DNA
NC_022253	DNA
NC_022365	DNA
NC_025454	DNA
NC_025475	DNA
NC_025476	DNA
NC_022373	DNA
NC_022517	DNA
NC_022518	DNA
NC_022519	DNA
NC_025680	DNA
NC_025681	DNA
NC_025682	DNA
NC_025684	DNA
NC_025683	DNA
NC_025705	DNA
NC_025710	DNA
NC_025724	DNA
NC_025723	DNA
NC_025720	DNA
NC_025719	DNA
NC_025718	DNA
NC_025717	DNA
NC_025716	DNA
NC_025715	DNA
NC_025714	DNA
NC_025713	DNA
NC_025712	DNA
NC_025707	DNA
NC_025708	DNA
NC_025706	DNA
NC_025709	DNA
NC_025711	DNA
NC_025722	DNA
NC_025725	DNA
NC_025733	DNA
NC_025734	DNA
NC_025735	DNA
NC_025736	DNA
NC_025737	DNA
NC_025738	DNA
NC_025741	DNA
NC_025728	DNA
NC_025729	DNA
NC_025730	DNA
NC_025731	DNA
NC_025732	DNA
NC_025727	DNA
NC_025726	DNA
NC_025790	DNA
NC_025792	DNA
NC_025791	DNA
NC_025800	DNA
NC_025811	DNA
NC_025824	DNA
NC_025825	DNA
NC_025834	DNA
NC_025899	DNA
NC_025898	DNA
NC_025894	DNA
NC_025893	DNA
NC_025896	DNA
NC_025895	DNA
NC_025891	DNA
NC_025960	DNA
NC_025959	DNA
NC_025964	DNA
NC_025965	DNA
NC_025966	DNA
NC_026015	DNA
NC_026012	DNA
NC_026013	DNA
NC_026020	DNA
NC_026161	DNA
NC_026170	DNA
NC_026141	DNA
NC_026138	DNA
NC_026144	DNA
NC_026143	DNA
NC_026163	DNA
NC_026162	DNA
NC_026164	DNA
NC_026165	DNA
NC_026166	DNA
NC_026169	DNA
NC_026167	DNA
NC_026187	DNA
NC_022564	DNA
NC_026244	DNA
NC_026245	DNA
NC_026243	DNA
NC_026241	DNA
NC_026238	DNA
NC_026253	DNA
NC_026252	DNA
NC_026251	DNA
NC_026256	DNA
NC_026255	DNA
NC_026280	DNA
NC_026279	DNA
NC_026278	DNA
NC_026277	DNA
NC_026276	DNA
NC_026275	DNA
NC_026274	DNA
NC_026273	DNA
NC_026271	DNA
NC_026270	DNA
NC_026269	DNA
NC_026267	DNA
NC_026266	DNA
NC_026265	DNA
NC_026264	DNA
NC_026263	DNA
NC_026262	DNA
NC_026260	DNA
NC_026259	DNA
NC_026258	DNA
NC_026257	DNA
NC_026254	DNA
NC_026272	DNA
NC_026261	DNA
NC_026268	DNA
NC_026320	DNA
NC_026319	DNA
NC_026318	DNA
NC_026317	DNA
NC_026421	DNA
NC_026430	DNA
NC_022586	DNA
NC_022644	DNA
NC_022645	DNA
NC_022647	DNA
NC_022646	DNA
NC_026473	DNA
NC_026472	DNA
NC_026511	DNA
NC_026513	DNA
NC_026514	DNA
NC_026512	DNA
NC_022748	DNA
NC_022789	DNA
NC_022788	DNA
NC_022790	DNA
NC_022800	DNA
NC_026582	DNA
NC_026613	DNA
NC_026612	DNA
NC_026631	DNA
NC_026630	DNA
NC_026627	DNA
NC_026626	DNA
NC_026654	DNA
NC_026652	DNA
NC_026651	DNA
NC_026649	DNA
NC_026648	DNA
NC_026647	DNA
NC_026653	DNA
NC_026646	DNA
NC_026645	DNA
NC_026643	DNA
NC_026642	DNA
NC_026641	DNA
NC_026639	DNA
NC_026638	DNA
NC_026637	DNA
NC_026636	DNA
NC_026650	DNA
NC_026640	DNA
NC_026635	DNA
NC_026634	DNA
NC_026633	DNA
NC_026632	DNA
NC_026629	DNA
NC_026628	DNA
NC_026625	DNA
NC_026662	DNA
NC_026664	DNA
NC_026663	DNA
NC_026665	DNA
NC_026762	DNA
NC_026760	DNA
NC_026763	DNA
NC_026761	DNA
NC_026771	DNA
NC_026765	DNA
NC_026764	DNA
NC_026770	DNA
NC_026769	DNA
NC_026768	DNA
NC_026766	DNA
NC_022892	DNA
NC_022897	DNA
NC_022919	DNA
NC_023008	DNA
NC_023015	DNA
NC_023020	DNA
NC_023023	DNA
NC_026806	DNA
NC_026818	DNA
NC_026815	DNA
NC_026817	DNA
NC_026819	DNA
NC_026809	DNA
NC_026810	DNA
NC_026808	DNA
NC_026807	DNA
NC_023034	DNA
NC_023038	DNA
NC_023153	DNA
NC_023154	DNA
NC_023155	DNA
NC_023156	DNA
NC_023157	DNA
NC_023158	DNA
NC_023159	DNA
NC_023160	DNA
NC_023161	DNA
NC_023178	DNA
NC_023177	DNA
NC_023292	DNA
NC_026922	DNA
NC_001730	DNA
NC_018453	DNA
NC_032480	DNA
NC_018573	DNA
NC_018574	DNA
NC_023639	DNA
NC_007923	DNA
NC_015488	DNA
NC_015489	DNA
NC_008017	DNA
NC_009548	DNA
NC_015396	DNA
NC_015398	DNA
NC_010238	DNA
NC_010833	DNA
NC_003493	DNA
NC_011280	DNA
NC_003382	DNA
NC_004607	DNA
NC_009903	DNA
NC_008348	DNA
NC_001983	DNA
NC_001427	DNA
NC_011096	DNA
NC_011097	DNA
NC_002556	DNA
NC_005321	DNA
NC_004812	DNA
NC_006151	DNA
NC_007605	DNA
NC_005811	DNA
NC_001438	DNA
NC_008293	DNA
NC_011109	DNA
NC_003708	DNA
NC_003709	DNA
NC_001418	DNA
NC_001956	DNA
NC_003803	DNA
NC_003804	DNA
NC_002229	DNA
NC_002577	DNA
NC_001522	DNA
NC_024457	DNA
NC_003748	DNA
NC_001356	DNA
NC_001355	DNA
NC_002984	DNA
NC_002985	DNA
NC_016984	DNA
NC_006637	DNA
NC_014646	DNA
NC_008737	DNA
NC_007922	DNA
NC_001998	DNA
NC_006657	DNA
NC_008297	DNA
NC_006384	DNA
NC_007725	DNA
NC_007711	DNA
NC_006642	DNA
NC_006633	DNA
NC_003357	DNA
NC_005954	DNA
NC_003438	DNA
NC_008298	DNA
NC_006634	DNA
NC_006636	DNA
NC_006641	DNA
NC_006653	DNA
NC_006654	DNA
NC_006655	DNA
NC_006656	DNA
NC_014665	DNA
NC_014071	DNA
NC_004147	DNA
NC_008520	DNA
NC_008018	DNA
NC_008211	DNA
NC_008847	DNA
NC_009606	DNA
NC_006995	DNA
NC_006659	DNA
NC_006660	DNA
NC_006662	DNA
NC_006635	DNA
NC_006650	DNA
NC_014480	DNA
NC_003830	DNA
NC_016999	DNA
NC_008956	DNA
NC_007014	DNA
NC_006955	DNA
NC_007639	DNA
NC_006631	DNA
NC_006638	DNA
NC_006639	DNA
NC_006649	DNA
NC_005812	DNA
NC_003831	DNA
NC_007338	DNA
NC_017000	DNA
NC_017001	DNA
NC_010313	DNA
NC_008605	DNA
NC_006998	DNA
NC_003860	DNA
NC_010812	DNA
NC_010949	DNA
AC_000012	DNA
NC_003865	DNA
NC_017005	DNA
AC_000002	DNA
NC_003529	DNA
NC_003381	DNA
NC_009889	DNA
NC_014358	DNA
NC_014361	DNA
NC_014092	DNA
NC_013094	DNA
NC_013095	DNA
NC_013098	DNA
NC_013099	DNA
NC_013100	DNA
NC_009893	DNA
NC_001442	DNA
NC_013262	DNA
NC_008947	DNA
NC_013593	DNA
NC_008894	DNA
NC_008895	DNA
NC_008896	DNA
NC_008898	DNA
NC_008902	DNA
NC_008904	DNA
NC_008905	DNA
NC_013237	DNA
NC_008906	DNA
NC_008908	DNA
NC_008910	DNA
NC_008912	DNA
NC_008914	DNA
NC_008917	DNA
NC_008920	DNA
NC_008921	DNA
NC_008922	DNA
NC_008923	DNA
NC_008924	DNA
NC_008927	DNA
NC_008932	DNA
NC_008933	DNA
NC_008936	DNA
NC_008937	DNA
NC_008938	DNA
NC_008941	DNA
NC_009424	DNA
NC_007151	DNA
NC_009334	DNA
NC_006294	DNA
NC_003405	DNA
NC_012481	DNA
NC_009647	DNA
NC_009545	DNA
NC_009546	DNA
NC_009547	DNA
NC_009549	DNA
NC_003567	DNA
NC_009563	DNA
NC_009564	DNA
NC_009556	DNA
NC_009558	DNA
NC_007821	DNA
NC_007856	DNA
NC_007655	DNA
NC_007211	DNA
NC_009539	DNA
NC_008299	DNA
NC_008375	DNA
NC_007653	DNA
NC_016998	DNA
NC_017002	DNA
NC_009010	DNA
NC_008586	DNA
NC_008188	DNA
NC_008210	DNA
NC_008840	DNA
NC_008842	DNA
NC_008843	DNA
NC_008845	DNA
NC_008846	DNA
NC_008851	DNA
NC_008852	DNA
NC_008854	DNA
NC_008858	DNA
NC_008859	DNA
NC_011135	DNA
NC_008861	DNA
NC_008863	DNA
NC_008864	DNA
NC_008866	DNA
NC_008869	DNA
NC_008870	DNA
NC_008873	DNA
NC_013096	DNA
NC_017830	DNA
NC_017826	DNA
NC_017828	DNA
NC_017823	DNA
NC_017829	DNA
NC_008876	DNA
NC_008878	DNA
NC_008881	DNA
NC_008885	DNA
NC_008887	DNA
NC_008889	DNA
NC_008890	DNA
NC_009731	DNA
NC_004660	DNA
NC_006273	DNA
NC_015655	DNA
NC_011644	DNA
NC_003473	DNA
NC_003476	DNA
NC_014326	DNA
NC_012557	DNA
NC_005807	DNA
NC_004638	DNA
NC_004644	DNA
NC_004306	DNA
NC_005948	DNA
NC_005855	DNA
NC_012868	DNA
NC_015691	DNA
NC_015692	DNA
NC_001930	DNA
NC_001359	DNA
NC_001931	DNA
NC_001741	DNA
NC_001507	DNA
NC_003566	DNA
NC_010294	DNA
NC_010314	DNA
NC_010315	DNA
NC_010316	DNA
NC_010317	DNA
NC_010318	DNA
NC_007383	DNA
NC_004044	DNA
NC_004544	DNA
NC_001932	DNA
AC_000007	DNA
NC_010319	DNA
NC_010648	DNA
NC_001539	DNA
NC_010714	DNA
NC_003862	DNA
NC_015718	DNA
NC_010739	DNA
NC_002531	DNA
NC_001439	DNA
NC_004500	DNA
NC_005635	DNA
NC_011616	DNA
NC_001944	DNA
NC_008913	DNA
NC_001828	DNA
NC_003645	DNA
NC_007724	DNA
NC_008837	DNA
NC_008838	DNA
NC_008841	DNA
NC_008849	DNA
NC_008850	DNA
NC_008855	DNA
NC_001465	DNA
NC_003379	DNA
NC_003327	DNA
NC_005320	DNA
NC_008856	DNA
NC_008874	DNA
NC_008875	DNA
NC_008877	DNA
NC_008879	DNA
NC_008882	DNA
NC_008886	DNA
NC_006358	DNA
NC_008897	DNA
NC_008903	DNA
NC_008907	DNA
NC_008915	DNA
NC_008916	DNA
NC_008918	DNA
NC_008929	DNA
NC_001868	DNA
NC_005850	DNA
NC_005851	DNA
NC_005853	DNA
NC_012639	DNA
NC_008935	DNA
NC_007290	DNA
NC_004715	DNA
NC_003479	DNA
NC_007638	DNA
NC_009553	DNA
NC_016157	DNA
NC_008980	DNA
NC_008990	DNA
NC_008997	DNA
NC_005046	DNA
NC_005048	DNA
NC_005049	DNA
NC_004904	DNA
NC_004903	DNA
NC_005359	DNA
NC_004828	DNA
NC_001357	DNA
NC_003498	DNA
NC_003554	DNA
NC_005874	DNA
NC_011181	DNA
NC_004581	DNA
NC_001341	DNA
NC_003825	DNA
NC_011182	DNA
NC_006934	DNA
NC_010647	DNA
NC_012492	DNA
NC_003418	DNA
NC_011919	DNA
NC_001634	DNA
NC_006643	DNA
NC_009354	DNA
NC_001343	DNA
NC_008780	DNA
NC_007735	DNA
NC_011765	DNA
NC_012553	DNA
NC_012554	DNA
NC_016082	DNA
NC_008794	DNA
NC_008880	DNA
NC_008967	DNA
NC_006952	DNA
NC_010329	DNA
NC_010293	DNA
NC_014739	DNA
NC_010356	DNA
NC_003866	DNA
NC_010276	DNA
NC_010620	DNA
NC_003323	DNA
NC_001488	DNA
NC_009550	DNA
NC_009535	DNA
NC_009644	DNA
NC_009030	DNA
NC_010737	DNA
NC_010738	DNA
NC_014740	DNA
NC_014741	DNA
NC_012482	DNA
NC_011345	DNA
NC_011346	DNA
NC_011347	DNA
NC_003898	DNA
NC_002555	DNA
NC_001491	DNA
NC_000936	DNA
NC_010569	DNA
NC_013414	DNA
NC_004090	DNA
NC_011583	DNA
NC_004824	DNA
NC_004825	DNA
NC_005031	DNA
NC_011423	DNA
NC_012636	DNA
NC_001486	DNA
NC_007150	DNA
NC_007067	DNA
NC_013103	DNA
NC_004515	DNA
NC_002194	DNA
NC_017085	DNA
NC_017716	DNA
NC_016660	DNA
NC_007018	DNA
NC_006555	DNA
NC_007030	DNA
NC_007031	DNA
NC_007032	DNA
NC_007033	DNA
NC_007040	DNA
NC_007041	DNA
NC_007028	DNA
NC_005497	DNA
NC_002049	DNA
NC_008872	DNA
NC_001593	DNA
NC_017091	DNA
NC_003562	DNA
NC_013415	DNA
NC_013455	DNA
NC_012485	DNA
NC_012486	DNA
NC_015785	DNA
NC_013774	DNA
NC_007193	DNA
NC_014075	DNA
NC_014096	DNA
NC_001933	DNA
NC_013802	DNA
NC_008524	DNA
NC_010618	DNA
NC_014743	DNA
NC_003460	DNA
NC_001729	DNA
NC_008184	DNA
NC_011310	DNA
NC_008844	DNA
NC_008865	DNA
NC_008931	DNA
NC_001929	DNA
NC_000870	DNA
NC_004071	DNA
NC_005330	DNA
NC_003857	DNA
NC_009011	DNA
NC_009088	DNA
NC_004286	DNA
NC_004288	DNA
NC_008056	DNA
NC_003642	DNA
NC_004559	DNA
NC_004558	DNA
NC_003643	DNA
NC_004450	DNA
NC_008304	DNA
NC_009450	DNA
NC_004613	DNA
NC_004647	DNA
NC_003287	DNA
NC_010619	DNA
NC_004648	DNA
NC_004657	DNA
NC_002363	DNA
NC_002526	DNA
NC_011052	DNA
NC_004675	DNA
NC_001574	DNA
NC_013117	DNA
NC_007999	DNA
NC_008374	DNA
NC_008373	DNA
NC_004736	DNA
NC_004778	DNA
NC_006956	DNA
NC_006957	DNA
NC_001899	DNA
NC_001954	DNA
NC_001987	DNA
NC_014510	DNA
NC_002180	DNA
NC_001792	DNA
NC_001466	DNA
NC_001484	RNA
NC_015784	DNA
NC_001962	DNA
NC_002543	DNA
AC_000005	DNA
AC_000008	DNA
NC_001405	DNA
NC_003814	DNA
NC_009612	DNA
NC_014542	DNA
NC_003378	DNA
NC_002201	DNA
NC_003822	DNA
NC_005137	DNA
NC_007986	DNA
NC_000883	DNA
NC_007189	DNA
NC_007815	DNA
NC_005947	DNA
NC_001524	DNA
NC_004442	DNA
NC_009559	DNA
NC_005875	DNA
NC_004733	DNA
NC_004651	DNA
NC_004192	DNA
NC_001875	DNA
NC_009560	DNA
NC_009562	DNA
NC_005148	DNA
NC_004068	DNA
NC_001619	DNA
NC_001591	DNA
NC_002816	DNA
NC_002817	DNA
NC_002981	DNA
NC_001458	DNA
NC_002169	DNA
NC_010352	DNA
NC_024779	DNA
NC_003102	DNA
NC_006150	DNA
NC_001826	DNA
NC_008779	DNA
NC_015783	DNA
NC_009002	DNA
NC_008867	DNA
NC_008884	DNA
NC_008900	DNA
NC_008930	DNA
NC_004042	DNA
NC_004764	DNA
NC_001648	DNA
NC_001605	DNA
NC_003199	DNA
NC_003867	DNA
NC_007990	DNA
NC_007992	DNA
NC_007993	DNA
NC_007994	DNA
NC_007996	DNA
NC_007998	DNA
NC_008000	DNA
NC_005032	DNA
NC_006632	DNA
NC_001595	DNA
NC_003059	DNA
NC_003665	DNA
NC_001937	DNA
NC_002047	DNA
NC_001934	DNA
NC_008001	DNA
NC_008002	DNA
NC_008005	DNA
NC_008008	DNA
NC_008003	DNA
NC_008007	DNA
NC_001330	DNA
