ID	CDSs_AUGUSTUS_HUMAN
NC_015719	18
NC_015720	38
NC_015721	16
NC_015785	4
NC_015933	26
NC_015937	28
NC_015938	47
NC_016071	81
NC_016073	98
NC_016158	35
NC_016160	24
NC_016161	26
NC_016162	2
NC_016163	83
NC_016164	26
NC_016165	38
NC_016166	56
NC_016434	52
NC_016435	53
NC_016562	4
NC_016563	54
NC_016564	40
NC_016565	6
NC_016566	34
NC_016567	36
NC_016568	9
NC_016569	43
NC_016570	101
NC_016571	155
NC_016650	36
NC_016651	13
NC_016652	49
NC_016653	35
NC_016654	32
NC_016655	46
NC_016656	19
NC_016657	9
NC_016658	14
NC_016659	9
NC_016761	26
NC_016762	44
NC_016763	24
NC_016764	29
NC_016765	50
NC_016766	50
NC_016767	45
NC_016770	17
NC_017674	57
NC_017688	10
NC_017695	11
NC_017696	9
NC_017698	9
NC_017702	11
NC_017732	13
NC_017864	35
NC_017865	34
NC_017968	20
NC_017969	44
NC_017971	29
NC_017972	230
NC_017973	45
NC_017974	123
NC_017975	51
NC_017976	17
NC_017978	5
NC_017980	4
NC_017981	36
NC_017983	39
NC_017984	19
NC_017985	19
NC_018083	4
NC_018084	3
NC_018085	18
NC_018086	35
NC_018087	73
NC_018088	26
NC_018264	10
NC_018269	16
NC_018270	21
NC_018271	8
NC_018272	8
NC_018273	7
NC_018274	34
NC_018275	21
NC_018276	18
NC_018277	17
NC_018278	33
NC_018279	32
NC_018280	18
NC_018281	15
NC_018282	50
NC_018283	51
NC_018284	13
NC_018285	21
NC_018452	50
NC_018454	25
NC_018831	26
NC_018832	38
NC_018834	18
NC_018835	34
NC_018836	38
NC_018837	34
NC_018838	22
NC_018839	21
NC_018840	20
NC_018841	21
NC_018842	22
NC_018843	78
NC_018845	18
NC_018846	35
NC_018847	21
NC_018848	33
NC_018849	18
NC_018850	28
NC_018851	23
NC_018852	22
NC_018853	29
NC_018854	26
NC_018855	107
NC_018856	61
NC_018857	74
NC_018859	32
NC_018860	63
NC_018861	7
NC_018862	3
NC_018863	63
NC_019398	130
NC_019399	81
NC_019400	84
NC_019401	171
NC_019402	47
NC_019403	19
NC_019404	21
NC_019405	199
NC_019406	296
NC_019407	215
NC_019408	208
NC_019410	210
NC_019411	214
NC_019414	43
NC_019416	27
NC_019417	46
NC_019418	15
NC_019419	36
NC_019420	22
NC_019421	3
NC_019422	6
NC_019423	27
NC_019442	33
NC_019443	62
NC_019444	66
NC_019445	25
NC_019446	16
NC_019447	15
NC_019448	26
NC_019449	20
NC_019450	59
NC_019451	61
NC_019452	95
NC_019453	3
NC_019454	28
NC_019455	18
NC_019456	27
NC_019457	18
NC_019485	21
NC_019486	22
NC_019487	69
NC_019488	20
NC_019489	27
NC_019490	12
NC_019496	6
NC_019500	101
NC_019501	22
NC_019502	15
NC_019503	87
NC_019504	28
NC_019505	88
NC_019506	6
NC_019507	24
NC_019508	5
NC_019509	36
NC_019510	22
NC_019511	16
NC_019512	8
NC_019513	16
NC_019514	41
NC_019515	48
NC_019516	57
NC_019517	69
NC_019518	16
NC_019519	63
NC_019520	16
NC_019521	76
NC_019522	26
NC_019523	1
NC_019524	41
NC_019525	31
NC_019526	116
NC_019527	37
NC_019528	28
NC_019529	37
NC_019530	96
NC_019538	123
NC_019539	18
NC_019540	22
NC_019541	25
NC_019542	17
NC_019543	105
NC_019544	36
NC_019545	32
NC_019548	9
NC_019549	15
NC_019550	15
NC_019704	29
NC_019705	23
NC_019706	27
NC_019707	2
NC_019708	22
NC_019709	29
NC_019710	28
NC_019711	33
NC_019713	51
NC_019714	26
NC_019715	23
NC_019716	28
NC_019717	32
NC_019718	28
NC_019719	26
NC_019720	26
NC_019721	28
NC_019722	28
NC_019723	31
NC_019724	32
NC_019725	30
NC_019726	23
NC_019767	30
NC_019768	24
NC_019769	24
NC_019782	18
NC_019813	22
NC_019909	79
NC_019910	118
NC_019911	16
NC_019912	16
NC_019913	59
NC_019914	13
NC_019915	18
NC_019916	25
NC_019917	52
NC_019918	60
NC_019919	60
NC_019920	2
NC_019921	11
NC_019922	1
NC_019923	34
NC_019924	11
NC_019925	113
NC_019926	16
NC_019927	38
NC_019928	7
NC_019929	159
NC_019930	41
NC_019931	7
NC_019932	21
NC_019933	22
NC_019934	26
NC_019935	56
NC_020078	31
NC_020079	64
NC_020080	115
NC_020081	86
NC_020082	33
NC_020083	120
NC_020197	17
NC_020198	32
NC_020199	15
NC_020200	33
NC_020201	91
NC_020202	30
NC_020203	30
NC_020204	28
NC_020205	38
NC_020414	14
NC_020416	81
NC_020477	30
NC_020478	26
NC_020479	25
NC_020480	29
NC_020481	5
NC_020482	3
NC_020483	7
NC_020484	30
NC_020486	84
NC_020488	16
NC_020489	42
NC_020490	16
NC_020835	11
NC_020837	89
NC_020838	22
NC_020839	37
NC_020841	21
NC_020842	22
NC_020843	37
NC_020844	39
NC_020845	48
NC_020846	23
NC_020847	8
NC_020848	35
NC_020849	24
NC_020850	26
NC_020851	66
NC_020853	47
NC_020854	23
NC_020855	50
NC_020856	38
NC_020857	10
NC_020858	36
NC_020859	77
NC_020860	6
NC_020862	42
NC_020863	34
NC_020865	20
NC_020866	37
NC_020867	16
NC_020868	36
NC_020870	10
NC_020871	29
NC_020872	9
NC_020873	72
NC_020874	17
NC_020875	64
NC_020876	48
NC_020877	19
NC_020878	12
NC_020879	111
NC_020880	13
NC_020883	30
NC_021061	36
NC_021062	27
NC_021063	36
NC_021067	38
NC_021068	19
NC_021070	23
NC_021071	67
NC_021072	73
NC_021073	57
NC_021190	36
NC_021297	49
NC_021298	36
NC_021299	72
NC_021300	13
NC_021301	46
NC_021302	37
NC_021304	37
NC_021305	72
NC_021306	66
NC_021307	43
NC_021308	48
NC_021309	69
NC_021310	59
NC_021311	73
NC_021315	45
NC_021316	10
NC_021317	10
NC_021318	45
NC_021323	14
NC_021324	51
NC_021325	5
NC_021326	14
NC_021331	29
NC_021332	15
NC_021334	52
NC_021336	4
NC_021337	6
NC_021338	38
NC_021339	34
NC_021342	37
NC_021343	34
NC_021344	134
NC_021346	142
NC_021347	144
NC_021348	146
NC_021349	141
NC_021529	169
NC_021530	66
NC_021531	147
NC_021532	45
NC_021533	41
NC_021534	28
NC_021535	45
NC_021536	73
NC_021538	44
NC_021539	12
NC_021540	18
NC_021556	41
NC_021557	31
NC_021558	26
NC_021559	48
NC_021560	48
NC_021561	24
NC_021562	3
NC_021563	27
NC_021569	5
NC_021772	33
NC_021773	17
NC_021774	22
NC_021775	29
NC_021776	24
NC_021777	24
NC_021779	48
NC_021780	45
NC_021781	30
NC_021782	29
NC_021783	44
NC_021784	27
NC_021785	28
NC_021787	30
NC_021788	8
NC_021789	11
NC_021790	8
NC_021791	6
NC_021792	12
NC_021793	1
NC_021794	14
NC_021795	8
NC_021796	4
NC_021797	1
NC_021798	6
NC_021799	10
NC_021800	14
NC_021801	19
NC_021802	9
NC_021803	13
NC_021804	2
NC_021805	1
NC_021806	11
NC_021852	12
NC_021853	11
NC_021854	9
NC_021855	8
NC_021856	86
NC_021857	21
NC_021860	11
NC_021861	20
NC_021862	10
NC_021863	13
NC_021864	30
NC_021865	24
NC_021866	6
NC_021867	10
NC_021868	35
NC_022052	65
NC_022053	51
NC_022054	33
NC_022055	53
NC_022056	51
NC_022057	77
NC_022058	46
NC_022059	70
NC_022060	47
NC_022061	60
NC_022062	47
NC_022063	65
NC_022064	65
NC_022065	71
NC_022066	99
NC_022067	101
NC_022068	51
NC_022069	50
NC_022070	48
NC_022071	58
NC_022085	72
NC_022086	41
NC_022087	47
NC_022088	66
NC_022090	19
NC_022091	33
NC_022094	7
NC_022096	210
NC_022323	65
NC_022324	54
NC_022325	74
NC_022328	62
NC_022329	49
NC_022330	72
NC_022331	51
NC_022334	19
NC_022335	23
NC_022336	15
NC_022337	17
NC_022338	22
NC_022339	21
NC_022340	20
NC_022341	21
NC_022342	21
NC_022343	98
NC_022744	22
NC_022746	33
NC_022747	26
NC_022749	21
NC_022750	22
NC_022751	17
NC_022752	22
NC_022753	44
NC_022754	24
NC_022756	20
NC_022757	19
NC_022758	13
NC_022761	53
NC_022762	24
NC_022763	68
NC_022764	21
NC_022765	29
NC_022766	30
NC_022767	29
NC_022768	99
NC_022769	75
NC_022770	21
NC_022771	88
NC_022772	96
NC_022773	31
NC_022774	28
NC_022775	23
NC_022776	14
NC_022790	1
NC_022791	15
NC_022914	15
NC_022915	36
NC_022916	33
NC_022917	38
NC_022918	30
NC_022920	27
NC_022965	43
NC_022966	87
NC_022967	54
NC_022968	85
NC_022969	71
NC_022970	87
NC_022971	24
NC_022972	36
NC_022973	38
NC_022974	83
NC_022975	44
NC_022976	72
NC_022977	45
NC_022979	48
NC_022980	28
NC_022981	75
NC_022982	34
NC_022983	57
NC_022984	38
NC_022985	45
NC_022986	59
NC_022987	30
NC_022988	68
NC_022989	18
NC_023005	27
NC_023006	40
NC_023007	58
NC_023009	22
NC_023498	55
NC_023499	11
NC_023500	17
NC_023501	71
NC_023502	116
NC_023503	25
NC_023548	17
NC_023549	42
NC_023550	4
NC_023551	11
NC_023552	37
NC_023553	46
NC_023554	59
NC_023555	35
NC_023556	52
NC_023557	173
NC_023558	22
NC_023559	21
NC_023560	20
NC_023561	106
NC_023562	48
NC_023563	60
NC_023564	44
NC_023565	50
NC_023566	39
NC_023567	21
NC_023568	169
NC_023569	45
NC_023570	17
NC_023571	23
NC_023572	38
NC_023573	23
NC_023574	49
NC_023575	40
NC_023576	26
NC_023577	51
NC_023578	64
NC_023579	32
NC_023580	51
NC_023581	26
NC_023582	15
NC_023583	23
NC_023584	68
NC_023586	10
NC_023587	75
NC_023588	29
NC_023589	24
NC_023590	28
NC_023593	36
NC_023594	32
NC_023595	14
NC_023597	49
NC_023599	13
NC_023600	65
NC_023601	65
NC_023602	51
NC_023603	67
NC_023604	39
NC_023605	22
NC_023606	51
NC_023607	54
NC_023608	20
NC_023609	42
NC_023610	171
NC_023612	20
NC_023614	16
NC_023686	56
NC_023687	50
NC_023688	171
NC_023689	73
NC_023690	106
NC_023691	46
NC_023692	44
NC_023693	74
NC_023694	68
NC_023695	43
NC_023696	148
NC_023697	36
NC_023698	51
NC_023699	52
NC_023700	28
NC_023701	66
NC_023702	47
NC_023703	58
NC_023704	45
NC_023705	43
NC_023706	62
NC_023707	43
NC_023708	47
NC_023709	42
NC_023710	44
NC_023711	66
NC_023712	73
NC_023713	43
NC_023714	140
NC_023715	19
NC_023716	51
NC_023717	115
NC_023719	115
NC_023720	47
NC_023721	48
NC_023722	46
NC_023723	48
NC_023724	62
NC_023725	145
NC_023726	48
NC_023727	64
NC_023728	50
NC_023729	38
NC_023730	43
NC_023731	46
NC_023732	45
NC_023733	138
NC_023734	20
NC_023735	65
NC_023736	27
NC_023737	142
NC_023738	91
NC_023739	49
NC_023740	59
NC_023741	63
NC_023742	55
NC_023743	28
NC_023744	57
NC_023745	51
NC_023746	50
NC_023747	58
NC_023748	55
NC_023856	94
NC_023859	64
NC_023862	45
NC_023863	29
NC_023865	30
NC_024121	132
NC_024122	96
NC_024123	59
NC_024124	105
NC_024125	82
NC_024134	71
NC_024135	30
NC_024136	51
NC_024137	68
NC_024138	62
NC_024139	43
NC_024140	50
NC_024141	50
NC_024142	27
NC_024143	49
NC_024144	11
NC_024145	66
NC_024146	29
NC_024147	54
NC_024148	47
NC_024149	4
NC_024203	21
NC_024204	19
NC_024205	64
NC_024206	15
NC_024207	69
NC_024208	22
NC_024209	55
NC_024210	21
NC_024211	71
NC_024212	32
NC_024213	84
NC_024214	21
NC_024215	22
NC_024216	73
NC_024217	33
NC_024329	11
NC_024330	30
NC_024354	117
NC_024355	17
NC_024356	13
NC_024357	19
NC_024358	13
NC_024359	33
NC_024360	34
NC_024361	20
NC_024362	27
NC_024363	60
NC_024364	30
NC_024365	48
NC_024366	57
NC_024367	49
NC_024368	43
NC_024369	27
NC_024370	21
NC_024371	61
NC_024375	27
NC_024378	15
NC_024379	22
NC_024380	8
NC_024381	34
NC_024383	31
NC_024384	18
NC_024385	10
NC_024386	15
NC_024387	17
NC_024388	11
NC_024389	12
NC_024390	9
NC_024391	15
NC_024392	30
NC_024711	25
NC_024782	29
NC_024783	38
NC_024784	26
NC_024785	20
NC_024786	29
NC_024787	25
NC_024788	62
NC_024789	25
NC_024790	31
NC_024791	20
NC_024792	91
NC_024793	29
NC_024794	94
NC_025115	33
NC_025414	137
NC_025415	25
NC_025416	25
NC_025417	29
NC_025418	23
NC_025419	80
NC_025420	23
NC_025421	18
NC_025422	113
NC_025423	40
NC_025424	14
NC_025425	113
NC_025426	26
NC_025427	56
NC_025428	56
NC_025429	147
NC_025430	33
NC_025431	36
NC_025433	53
NC_025434	34
NC_025436	23
NC_025437	105
NC_025438	61
NC_025439	22
NC_025440	29
NC_025441	42
NC_025442	44
NC_025443	26
NC_025444	49
NC_025445	23
NC_025446	103
NC_025447	132
NC_025448	86
NC_025449	83
NC_025450	18
NC_025451	23
NC_025452	115
NC_025453	18
NC_025454	9
NC_025455	24
NC_025456	22
NC_025457	12
NC_025458	24
NC_025459	46
NC_025460	11
NC_025461	26
NC_025462	39
NC_025463	18
NC_025464	16
NC_025465	13
NC_025466	21
NC_025467	7
NC_025470	29
NC_025471	25
NC_025822	20
NC_025824	1
NC_025829	77
NC_025830	53
NC_026010	26
NC_026013	3
NC_026014	25
NC_026016	10
NC_026017	22
NC_026582	5
NC_026583	47
NC_026584	102
NC_026585	51
NC_026586	65
NC_026587	77
NC_026588	57
NC_026589	46
NC_026590	65
NC_026591	34
NC_026593	52
NC_026594	51
NC_026595	47
NC_026596	52
NC_026597	51
NC_026598	55
NC_026599	23
NC_026600	61
NC_026601	32
NC_026602	34
NC_026603	57
NC_026604	45
NC_026605	39
NC_026606	66
NC_026607	87
NC_026608	28
NC_026609	27
NC_026610	44
NC_026611	31
NC_026612	2
NC_026613	5
NC_026923	66
NC_026924	65
NC_026926	80
NC_026927	87
NC_026928	72
NC_027118	27
NC_027119	104
NC_027120	28
NC_027125	10
NC_027130	68
NC_027132	73
NC_027204	175
NC_027292	29
NC_027293	35
NC_027294	19
NC_027295	24
NC_027296	50
NC_027297	68
NC_027298	27
NC_027299	38
NC_027329	32
NC_027330	11
NC_027331	108
NC_027332	27
NC_027333	19
NC_027334	46
NC_027335	30
NC_027336	21
NC_027337	33
NC_027339	25
NC_027340	114
NC_027341	45
NC_027342	5
NC_027344	76
NC_027345	47
NC_027346	21
NC_027347	15
NC_027348	62
NC_027349	90
NC_027350	30
NC_027351	86
NC_027352	73
NC_027353	80
NC_027354	21
NC_027355	71
NC_027356	47
NC_027357	25
NC_027358	14
NC_027359	21
NC_027360	33
NC_027361	21
NC_027362	19
NC_027363	3
NC_027364	124
NC_027365	49
NC_027366	83
NC_027367	21
NC_027368	18
NC_027369	35
NC_027370	21
NC_027371	26
NC_027372	18
NC_027373	19
NC_027374	74
NC_027375	32
NC_027376	19
NC_027377	16
NC_027378	38
NC_027379	8
NC_027380	23
NC_027381	14
NC_027382	25
NC_027383	38
NC_027384	28
NC_027385	25
NC_027386	22
NC_027387	23
NC_027388	52
NC_027389	21
NC_027390	8
NC_027391	20
NC_027392	22
NC_027393	26
NC_027394	19
NC_027395	34
NC_027396	17
NC_027397	29
NC_027398	22
NC_027399	121
NC_027400	22
NC_027401	21
NC_027402	131
NC_027403	22
NC_027404	78
NC_027405	22
NC_027620	20
NC_027621	19
NC_027622	22
NC_027623	17
NC_027624	20
NC_027625	20
NC_027626	22
NC_027627	19
NC_027628	20
NC_027629	21
NC_027630	22
NC_027633	3
NC_027634	3
NC_027635	3
NC_027636	3
NC_027637	1
NC_027638	2
NC_027639	3
NC_027640	2
NC_027641	2
NC_027642	2
NC_027643	2
NC_027644	3
NC_027645	3
NC_027646	3
NC_027647	3
NC_027648	3
NC_027979	83
NC_027980	16
NC_027981	29
NC_027982	19
NC_027983	85
NC_027984	27
NC_027985	62
NC_027986	32
NC_027987	15
NC_027988	20
NC_027989	3
NC_027990	33
NC_027991	83
NC_027992	34
NC_027993	23
NC_027994	23
NC_027995	30
NC_027996	19
NC_027997	19
NC_028247	39
NC_028248	71
NC_028448	83
NC_028449	35
NC_028651	7
NC_028652	55
NC_028653	59
NC_028654	50
