ID	CDSs_PHANOTATE
NC_004586	58
NC_004820	111
NC_004821	71
NC_030476	10
NC_042068	7
NC_042069	9
NC_042070	7
NC_001417	5
NC_007461	7
NC_011399	19
NC_012091	7
NC_012092	9
NC_012093	5
NC_042071	6
NC_042072	7
NC_042073	8
NC_007818	11
NC_007819	9
NC_007820	10
NC_007822	9
NC_007823	10
NC_007824	9
NC_007825	7
NC_007827	11
NC_043028	13
NC_043029	17
NC_045425	13
NC_005949	17
NC_047765	17
NC_047800	69
NC_010393	77
NC_010463	51
NC_004584	75
NC_004585	74
NC_004587	80
NC_004588	75
NC_004589	61
NC_004740	83
NC_049947	86
NC_048167	56
NC_027368	59
NC_047883	64
NC_051725	87
NC_051726	71
NC_051731	82
NC_051732	85
NC_051733	82
NC_051734	76
NC_051735	78
NC_051736	79
NC_051737	79
NC_051740	81
NC_041920	282
NC_042307	174
NC_051610	100
NC_041851	58
NC_042135	63
NC_048630	68
NC_051724	115
NC_042115	90
NC_048201	53
NC_029119	196
NC_047856	51
NC_048647	258
NC_051591	99
NC_051672	113
NC_051719	117
NC_051628	106
NC_051613	83
NC_051713	110
NC_051654	110
NC_047797	61
NC_047801	61
NC_051638	107
NC_051709	111
NC_051707	107
NC_047980	59
NC_051673	114
NC_051602	104
NC_051698	111
NC_051604	104
NC_051605	104
NC_051601	104
NC_051627	109
NC_051599	112
NC_051606	101
NC_051607	100
NC_051598	102
NC_051620	110
NC_051711	103
NC_051616	106
NC_042013	908
NC_051614	103
NC_051653	118
NC_051704	110
NC_051717	109
NC_051646	116
NC_051722	118
NC_051696	107
NC_047896	59
NC_051693	109
NC_051660	108
NC_051702	106
NC_051621	99
NC_051595	102
NC_051632	112
NC_051692	122
NC_051611	103
NC_051721	107
NC_051686	102
NC_051634	116
NC_051594	103
NC_051695	109
NC_051612	97
NC_051647	112
NC_051682	110
NC_051636	120
NC_051641	112
NC_051681	113
NC_051674	101
NC_051588	112
NC_051615	105
NC_051643	101
NC_051694	106
NC_051706	113
NC_051640	97
NC_051665	121
NC_051580	114
NC_051597	106
NC_051664	111
NC_051675	104
NC_051680	113
NC_051596	98
NC_051652	121
NC_051663	106
NC_051669	113
NC_051689	102
NC_051703	117
NC_051710	118
NC_051661	123
NC_051587	103
NC_051676	118
NC_051639	107
NC_051593	101
NC_051691	111
NC_051633	111
NC_051583	97
NC_051683	114
NC_051678	108
NC_048135	61
NC_051585	104
NC_051657	112
NC_051626	106
NC_051718	113
NC_051720	108
NC_051589	103
NC_047938	100
NC_051699	116
NC_051701	111
NC_051619	111
NC_051624	109
NC_051625	106
NC_051645	114
NC_051697	95
NC_051714	111
NC_051656	123
NC_051592	93
NC_043767	105
NC_051667	121
NC_051700	111
NC_051679	107
NC_051649	111
NC_051739	92
NC_051618	114
NC_051608	98
NC_051738	86
NC_051629	107
NC_051630	109
NC_051631	105
NC_049456	104
NC_051670	113
NC_051690	105
NC_051582	104
NC_051623	102
NC_051600	102
NC_051659	120
NC_051671	99
NC_051684	114
NC_051685	100
NC_051715	110
NC_051729	80
NC_051635	106
NC_051642	108
NC_051648	111
NC_051651	112
NC_051655	108
NC_051712	123
NC_051584	105
NC_051728	82
NC_051581	111
NC_051586	109
NC_051666	116
NC_049496	233
NC_049497	237
NC_049495	238
NC_051677	100
NC_051637	120
NC_051590	99
NC_051603	107
NC_051727	81
NC_049341	69
NC_049342	69
NC_049343	59
NC_049344	75
NC_051716	104
NC_051650	107
NC_051622	112
NC_051617	113
NC_051730	80
NC_051723	106
NC_051609	105
NC_051662	114
NC_051668	109
NC_051687	112
NC_051688	113
NC_051705	111
NC_051708	108
NC_051644	118
NC_051658	113
NC_001421	32
NC_000867	22
NC_005856	136
NC_001895	49
NC_041848	56
NC_001609	22
NC_050152	149
NC_043027	364
NC_011421	246
NC_019457	72
NC_001697	50
NC_005345	85
NC_011103	125
NC_042564	38
NC_005178	63
NC_001416	88
NC_021190	81
NC_004167	69
NC_048631	65
NC_001978	61
NC_004166	90
NC_005859	217
NC_000924	104
NC_019414	89
NC_002166	83
NC_001825	38
NC_042114	34
NC_008720	83
NC_049976	29
NC_002371	79
NC_011048	32
NC_001423	33
NC_003298	54
NC_047864	54
NC_001604	61
NC_005344	78
NC_004165	28
NC_007581	289
NC_002649	39
NC_009554	71
NC_004615	78
NC_005822	60
NC_005294	82
NC_005340	53
NC_000896	79
NC_009799	68
NC_001900	94
NC_025419	283
NC_002484	105
NC_001706	43
NC_002796	63
NC_001335	109
NC_002703	66
NC_003278	55
NC_028700	73
NC_002747	61
NC_027979	284
NC_001629	44
NC_019456	96
NC_002167	78
NC_022757	63
NC_049346	54
NC_003216	75
NC_009810	70
NC_009811	232
NC_001901	72
NC_004302	58
NC_008515	278
NC_023744	104
NC_011534	56
NC_003085	91
NC_005066	287
NC_004112	77
NC_004305	71
NC_009526	75
NC_007021	216
NC_007047	71
NC_003444	61
NC_018856	297
NC_015274	84
NC_007050	74
NC_001909	68
NC_000872	59
NC_021857	75
NC_027983	282
NC_001884	247
NC_000935	54
NC_025448	280
NC_003313	55
NC_002321	75
NC_000871	52
NC_020197	69
NC_005083	422
NC_005282	145
NC_002214	61
NC_004303	68
NC_003387	96
NC_002072	59
NC_000902	106
NC_011222	74
NC_006949	91
NC_003356	77
NC_003288	71
NC_001271	56
NC_002185	52
NC_004066	68
NC_005135	277
NC_007023	320
NC_021529	443
NC_003050	56
NC_002486	82
NC_002661	75
NC_002519	71
NC_048892	103
NC_005355	62
NC_010179	71
NC_005354	65
NC_007501	57
NC_002656	97
NC_004735	172
NC_003390	70
NC_002670	36
NC_002666	71
NC_002667	68
NC_002668	72
NC_002669	41
NC_002671	37
NC_006548	60
NC_002730	72
NC_003315	47
NC_004996	62
NC_004629	412
NC_003291	73
NC_005069	78
NC_004348	78
NC_003157	83
NC_004313	72
NC_003324	85
NC_003309	87
NC_004616	72
NC_004617	83
NC_008152	60
NC_004466	81
NC_003524	56
NC_005357	53
NC_003907	82
NC_004913	108
NC_004914	114
NC_004831	60
NC_004813	107
NC_004665	46
NC_010821	510
NC_004678	24
NC_004679	23
NC_005045	62
NC_004680	121
NC_004681	160
NC_004682	100
NC_004683	99
NC_004684	105
NC_004685	131
NC_004686	116
NC_004687	252
NC_004688	257
NC_004689	119
NC_004456	85
NC_021856	311
NC_004333	73
NC_005259	105
NC_008370	69
NC_049349	67
NC_008371	60
NC_049348	68
NC_049347	65
NC_004775	54
NC_007053	68
NC_005841	78
NC_005880	276
NC_004664	66
NC_005260	370
NC_004777	57
NC_004745	47
NC_004827	72
NC_004814	29
NC_004902	75
NC_008208	263
NC_006936	63
NC_005258	32
NC_006820	276
NC_005262	80
NC_005091	80
NC_005263	78
NC_009540	97
NC_042024	60
NC_049809	63
NC_049943	113
NC_005284	91
NC_005857	70
NC_005356	74
NC_009877	97
NC_009878	97
NC_015251	472
NC_005879	54
NC_005342	74
NC_005891	54
NC_009016	69
NC_009231	111
NC_005882	55
NC_006883	360
NC_006884	238
NC_006882	67
NC_005884	60
NC_007623	238
NC_015250	268
NC_005887	59
NC_005893	72
NC_005885	80
NC_006938	95
NC_005886	77
NC_006552	95
NC_028900	56
NC_007066	247
NC_006940	77
NC_006557	65
NC_006356	76
NC_022989	61
NC_006565	215
NC_007019	50
NC_006945	33
NC_029080	253
NC_006953	72
NC_007451	31
NC_016434	100
NC_007917	128
NC_007045	36
NC_007046	25
NC_007048	76
NC_007049	76
NC_007051	63
NC_007052	78
NC_007054	70
NC_007055	70
NC_007056	82
NC_007057	79
NC_007058	77
NC_007059	71
NC_007060	73
NC_007061	76
NC_007062	66
NC_007063	71
NC_007064	68
NC_007065	75
NC_007022	278
NC_007024	93
NC_008798	71
NC_008799	73
NC_007709	72
NC_014467	281
NC_011802	82
NC_007149	61
NC_007610	214
NC_009812	77
NC_009813	84
NC_009814	65
NC_009815	71
NC_016163	392
NC_007710	81
NC_007145	58
NC_013055	58
NC_009643	24
NC_011551	59
NC_008562	220
NC_008193	56
NC_007804	62
NC_007456	54
NC_007636	54
NC_007637	72
NC_007814	62
NC_007805	65
NC_007806	62
NC_007807	57
NC_007808	82
NC_007809	88
NC_007810	106
NC_042060	389
NC_007458	63
NC_011976	80
NC_007497	82
NC_004746	51
NC_007603	86
NC_007734	67
NC_008689	75
NC_007924	73
NC_008376	63
NC_008694	54
NC_007967	64
NC_012884	45
NC_007902	99
NC_008194	155
NC_008207	246
NC_008203	102
NC_008195	106
NC_008202	63
NC_008197	105
NC_008198	98
NC_008200	99
NC_008205	110
NC_008199	108
NC_008204	102
NC_008206	165
NC_018853	59
NC_009541	54
NC_008201	62
NC_008464	102
NC_010147	76
NC_020878	80
NC_020874	69
NC_008296	231
NC_008364	54
NC_009816	119
NC_009935	70
NC_009936	68
NC_008583	79
NC_028913	74
NC_008617	87
NC_028864	75
NC_009817	136
NC_008717	60
NC_009542	53
NC_009737	64
NC_008265	62
NC_009818	52
NC_008722	75
NC_011041	266
NC_008723	81
NC_008367	62
NC_009819	62
NC_030652	67
NC_009382	62
NC_008584	195
NC_008721	65
NC_009514	74
NC_009015	131
NC_009014	66
NC_009018	72
NC_010495	90
NC_009232	70
NC_022754	73
NC_022752	80
NC_011344	70
NC_009235	85
NC_009236	57
NC_009234	53
NC_009237	57
NC_019768	78
NC_019769	68
NC_019767	78
NC_022751	51
NC_009447	79
NC_009531	72
NC_027982	54
NC_009820	123
NC_009551	54
NC_009904	243
NC_015282	246
NC_015279	273
NC_015288	239
NC_015283	248
NC_016657	67
NC_016656	70
NC_015285	241
NC_009761	67
NC_009762	76
NC_009763	90
NC_015281	238
NC_015286	230
NC_015289	232
NC_015287	332
NC_015290	242
NC_016659	77
NC_016658	78
NC_015284	253
NC_015280	248
NC_009603	82
NC_009604	77
NC_009552	70
NC_009821	285
NC_010106	99
NC_027119	232
NC_009760	282
NC_010353	52
NC_029031	77
NC_010116	85
NC_009803	119
NC_009804	118
NC_010355	127
NC_009990	50
NC_009543	70
NC_009875	22
NC_010576	88
NC_011105	64
NC_009993	87
NC_042057	73
NC_019455	61
NC_010325	80
NC_010326	67
NC_010808	79
NC_010237	117
NC_010324	149
NC_012697	96
NC_012696	90
NC_010583	228
NC_010275	57
NC_011046	65
NC_011107	65
NC_011104	67
NC_010363	32
NC_011373	89
NC_015454	52
NC_015453	50
NC_011613	55
NC_011611	55
NC_019449	55
NC_011523	34
NC_047728	270
NC_011085	55
NC_010807	56
NC_011040	53
NC_011042	56
NC_011045	57
NC_011043	55
NC_011038	54
NC_021071	234
NC_021559	257
NC_020875	254
NC_021072	244
NC_010945	71
NC_011810	105
NC_012742	80
NC_011022	101
NC_011020	105
NC_011019	99
NC_011021	103
NC_011023	103
NC_011318	73
NC_011044	106
NC_011039	116
NC_011054	116
NC_011056	158
NC_011055	160
NC_011271	252
NC_011273	266
NC_011272	245
NC_011269	249
NC_011270	250
NC_020883	104
NC_011165	104
NC_011166	106
NC_011201	63
NC_011142	94
NC_011167	114
NC_013085	255
NC_011267	95
NC_011216	52
NC_011811	133
NC_011398	83
NC_011308	69
NC_011291	77
NC_011290	97
NC_011285	95
NC_015466	113
NC_011288	128
NC_011292	108
NC_011287	109
NC_011289	113
NC_011357	127
NC_011356	107
NC_011645	74
NC_021068	85
NC_029067	310
NC_021067	310
NC_021073	191
NC_021070	56
NC_011589	57
NC_011614	72
NC_011612	72
NC_012740	286
NC_012749	148
NC_011801	69
NC_011703	100
NC_015272	175
NC_011756	101
NC_024137	254
NC_013059	76
NC_012027	105
NC_020872	66
NC_012223	69
NC_012419	28
NC_012418	65
NC_027981	73
NC_012530	244
NC_013645	55
NC_013693	240
NC_012663	99
NC_012662	60
NC_012756	60
NC_012743	81
NC_013651	55
NC_014595	310
NC_012753	65
NC_012784	91
NC_013691	120
NC_013692	102
NC_013021	154
NC_022094	31
NC_013696	71
NC_028689	102
NC_042027	154
NC_027985	104
NC_013697	252
NC_013594	62
NC_013155	61
NC_013152	61
NC_013153	57
NC_013154	57
NC_013195	73
NC_015249	55
NC_027995	65
NC_013599	52
NC_013600	68
NC_019496	73
NC_013646	74
NC_013643	74
NC_013648	78
NC_013644	60
NC_013649	65
NC_013647	55
NC_013598	54
NC_013597	80
NC_013936	105
NC_019913	194
NC_013698	102
NC_031242	242
NC_028675	63
NC_023722	90
NC_023694	118
NC_023735	120
NC_023706	120
NC_013638	61
NC_027991	254
NC_014260	298
NC_027993	79
NC_027994	76
NC_041897	79
NC_041898	76
NC_015937	193
NC_016567	124
NC_029024	130
NC_023748	111
NC_014036	285
NC_014662	291
NC_025444	107
NC_014900	77
NC_027997	232
NC_027996	235
NC_027120	49
NC_048031	38
NC_048032	34
NC_048033	32
NC_048030	17
NC_048034	49
NC_015294	198
NC_027987	57
NC_014229	59
NC_019544	100
NC_017674	99
NC_015463	129
NC_015465	54
NC_020837	262
NC_021530	234
NC_021536	247
NC_020838	68
NC_020867	85
NC_020851	349
NC_020856	86
NC_020853	87
NC_020858	86
NC_020862	95
NC_020841	78
NC_020846	92
NC_042037	90
NC_021534	90
NC_020849	122
NC_021558	81
NC_020839	60
NC_020866	62
NC_020863	257
NC_025464	72
NC_048183	62
NC_020844	72
NC_020868	129
NC_020848	129
NC_020850	65
NC_020843	252
NC_027990	102
NC_016766	120
NC_025461	72
NC_048184	74
NC_025455	71
NC_047733	238
NC_020860	63
NC_020842	136
NC_019450	193
NC_019448	243
NC_014661	260
NC_014663	266
NC_014660	264
NC_019935	94
NC_015252	61
NC_015254	70
NC_016563	301
NC_018088	178
NC_015270	38
NC_015253	211
NC_015262	73
NC_027984	94
NC_015271	60
NC_020859	230
NC_020486	238
NC_014457	95
NC_014460	73
NC_019921	81
NC_048624	81
NC_031019	73
NC_015293	56
NC_014635	300
NC_014636	367
NC_019454	66
NC_015263	188
NC_020835	64
NC_016071	280
NC_042028	94
NC_020865	66
NC_020854	73
NC_020857	76
NC_020847	73
NC_020845	253
NC_016160	67
NC_016158	97
NC_027125	86
NC_016164	49
NC_015265	58
NC_015266	57
NC_015273	52
NC_023736	62
NC_019926	66
NC_015295	94
NC_015292	139
NC_048629	27
NC_023688	370
NC_049345	101
NC_019452	235
NC_042058	97
NC_023715	53
NC_019488	53
NC_020855	241
NC_021560	76
NC_021557	59
NC_021561	75
NC_015464	184
NC_028656	103
NC_019490	95
NC_023700	52
NC_014901	124
NC_019487	270
NC_019549	54
NC_019550	62
NC_019485	80
NC_015264	62
NC_015585	67
NC_042029	69
NC_047853	243
NC_047854	38
NC_019932	52
NC_019486	69
NC_019489	74
NC_021864	94
NC_023693	279
NC_017732	57
NC_015269	216
NC_015157	276
NC_015158	85
NC_015159	58
NC_020414	64
NC_015720	71
NC_015210	89
NC_019930	85
NC_022970	175
NC_019934	60
NC_019927	92
NC_015208	58
NC_042112	191
NC_016564	171
NC_028999	464
NC_015456	92
NC_015457	281
NC_029057	270
NC_021783	84
NC_027989	85
NC_041831	34
NC_041832	24
NC_041833	69
NC_041834	36
NC_023009	217
NC_021347	228
NC_016565	22
NC_015569	336
NC_047720	244
NC_019929	291
NC_015568	70
NC_042327	101
NC_042328	95
NC_041844	247
NC_041983	92
NC_041845	83
NC_042316	259
NC_041846	161
NC_042317	120
NC_042318	117
NC_042319	116
NC_042320	108
NC_042326	99
NC_042321	95
NC_042322	249
NC_042323	117
NC_042324	93
NC_042325	107
NC_041971	180
NC_041987	161
NC_041985	98
NC_028986	236
NC_042308	94
NC_042034	107
NC_042312	97
NC_042309	114
NC_042310	101
NC_042313	148
NC_042032	128
NC_042311	98
NC_042314	108
NC_028942	104
NC_042036	87
NC_042315	108
NC_042033	115
NC_028801	104
NC_042030	126
NC_042035	107
NC_042031	105
NC_028906	154
NC_015721	46
NC_042329	98
NC_041847	116
NC_041989	112
NC_041988	108
NC_042330	113
NC_015719	59
NC_022920	239
NC_022918	217
NC_042331	101
NC_019506	74
NC_019508	73
NC_048015	248
NC_023743	86
NC_018087	272
NC_023704	92
NC_023726	107
NC_042332	101
NC_018285	67
NC_019510	55
NC_041978	132
NC_019514	121
NC_019504	114
NC_019500	284
NC_023711	107
NC_041993	245
NC_023738	231
NC_015933	98
NC_019505	283
NC_019503	280
NC_015938	180
NC_023729	71
NC_023724	105
NC_023709	92
NC_016568	30
NC_023689	157
NC_023734	51
NC_042333	97
NC_023731	104
NC_023707	105
NC_023746	112
NC_023710	98
NC_041960	123
NC_019509	88
NC_023721	105
NC_023696	258
NC_041850	157
NC_023714	243
NC_023691	119
NC_023692	84
NC_047867	54
NC_023720	98
NC_022087	112
NC_041969	77
NC_027118	51
NC_023730	74
NC_023737	254
NC_019444	243
NC_019443	280
NC_016073	234
NC_023719	811
NC_023708	104
NC_023732	132
NC_023695	96
NC_020416	282
NC_041970	167
NC_023733	250
NC_023725	258
NC_023727	106
NC_023742	105
NC_023716	107
NC_041965	104
NC_023697	82
NC_023739	96
NC_023713	116
NC_023687	111
NC_023690	257
NC_023728	117
NC_023703	99
NC_023686	103
NC_042334	104
NC_028907	105
NC_023702	99
NC_023745	99
NC_023699	116
NC_023712	136
NC_023740	103
NC_023741	103
NC_019501	74
NC_027402	297
NC_019925	222
NC_027298	56
NC_043469	89
NC_042336	107
NC_027365	95
NC_042335	110
NC_016764	52
NC_016166	119
NC_016770	81
NC_016165	64
NC_019530	237
NC_016435	103
NC_016569	74
NC_016655	84
NC_016652	88
NC_016654	68
NC_016653	78
NC_016650	77
NC_016651	24
NC_016566	66
NC_016562	194
NC_025443	98
NC_017971	82
NC_016763	82
NC_020201	290
NC_018277	78
NC_048628	78
NC_019502	93
NC_019445	81
NC_019442	101
NC_016571	331
NC_016761	59
NC_018264	65
NC_047736	309
NC_018860	263
NC_047735	262
NC_017985	74
NC_019527	90
NC_019525	83
NC_019522	75
NC_019518	73
NC_019523	24
NC_016762	74
NC_016765	102
NC_020080	284
NC_029099	87
NC_027355	261
NC_017981	93
NC_016767	73
NC_020489	67
NC_019517	258
NC_018278	58
NC_018283	89
NC_019446	68
NC_019447	69
NC_019515	174
NC_018452	82
NC_018857	311
NC_019516	196
NC_019528	61
NC_018863	310
NC_019417	81
NC_019400	298
NC_019401	629
NC_019402	130
NC_019398	283
NC_019403	66
NC_019404	82
NC_019399	293
NC_019520	60
NC_017865	63
NC_017864	60
NC_020490	78
NC_019915	71
NC_019914	61
NC_019526	623
NC_019924	91
NC_027980	70
NC_019545	86
NC_041986	122
NC_019724	65
NC_019710	82
NC_019717	76
NC_019714	74
NC_019723	88
NC_019719	81
NC_019711	87
NC_019706	80
NC_019708	70
NC_019704	75
NC_019716	70
NC_019709	79
NC_019705	75
NC_019718	81
NC_019720	82
NC_019715	74
NC_019721	66
NC_049942	105
NC_018846	96
NC_019529	187
NC_019524	92
NC_019521	301
NC_025822	58
NC_019512	41
NC_019451	102
NC_017976	61
NC_018274	57
NC_018270	64
NC_017972	397
NC_041910	123
NC_018273	45
NC_019519	139
NC_041982	92
NC_041984	97
NC_019540	80
NC_025467	26
NC_023717	340
NC_017974	312
NC_017980	34
NC_018083	33
NC_018084	33
NC_019539	68
NC_017688	69
NC_017695	70
NC_017702	70
NC_017698	67
NC_017696	69
NC_020199	74
NC_018454	69
NC_020488	42
NC_018271	67
NC_018272	69
NC_018275	82
NC_018279	92
NC_023588	58
NC_023698	113
NC_023723	104
NC_019513	74
NC_017968	73
NC_020871	212
NC_018086	106
NC_017975	190
NC_042066	96
NC_021539	79
NC_024375	133
NC_021787	128
NC_021785	127
NC_021775	76
NC_042065	72
NC_021779	84
NC_021780	82
NC_042062	79
NC_042063	26
NC_042064	4
NC_021772	110
NC_021782	111
NC_024359	212
NC_047745	220
NC_021781	219
NC_021774	51
NC_017973	105
NC_041953	83
NC_028770	95
NC_028931	82
NC_028879	57
NC_028809	83
NC_018276	69
NC_018269	61
NC_047939	57
NC_047940	61
NC_018843	171
NC_017983	71
NC_017984	106
NC_017978	55
NC_019933	73
NC_020205	58
NC_019507	326
NC_025418	61
NC_018085	75
NC_041852	102
NC_021326	82
NC_042338	105
NC_021332	75
NC_020873	260
NC_019917	82
NC_042337	111
NC_047722	270
NC_047723	252
NC_047725	268
NC_047726	273
NC_047727	269
NC_047724	274
NC_021531	264
NC_021863	74
NC_027360	149
NC_018280	60
NC_018281	81
NC_018284	68
NC_019543	261
NC_020879	269
NC_030933	225
NC_019931	36
NC_025433	121
NC_019538	450
NC_018282	87
NC_025441	111
NC_025449	286
NC_025446	234
NC_018836	92
NC_018848	58
NC_019910	240
NC_027351	280
NC_042061	230
NC_027344	274
NC_020081	256
NC_019421	87
NC_019422	61
NC_019405	372
NC_021062	53
NC_018837	244
NC_025465	76
NC_041992	76
NC_041907	101
NC_019511	232
NC_019782	67
NC_047951	58
NC_019919	225
NC_019909	294
NC_019911	63
NC_027353	287
NC_019928	35
NC_021868	116
NC_041849	92
NC_041991	73
NC_029000	274
NC_042339	94
NC_042340	93
NC_041853	88
NC_041854	62
NC_019406	509
NC_019410	384
NC_019407	382
NC_019408	381
NC_019411	377
NC_019725	103
NC_019542	65
NC_047738	59
NC_047868	72
NC_041908	90
NC_027296	92
NC_047869	59
NC_047870	70
NC_034248	191
NC_019541	75
NC_025425	285
NC_020203	58
NC_020198	57
NC_020202	60
NC_020200	55
NC_027339	72
NC_022091	64
NC_027986	59
NC_027992	59
NC_019916	68
NC_047739	160
NC_018831	137
NC_041855	112
NC_042341	92
NC_049924	107
NC_049923	94
NC_049941	99
NC_049945	115
NC_049944	109
NC_021861	58
NC_018861	185
NC_020079	299
NC_019722	72
NC_019713	123
NC_027369	160
NC_028995	92
NC_018839	58
NC_018841	55
NC_018845	49
NC_018849	53
NC_018852	57
NC_018840	51
NC_018842	53
NC_018847	55
NC_018851	52
NC_019918	197
NC_021776	62
NC_019813	77
NC_018832	80
NC_022336	52
NC_022339	54
NC_022338	48
NC_022335	55
NC_022337	58
NC_022342	56
NC_022334	53
NC_022341	56
NC_022340	53
NC_022090	226
NC_020877	217
NC_018850	86
NC_019923	66
NC_021316	65
NC_020204	80
NC_019912	70
NC_018835	160
NC_018855	285
NC_019418	61
NC_019416	54
NC_019726	247
NC_019423	104
NC_047721	255
NC_041856	93
NC_041857	92
NC_019420	52
NC_020876	106
NC_019419	68
NC_041906	94
NC_025417	251
NC_020083	228
NC_022746	64
NC_024390	46
NC_020870	47
NC_024385	49
NC_024386	50
NC_024388	52
NC_024380	44
NC_024378	51
NC_020880	44
NC_024389	54
NC_021533	86
NC_021853	71
NC_021860	65
NC_021854	63
NC_021852	62
NC_021855	68
NC_023568	416
NC_042136	229
NC_020082	81
NC_020078	56
NC_022791	58
NC_047740	77
NC_042342	86
NC_042343	75
NC_025456	72
NC_021773	81
NC_021337	32
NC_027364	657
NC_020478	92
NC_020479	93
NC_020477	92
NC_020480	99
NC_041858	93
NC_021323	72
NC_023501	312
NC_047715	233
NC_047716	237
NC_047717	235
NC_031235	256
NC_047734	249
NC_023006	70
NC_023005	63
NC_021343	49
NC_021563	77
NC_021540	139
NC_049350	139
NC_020484	216
NC_020481	80
NC_020482	55
NC_020483	67
NC_042133	275
NC_049351	57
NC_047741	59
NC_021061	65
NC_028674	99
NC_028982	242
NC_028983	244
NC_041976	112
NC_029104	112
NC_029029	103
NC_022980	99
NC_021532	154
NC_021325	56
NC_021063	76
NC_021344	282
NC_023007	310
NC_023499	79
NC_023500	79
NC_041934	88
NC_021336	56
NC_021300	64
NC_047855	21
NC_021342	78
NC_021867	79
NC_021299	173
NC_021317	31
NC_021334	107
NC_023614	60
NC_021298	86
NC_021304	88
NC_021339	84
NC_021349	244
NC_021306	163
NC_021302	78
NC_021310	104
NC_021308	89
NC_021538	106
NC_021535	98
NC_021297	95
NC_021309	156
NC_021307	89
NC_021301	110
NC_024354	314
NC_028773	289
NC_021346	250
NC_021311	158
NC_021348	257
NC_021305	161
NC_021338	80
NC_021318	96
NC_021556	60
NC_022323	256
NC_022966	172
NC_022974	173
NC_022986	197
NC_021799	118
NC_021789	139
NC_021798	208
NC_021800	59
NC_021791	65
NC_021796	105
NC_021795	68
NC_021802	113
NC_021790	67
NC_021794	131
NC_021792	130
NC_021806	136
NC_021804	48
NC_021788	212
NC_021803	133
NC_048026	73
NC_022096	358
NC_021865	86
NC_021777	77
NC_022055	119
NC_022066	258
NC_029044	248
NC_022067	257
NC_029023	153
NC_041928	238
NC_023587	251
NC_023584	235
