ID	CDSs_MGA
NC_003390	61
NC_002670	22
NC_002666	64
NC_002667	60
NC_002668	56
NC_002669	26
NC_002671	25
NC_006548	50
NC_002730	51
NC_003315	41
NC_004996	57
NC_004629	364
NC_003291	60
NC_005069	57
NC_004348	63
NC_003157	66
NC_004313	56
NC_003324	67
NC_003309	70
NC_004616	65
NC_004617	68
NC_008152	50
NC_004466	71
NC_003524	50
NC_005357	49
NC_003907	73
NC_004913	79
NC_004914	81
NC_004831	49
NC_004813	76
NC_004665	41
NC_010821	464
NC_004678	19
NC_004679	20
NC_005045	52
NC_004680	102
NC_004681	136
NC_004682	81
NC_004683	82
NC_004684	86
NC_004685	119
NC_004686	99
NC_004687	229
NC_004688	212
NC_004689	106
NC_004456	62
NC_021856	252
NC_004333	65
NC_005259	97
NC_008370	56
NC_049349	57
NC_008371	51
NC_049348	59
NC_049347	54
NC_004775	45
NC_007053	63
NC_005841	61
NC_005880	235
NC_004664	55
NC_005260	340
NC_004777	43
NC_004745	38
NC_004827	63
NC_004814	24
NC_004902	66
NC_008208	225
NC_006936	52
NC_005258	24
NC_006820	244
NC_005262	73
NC_005091	71
NC_005263	70
NC_009540	82
NC_042024	50
NC_049809	52
NC_049943	75
NC_005284	77
NC_005857	54
NC_005356	68
NC_009877	84
NC_009878	86
NC_015251	417
NC_005879	48
NC_005342	63
NC_005891	47
NC_009016	54
NC_009231	95
NC_005882	51
NC_006883	324
NC_006884	213
NC_006882	58
NC_005884	51
NC_007623	207
NC_015250	250
NC_005887	50
NC_005893	57
NC_005885	76
NC_006938	88
NC_005886	65
NC_006552	69
NC_028900	51
NC_007066	205
NC_006940	58
NC_006557	56
NC_006356	65
NC_022989	46
NC_006565	168
NC_007019	42
NC_006945	24
NC_029080	216
NC_006953	57
NC_007451	22
NC_016434	87
NC_007917	98
NC_007045	24
NC_007046	21
NC_007048	68
NC_007049	67
NC_007051	55
NC_007052	67
NC_007054	62
NC_007055	68
NC_007056	66
NC_007057	71
NC_007058	67
NC_007059	66
NC_007060	63
NC_007061	64
NC_007062	59
NC_007063	64
NC_007064	63
NC_007065	64
NC_007022	246
NC_007024	77
NC_008798	68
NC_008799	67
NC_007709	60
NC_014467	269
NC_011802	62
NC_007149	49
NC_007610	179
NC_009812	63
NC_009813	76
NC_009814	55
NC_009815	59
NC_016163	352
NC_007710	73
NC_007145	50
NC_013055	45
NC_009643	20
NC_011551	42
NC_008562	179
NC_008193	44
NC_007804	48
NC_007456	47
NC_007636	48
NC_007637	56
NC_007814	53
NC_007805	62
NC_007806	54
NC_007807	50
NC_007808	70
NC_007809	82
NC_007810	91
NC_042060	341
NC_007458	53
NC_011976	61
NC_007497	70
NC_004746	48
NC_007603	71
NC_007734	58
NC_008689	67
NC_007924	60
NC_008376	53
NC_008694	43
NC_007967	56
NC_012884	40
NC_007902	64
NC_008194	133
NC_008207	218
NC_008203	93
NC_008195	97
NC_008202	59
NC_008197	96
NC_008198	82
NC_008200	84
NC_008205	94
NC_008199	97
NC_008204	87
NC_008206	138
NC_018853	51
NC_009541	43
NC_008201	49
NC_008464	78
NC_010147	69
NC_020878	58
NC_020874	56
NC_008296	207
NC_008364	48
NC_009816	86
NC_009935	52
NC_009936	56
NC_008583	65
NC_028913	66
NC_008617	66
NC_028864	68
NC_009817	121
NC_008717	52
NC_009542	43
NC_009737	50
NC_008265	57
NC_009818	50
NC_008722	68
NC_011041	208
NC_008723	71
NC_008367	50
NC_009819	52
NC_030652	61
NC_009382	53
NC_008584	169
NC_008721	55
NC_009514	55
NC_009015	119
NC_009014	53
NC_009018	61
NC_010495	67
NC_009232	60
NC_022754	64
NC_022752	65
NC_011344	65
NC_009235	63
NC_009236	46
NC_009234	46
NC_009237	53
NC_019768	59
NC_019769	53
NC_019767	56
NC_022751	40
NC_009447	73
NC_009531	61
NC_027982	49
NC_009820	100
NC_009551	43
NC_009904	212
NC_015282	221
NC_015279	244
NC_015288	218
NC_015283	220
NC_016657	52
NC_016656	54
NC_015285	213
NC_009761	59
NC_009762	69
NC_009763	75
NC_015281	205
NC_015286	206
NC_015289	210
NC_015287	302
NC_015290	213
NC_016659	63
NC_016658	68
NC_015284	222
NC_015280	222
NC_009603	73
NC_009604	68
NC_009552	60
NC_009821	267
NC_010106	73
NC_027119	201
NC_009760	243
NC_010353	43
NC_029031	68
NC_010116	77
NC_009803	111
NC_009804	110
NC_010355	115
NC_009990	42
NC_009543	66
NC_009875	21
NC_010576	76
NC_011105	52
NC_009993	80
NC_042057	51
NC_019455	53
NC_010325	67
NC_010326	53
NC_010808	70
NC_010237	82
NC_010324	123
NC_012697	76
NC_012696	71
NC_010583	182
NC_010275	43
NC_011046	54
NC_011107	49
NC_011104	55
NC_010363	24
NC_011373	80
NC_015454	41
NC_015453	44
NC_011613	52
NC_011611	49
NC_019449	48
NC_011523	26
NC_047728	228
NC_011085	48
NC_010807	43
NC_011040	43
NC_011042	47
NC_011045	44
NC_011043	45
NC_011038	42
NC_021071	215
NC_021559	225
NC_020875	228
NC_021072	216
NC_010945	60
NC_011810	88
NC_012742	62
NC_011022	85
NC_011020	85
NC_011019	84
NC_011021	87
NC_011023	86
NC_011318	65
NC_011044	95
NC_011039	89
NC_011054	102
NC_011056	138
NC_011055	140
NC_011271	220
NC_011273	238
NC_011272	217
NC_011269	218
NC_011270	220
NC_020883	85
NC_011165	84
NC_011166	92
NC_011201	54
NC_011142	79
NC_011167	83
NC_013085	233
NC_011267	80
NC_011216	48
NC_011811	116
NC_011398	72
NC_011308	56
NC_011291	69
NC_011290	84
NC_011285	85
NC_015466	97
NC_011288	101
NC_011292	91
NC_011287	87
NC_011289	93
NC_011357	82
NC_011356	73
NC_011645	59
NC_021068	73
NC_029067	254
NC_021067	264
NC_021073	154
NC_021070	50
NC_011589	50
NC_011614	64
NC_011612	64
NC_012740	272
NC_012749	132
NC_011801	56
NC_011703	89
NC_015272	159
NC_011756	90
NC_024137	224
NC_013059	53
NC_012027	98
NC_020872	52
NC_012223	59
NC_012419	23
NC_012418	52
NC_027981	61
NC_012530	203
NC_013645	47
NC_013693	207
NC_012663	84
NC_012662	48
NC_012756	52
NC_012743	76
NC_013651	49
NC_014595	282
NC_012753	55
NC_012784	83
NC_013691	108
NC_013692	95
NC_013021	126
NC_022094	23
NC_013696	62
NC_028689	95
NC_042027	136
NC_027985	97
NC_013697	234
NC_013594	53
NC_013155	53
NC_013152	47
NC_013153	47
NC_013154	49
NC_013195	66
NC_015249	43
NC_027995	56
NC_013599	42
NC_013600	56
NC_019496	64
NC_013646	60
NC_013643	59
NC_013648	65
NC_013644	54
NC_013649	55
NC_013647	47
NC_013598	43
NC_013597	63
NC_013936	86
NC_019913	168
NC_013698	85
NC_031242	214
NC_028675	48
NC_023722	80
NC_023694	104
NC_023735	104
NC_023706	102
NC_013638	53
NC_027991	215
NC_014260	273
NC_027993	67
NC_027994	64
NC_041897	68
NC_041898	67
NC_015937	163
NC_016567	119
NC_029024	92
NC_023748	97
NC_014036	271
NC_014662	271
NC_025444	89
NC_014900	59
NC_027997	198
NC_027996	206
NC_027120	42
NC_048031	34
NC_048032	23
NC_048033	25
NC_048030	15
NC_048034	36
NC_015294	169
NC_027987	48
NC_014229	45
NC_019544	88
NC_017674	92
NC_015463	111
NC_015465	47
NC_020837	233
NC_021530	205
NC_021536	214
NC_020838	59
NC_020867	69
NC_020851	305
NC_020856	77
NC_020853	76
NC_020858	75
NC_020862	75
NC_020841	69
NC_020846	73
NC_042037	78
NC_021534	78
NC_020849	105
NC_021558	71
NC_020839	55
NC_020866	54
NC_020863	219
NC_025464	62
NC_048183	55
NC_020844	63
NC_020868	116
NC_020848	117
NC_020850	57
NC_020843	208
NC_027990	83
NC_016766	106
NC_025461	58
NC_048184	59
NC_025455	57
NC_047733	209
NC_020860	60
NC_020842	105
NC_019450	169
NC_019448	213
NC_014661	235
NC_014663	248
NC_014660	255
NC_019935	84
NC_015252	55
NC_015254	63
NC_016563	276
NC_018088	147
NC_015270	34
NC_015253	162
NC_015262	61
NC_027984	64
NC_015271	45
NC_020859	208
NC_020486	209
NC_014457	84
NC_014460	64
NC_019921	75
NC_048624	75
NC_031019	59
NC_015293	51
NC_014635	256
NC_014636	340
NC_019454	54
NC_015263	144
NC_020835	53
NC_016071	231
NC_042028	84
NC_020865	57
NC_020854	59
NC_020857	63
NC_020847	62
NC_020845	225
NC_016160	52
NC_016158	79
NC_027125	72
NC_016164	47
NC_015265	48
NC_015266	48
NC_015273	40
NC_023736	54
NC_019926	53
NC_015295	80
NC_015292	116
NC_048629	19
NC_023688	332
NC_049345	82
NC_019452	198
NC_042058	77
NC_023715	42
NC_019488	41
NC_020855	215
NC_021560	72
NC_021557	50
NC_021561	58
NC_015464	171
NC_028656	80
NC_019490	78
NC_023700	51
NC_014901	97
NC_019487	238
NC_019549	39
NC_019550	46
NC_019485	74
NC_015264	51
NC_015585	57
NC_042029	58
NC_047853	212
NC_047854	37
NC_019932	38
NC_019486	55
NC_019489	56
NC_021864	88
NC_023693	241
NC_017732	47
NC_015269	167
NC_015157	225
NC_015158	71
NC_015159	50
NC_020414	52
NC_015720	64
NC_015210	84
NC_019930	80
NC_022970	162
NC_019934	52
NC_019927	75
NC_015208	47
NC_042112	174
NC_016564	132
NC_028999	406
NC_015456	80
NC_015457	263
NC_029057	227
NC_021783	72
NC_027989	62
NC_041831	28
NC_041832	22
NC_041833	61
NC_041834	30
NC_023009	175
NC_021347	221
NC_016565	21
NC_015569	284
NC_047720	209
NC_019929	268
NC_015568	51
NC_042327	87
NC_042328	84
NC_041844	207
NC_041983	82
NC_041845	74
NC_042316	215
NC_041846	140
NC_042317	100
NC_042318	91
NC_042319	92
NC_042320	87
NC_042326	85
NC_042321	82
NC_042322	212
NC_042323	96
NC_042324	79
NC_042325	92
NC_041971	145
NC_041987	135
NC_041985	84
NC_028986	206
NC_042308	81
NC_042034	97
NC_042312	78
NC_042309	88
NC_042310	83
NC_042313	121
NC_042032	110
NC_042311	81
NC_042314	92
NC_028942	95
NC_042036	72
NC_042315	89
NC_042033	96
NC_028801	96
NC_042030	104
NC_042035	94
NC_042031	97
NC_028906	138
NC_015721	40
NC_042329	86
NC_041847	90
NC_041989	94
NC_041988	91
NC_042330	92
NC_015719	45
NC_022920	208
NC_022918	187
NC_042331	83
NC_019506	67
NC_019508	66
NC_048015	220
NC_023743	72
NC_018087	254
NC_023704	81
NC_023726	85
NC_042332	94
NC_018285	55
NC_019510	41
NC_041978	116
NC_019514	104
NC_019504	82
NC_019500	263
NC_023711	99
NC_041993	223
NC_023738	199
NC_015933	81
NC_019505	265
NC_019503	263
NC_015938	144
NC_023729	65
NC_023724	92
NC_023709	81
NC_016568	25
NC_023689	138
NC_023734	49
NC_042333	78
NC_023731	89
NC_023707	89
NC_023746	92
NC_023710	82
NC_041960	99
NC_019509	77
NC_023721	92
NC_023696	233
NC_041850	139
NC_023714	216
NC_023691	103
NC_023692	77
NC_047867	44
NC_023720	87
NC_022087	94
NC_041969	71
NC_027118	47
NC_023730	64
NC_023737	222
NC_019444	220
NC_019443	221
NC_016073	197
NC_023719	674
NC_023708	85
NC_023732	107
NC_023695	79
NC_020416	258
NC_041970	134
NC_023733	222
NC_023725	225
NC_023727	97
NC_023742	98
NC_023716	92
NC_041965	98
NC_023697	74
NC_023739	80
NC_023713	94
NC_023687	92
NC_023690	221
NC_023728	95
NC_023703	91
NC_023686	94
NC_042334	83
NC_028907	98
NC_023702	83
NC_023745	83
NC_023699	96
NC_023712	123
NC_023740	96
NC_023741	94
NC_019501	55
NC_027402	261
NC_019925	194
NC_027298	53
NC_043469	81
NC_042336	90
NC_027365	91
NC_042335	88
NC_016764	46
NC_016166	102
NC_016770	63
NC_016165	53
NC_019530	203
NC_016435	92
NC_016569	68
NC_016655	88
NC_016652	81
NC_016654	59
NC_016653	65
NC_016650	63
NC_016651	19
NC_016566	54
NC_016562	174
NC_025443	79
NC_017971	68
NC_016763	62
NC_020201	242
NC_018277	63
NC_048628	63
NC_019502	66
NC_019445	55
NC_019442	71
NC_016571	303
NC_016761	48
NC_018264	58
NC_047736	280
NC_018860	229
NC_047735	227
NC_017985	58
NC_019527	80
NC_019525	71
NC_019522	62
NC_019518	65
NC_019523	23
NC_016762	67
NC_016765	92
NC_020080	270
NC_029099	78
NC_027355	224
NC_017981	79
NC_016767	63
NC_020489	62
NC_019517	208
NC_018278	53
NC_018283	77
NC_019446	57
NC_019447	55
NC_019515	144
NC_018452	72
NC_018857	288
NC_019516	170
NC_019528	53
NC_018863	281
NC_019417	71
NC_019400	257
NC_019401	534
NC_019402	112
NC_019398	272
NC_019403	53
NC_019404	76
NC_019399	270
NC_019520	51
NC_017865	53
NC_017864	56
NC_020490	71
NC_019915	63
NC_019914	53
NC_019526	543
NC_019924	77
NC_027980	58
NC_019545	68
NC_041986	99
NC_019724	58
NC_019710	64
NC_019717	66
NC_019714	56
NC_019723	61
NC_019719	64
NC_019711	66
NC_019706	65
NC_019708	48
NC_019704	60
NC_019716	54
NC_019709	60
NC_019705	62
NC_019718	69
NC_019720	69
NC_019715	55
NC_019721	55
NC_049942	77
NC_018846	68
NC_019529	160
NC_019524	78
NC_019521	291
NC_025822	45
NC_019512	32
NC_019451	92
NC_017976	52
NC_018274	53
NC_018270	43
NC_017972	385
NC_041910	104
NC_018273	39
NC_019519	124
NC_041982	79
NC_041984	76
NC_019540	75
NC_025467	26
NC_023717	300
NC_017974	286
NC_017980	28
NC_018083	28
NC_018084	26
NC_019539	55
NC_017688	60
NC_017695	57
NC_017702	55
NC_017698	54
NC_017696	56
NC_020199	68
NC_018454	56
NC_020488	40
NC_018271	53
NC_018272	52
NC_018275	66
NC_018279	71
NC_023588	44
NC_023698	92
NC_023723	88
NC_019513	66
NC_017968	65
NC_020871	178
NC_018086	80
NC_017975	174
NC_042066	82
NC_021539	64
NC_024375	116
NC_021787	111
NC_021785	111
NC_021775	65
NC_042065	59
NC_021779	72
NC_021780	72
NC_042062	70
NC_042063	22
NC_042064	3
NC_021772	96
NC_021782	96
NC_024359	180
NC_047745	188
NC_021781	187
NC_021774	40
NC_017973	92
NC_041953	72
NC_028770	86
NC_028931	74
NC_028879	55
NC_028809	75
NC_018276	61
NC_018269	51
NC_047939	44
NC_047940	46
NC_018843	125
NC_017983	63
NC_017984	88
NC_017978	43
NC_019933	52
NC_020205	55
NC_019507	257
NC_025418	53
NC_018085	57
NC_041852	90
NC_021326	72
NC_042338	96
NC_021332	69
NC_020873	230
NC_019917	73
NC_042337	94
NC_047722	228
NC_047723	211
NC_047725	229
NC_047726	229
NC_047727	228
NC_047724	229
NC_021531	239
NC_021863	65
NC_027360	129
NC_018280	56
NC_018281	73
NC_018284	64
NC_019543	230
NC_020879	233
NC_030933	185
NC_019931	28
NC_025433	95
NC_019538	421
NC_018282	81
NC_025441	92
NC_025449	267
NC_025446	199
NC_018836	72
NC_018848	52
NC_019910	203
NC_027351	239
NC_042061	196
NC_027344	251
NC_020081	215
NC_019421	73
NC_019422	47
NC_019405	334
NC_021062	47
NC_018837	174
NC_025465	66
NC_041992	61
NC_041907	95
NC_019511	191
NC_019782	58
NC_047951	45
NC_019919	174
NC_019909	269
NC_019911	54
NC_027353	269
NC_019928	27
NC_021868	93
NC_041849	81
NC_041991	60
NC_029000	241
NC_042339	81
NC_042340	80
NC_041853	79
NC_041854	53
NC_019406	442
NC_019410	347
NC_019407	338
NC_019408	343
NC_019411	334
NC_019725	87
NC_019542	53
NC_047738	50
NC_047868	55
NC_041908	82
NC_027296	82
NC_047869	51
NC_047870	53
NC_034248	167
NC_019541	64
NC_025425	272
NC_020203	55
NC_020198	52
NC_020202	57
NC_020200	53
NC_027339	56
NC_022091	51
NC_027986	54
NC_027992	57
NC_019916	58
NC_047739	125
NC_018831	118
NC_041855	92
NC_042341	80
NC_049924	79
NC_049923	71
NC_049941	71
NC_049945	75
NC_049944	74
NC_021861	53
NC_018861	167
NC_020079	262
NC_019722	59
NC_019713	103
NC_027369	136
NC_028995	80
NC_018839	44
NC_018841	42
NC_018845	41
NC_018849	41
NC_018852	42
NC_018840	44
NC_018842	43
NC_018847	41
NC_018851	41
NC_019918	170
NC_021776	51
NC_019813	63
NC_018832	70
NC_022336	42
NC_022339	42
NC_022338	43
NC_022335	42
NC_022337	41
NC_022342	42
NC_022334	41
NC_022341	42
NC_022340	42
NC_022090	185
NC_020877	176
NC_018850	73
NC_019923	64
NC_021316	53
NC_020204	66
NC_019912	55
NC_018835	129
NC_018855	269
NC_019418	54
NC_019416	45
NC_019726	219
NC_019423	90
NC_047721	214
NC_041856	78
NC_041857	78
NC_019420	46
NC_020876	91
NC_019419	53
NC_041906	76
NC_025417	213
NC_020083	204
NC_022746	54
NC_024390	38
NC_020870	39
NC_024385	41
NC_024386	40
NC_024388	42
NC_024380	38
NC_024378	41
NC_020880	38
NC_024389	43
NC_021533	74
NC_021853	56
NC_021860	56
NC_021854	51
NC_021852	51
NC_021855	54
NC_023568	386
NC_042136	212
NC_020082	65
NC_020078	50
NC_022791	51
NC_047740	66
NC_042342	69
NC_042343	67
NC_025456	58
NC_021773	64
NC_021337	29
NC_027364	596
NC_020478	75
NC_020479	76
NC_020477	74
NC_020480	76
NC_041858	72
NC_021323	62
NC_023501	286
NC_047715	207
NC_047716	204
NC_047717	204
NC_031235	231
NC_047734	227
NC_023006	65
NC_023005	49
NC_021343	46
NC_021563	64
NC_021540	104
NC_049350	100
NC_020484	192
NC_020481	65
NC_020482	46
NC_020483	57
NC_042133	220
NC_049351	51
NC_047741	51
NC_021061	62
NC_028674	93
NC_028982	201
NC_028983	205
NC_041976	91
NC_029104	91
NC_029029	85
NC_022980	83
NC_021532	127
NC_021325	47
NC_021063	68
NC_021344	265
NC_023007	263
NC_023499	62
NC_023500	66
NC_041934	85
NC_021336	38
NC_021300	57
NC_047855	18
NC_021342	66
NC_021867	68
NC_021299	136
NC_021317	27
NC_021334	84
NC_023614	46
NC_021298	76
NC_021304	76
NC_021339	75
NC_021349	219
NC_021306	142
NC_021302	74
NC_021310	95
NC_021308	77
NC_021538	94
NC_021535	80
NC_021297	82
NC_021309	136
NC_021307	77
NC_021301	85
NC_024354	281
NC_028773	270
NC_021346	221
NC_021311	138
NC_021348	226
NC_021305	140
NC_021338	74
NC_021318	87
NC_021556	57
NC_022323	209
NC_022966	161
NC_022974	161
NC_022986	168
NC_021799	110
NC_021789	116
NC_021798	181
NC_021800	47
NC_021791	55
NC_021796	84
NC_021795	55
NC_021802	103
NC_021790	58
NC_021794	105
NC_021792	108
NC_021806	117
NC_021804	46
NC_021788	183
NC_021803	115
NC_048026	53
NC_022096	334
NC_021865	65
NC_021777	65
NC_022055	98
NC_022066	214
NC_029044	219
NC_022067	219
NC_029023	131
NC_041928	203
NC_023587	218
NC_023584	204
NC_022086	74
